# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,parameter,distortion,accuracy
Veto,20,5,5,10000,1,1.2404461334382921,0.2513
Veto,20,5,5,10000,2,1.1426220796745388,0.3455
Veto,20,5,5,10000,3,1.0968737933953894,0.4087
Veto,20,5,5,10000,4,1.0697199911300883,0.4441
Plurality,20,5,5,10000,1,1.2084172207051749,0.3227
Plurality,20,5,5,10000,2,1.128590002365912,0.3793
Plurality,20,5,5,10000,3,1.0842728760242677,0.4551
Plurality,20,5,5,10000,4,1.05896813983726,0.4984
Plurality w/ runoff,20,5,5,10000,1,1.0839365766939135,0.4312
Plurality w/ runoff,20,5,5,10000,2,1.0805964179514502,0.4061
Plurality w/ runoff,20,5,5,10000,3,1.0560326850084794,0.48
Plurality w/ runoff,20,5,5,10000,4,1.037675343815907,0.5548
STV,20,5,5,10000,1,1.1837695671559756,0.3304
STV,20,5,5,10000,2,1.1029218943680867,0.4362
STV,20,5,5,10000,3,1.0615397251215504,0.5345
STV,20,5,5,10000,4,1.043441088404243,0.5735
Harmonic,20,5,5,10000,1,1.1011359225713433,0.4647
Harmonic,20,5,5,10000,2,1.0480442251439739,0.5957
Harmonic,20,5,5,10000,3,1.0256516941585583,0.6913
Harmonic,20,5,5,10000,4,1.0166263024310076,0.7239
Half approval,20,5,5,10000,1,1.0397116319430393,0.6142
Half approval,20,5,5,10000,2,1.021617672144728,0.7235
Half approval,20,5,5,10000,3,1.0148993402332451,0.7566
Half approval,20,5,5,10000,4,1.011395182191112,0.769
Bucklin,20,5,5,10000,1,1.0380151476504402,0.5824
Bucklin,20,5,5,10000,2,1.0175065355736805,0.7498
Bucklin,20,5,5,10000,3,1.0113858433941532,0.7892
Bucklin,20,5,5,10000,4,1.009290962648035,0.7929
Maximin,20,5,5,10000,1,1.004184549377084,0.8011
Maximin,20,5,5,10000,2,1.0082713286127676,0.7881
Maximin,20,5,5,10000,3,1.008529160949305,0.7811
Maximin,20,5,5,10000,4,1.0079274051876175,0.7766
Ranked Pairs,20,5,5,10000,1,1.006372167473479,0.8706
Ranked Pairs,20,5,5,10000,2,1.0074069139402138,0.8475
Ranked Pairs,20,5,5,10000,3,1.0069815049437831,0.8389
Ranked Pairs,20,5,5,10000,4,1.0068618935211513,0.8317
Copeland,20,5,5,10000,1,1.0042390334728164,0.8895
Copeland,20,5,5,10000,2,1.0061885184769759,0.8504
Copeland,20,5,5,10000,3,1.0058757109689949,0.8498
Copeland,20,5,5,10000,4,1.0054462654530967,0.8416
Borda,20,5,5,10000,1,1.0148158459228207,0.7954
Borda,20,5,5,10000,2,1.0063050118113612,0.8537
Borda,20,5,5,10000,3,1.004348286870661,0.867
Borda,20,5,5,10000,4,1.0031754616590358,0.8769
Random Voter Utility,20,5,5,10000,1,1.0242361959300754,0.6917
Random Voter Utility,20,5,5,10000,2,1.0088578770836718,0.8214
Random Voter Utility,20,5,5,10000,3,1.0059735045988931,0.8494
Random Voter Utility,20,5,5,10000,4,1.0046828126969354,0.8506
