# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,parameter,distortion,accuracy
Veto,20,5,0,10000,0.1,1.1099950350625538,0.4209
Veto,20,5,0,10000,0.17777777777777778,1.1141097959881645,0.4119
Veto,20,5,0,10000,0.25555555555555554,1.113853833805941,0.4101
Veto,20,5,0,10000,0.33333333333333337,1.112848225707693,0.4083
Veto,20,5,0,10000,0.4111111111111111,1.1115420350807108,0.4169
Veto,20,5,0,10000,0.48888888888888893,1.1132886720400907,0.414
Veto,20,5,0,10000,0.5666666666666667,1.1130241406471497,0.4135
Veto,20,5,0,10000,0.6444444444444445,1.1123250510893208,0.4262
Veto,20,5,0,10000,0.7222222222222222,1.113533645493662,0.4152
Veto,20,5,0,10000,0.8,1.1120735617944224,0.4103
Plurality,20,5,0,10000,0.1,1.0470601734589962,0.6144
Plurality,20,5,0,10000,0.17777777777777778,1.0461390745709587,0.6226
Plurality,20,5,0,10000,0.25555555555555554,1.0462890718574134,0.6104
Plurality,20,5,0,10000,0.33333333333333337,1.0468987809421162,0.6161
Plurality,20,5,0,10000,0.4111111111111111,1.0457453507572043,0.6213
Plurality,20,5,0,10000,0.48888888888888893,1.0452516765849136,0.6163
Plurality,20,5,0,10000,0.5666666666666667,1.0469811269327407,0.6181
Plurality,20,5,0,10000,0.6444444444444445,1.045736910609231,0.6177
Plurality,20,5,0,10000,0.7222222222222222,1.047715845252281,0.6191
Plurality,20,5,0,10000,0.8,1.044895048567243,0.6208
Plurality w/ runoff,20,5,0,10000,0.1,1.0209548521523475,0.7243
Plurality w/ runoff,20,5,0,10000,0.17777777777777778,1.0215576265177453,0.7318
Plurality w/ runoff,20,5,0,10000,0.25555555555555554,1.0209393834097633,0.7392
Plurality w/ runoff,20,5,0,10000,0.33333333333333337,1.0211642185409626,0.7249
Plurality w/ runoff,20,5,0,10000,0.4111111111111111,1.020781375327145,0.7245
Plurality w/ runoff,20,5,0,10000,0.48888888888888893,1.019870991431479,0.7396
Plurality w/ runoff,20,5,0,10000,0.5666666666666667,1.020764100080254,0.7346
Plurality w/ runoff,20,5,0,10000,0.6444444444444445,1.0211183554375067,0.7283
Plurality w/ runoff,20,5,0,10000,0.7222222222222222,1.0209969405166346,0.733
Plurality w/ runoff,20,5,0,10000,0.8,1.02069497510171,0.7332
PluralityVeto,20,5,0,10000,0.1,1.0091502938179575,0.8085
PluralityVeto,20,5,0,10000,0.17777777777777778,1.0089399276839224,0.8141
PluralityVeto,20,5,0,10000,0.25555555555555554,1.009007335937741,0.8139
PluralityVeto,20,5,0,10000,0.33333333333333337,1.0087530891968697,0.8198
PluralityVeto,20,5,0,10000,0.4111111111111111,1.0088349639572693,0.817
PluralityVeto,20,5,0,10000,0.48888888888888893,1.0089761635356553,0.8118
PluralityVeto,20,5,0,10000,0.5666666666666667,1.0091827611548776,0.813
PluralityVeto,20,5,0,10000,0.6444444444444445,1.0092569232245154,0.8114
PluralityVeto,20,5,0,10000,0.7222222222222222,1.0087974396462762,0.8184
PluralityVeto,20,5,0,10000,0.8,1.0087855078988817,0.8193
STV,20,5,0,10000,0.1,1.017986868270396,0.735
STV,20,5,0,10000,0.17777777777777778,1.017370397347229,0.7437
STV,20,5,0,10000,0.25555555555555554,1.0173928084426915,0.7424
STV,20,5,0,10000,0.33333333333333337,1.0166874261076806,0.7466
STV,20,5,0,10000,0.4111111111111111,1.0174333416585122,0.7433
STV,20,5,0,10000,0.48888888888888893,1.0171126968370805,0.7438
STV,20,5,0,10000,0.5666666666666667,1.0179856700934236,0.7426
STV,20,5,0,10000,0.6444444444444445,1.0169724402926057,0.7507
STV,20,5,0,10000,0.7222222222222222,1.017921366072761,0.7376
STV,20,5,0,10000,0.8,1.0174566126351803,0.7423
Harmonic,20,5,0,10000,0.1,1.0152063009861987,0.7632
Harmonic,20,5,0,10000,0.17777777777777778,1.0140714669911344,0.7726
Harmonic,20,5,0,10000,0.25555555555555554,1.014596949633933,0.7616
Harmonic,20,5,0,10000,0.33333333333333337,1.015626367512116,0.7604
Harmonic,20,5,0,10000,0.4111111111111111,1.0151143775283542,0.761
Harmonic,20,5,0,10000,0.48888888888888893,1.0155566792232957,0.7622
Harmonic,20,5,0,10000,0.5666666666666667,1.0155945545179643,0.7554
Harmonic,20,5,0,10000,0.6444444444444445,1.014645579868884,0.7605
Harmonic,20,5,0,10000,0.7222222222222222,1.0144583815803918,0.768
Harmonic,20,5,0,10000,0.8,1.0157538859036328,0.7686
Half approval,20,5,0,10000,0.1,1.019486065708745,0.7342
Half approval,20,5,0,10000,0.17777777777777778,1.0195314804070141,0.7256
Half approval,20,5,0,10000,0.25555555555555554,1.0207156754344382,0.725
Half approval,20,5,0,10000,0.33333333333333337,1.0196113486474847,0.7346
Half approval,20,5,0,10000,0.4111111111111111,1.0197327380058347,0.7243
Half approval,20,5,0,10000,0.48888888888888893,1.0193873464640617,0.7329
Half approval,20,5,0,10000,0.5666666666666667,1.0191045613337806,0.7287
Half approval,20,5,0,10000,0.6444444444444445,1.0200174793715882,0.7307
Half approval,20,5,0,10000,0.7222222222222222,1.0196330671678653,0.7295
Half approval,20,5,0,10000,0.8,1.019400781306096,0.7284
Bucklin,20,5,0,10000,0.1,1.012990630087367,0.7719
Bucklin,20,5,0,10000,0.17777777777777778,1.012550166387297,0.7781
Bucklin,20,5,0,10000,0.25555555555555554,1.0128383297184065,0.7818
Bucklin,20,5,0,10000,0.33333333333333337,1.0127011064477978,0.7845
