# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,parameter,distortion,accuracy
Veto,20,5,5,10000,0.1,1.1619299974288588,0.3204
Veto,20,5,5,10000,0.17777777777777778,1.157495759184865,0.3269
Veto,20,5,5,10000,0.25555555555555554,1.1650550167945541,0.3145
Veto,20,5,5,10000,0.33333333333333337,1.1654607421377863,0.311
Veto,20,5,5,10000,0.4111111111111111,1.1588052625024756,0.3227
Veto,20,5,5,10000,0.48888888888888893,1.1579518575774363,0.3256
Veto,20,5,5,10000,0.5666666666666667,1.162354843494403,0.3235
Veto,20,5,5,10000,0.6444444444444445,1.1651025107159347,0.3168
Veto,20,5,5,10000,0.7222222222222222,1.1595889394938175,0.323
Veto,20,5,5,10000,0.8,1.1612632139392298,0.3234
Plurality,20,5,5,10000,0.1,1.1152988605877145,0.4224
Plurality,20,5,5,10000,0.17777777777777778,1.1176461537108573,0.4194
Plurality,20,5,5,10000,0.25555555555555554,1.1159946019564548,0.4141
Plurality,20,5,5,10000,0.33333333333333337,1.116027915546,0.4272
Plurality,20,5,5,10000,0.4111111111111111,1.1123921293180847,0.4177
Plurality,20,5,5,10000,0.48888888888888893,1.1158312114240931,0.4216
Plurality,20,5,5,10000,0.5666666666666667,1.115862557505605,0.4231
Plurality,20,5,5,10000,0.6444444444444445,1.1182824130495506,0.4242
Plurality,20,5,5,10000,0.7222222222222222,1.1151269544964613,0.4253
Plurality,20,5,5,10000,0.8,1.1173265625483297,0.4258
Plurality w/ runoff,20,5,5,10000,0.1,1.056014816045176,0.4671
Plurality w/ runoff,20,5,5,10000,0.17777777777777778,1.0551025072949585,0.4764
Plurality w/ runoff,20,5,5,10000,0.25555555555555554,1.0557042349350054,0.4638
Plurality w/ runoff,20,5,5,10000,0.33333333333333337,1.0561322392611445,0.4623
Plurality w/ runoff,20,5,5,10000,0.4111111111111111,1.054402306144181,0.4759
Plurality w/ runoff,20,5,5,10000,0.48888888888888893,1.056406459232527,0.4673
Plurality w/ runoff,20,5,5,10000,0.5666666666666667,1.0552302178555149,0.4734
Plurality w/ runoff,20,5,5,10000,0.6444444444444445,1.056916658916748,0.4629
Plurality w/ runoff,20,5,5,10000,0.7222222222222222,1.056936577614987,0.4595
Plurality w/ runoff,20,5,5,10000,0.8,1.0545569929363132,0.4681
PluralityVeto,20,5,5,10000,0.1,1.0221374998401604,0.7299
PluralityVeto,20,5,5,10000,0.17777777777777778,1.021525114433806,0.7286
PluralityVeto,20,5,5,10000,0.25555555555555554,1.0226251680931457,0.7256
PluralityVeto,20,5,5,10000,0.33333333333333337,1.0225909940891704,0.7149
PluralityVeto,20,5,5,10000,0.4111111111111111,1.0212992010224275,0.738
PluralityVeto,20,5,5,10000,0.48888888888888893,1.0220112924398816,0.7306
PluralityVeto,20,5,5,10000,0.5666666666666667,1.0216940850409006,0.7293
PluralityVeto,20,5,5,10000,0.6444444444444445,1.0206347857086693,0.7336
PluralityVeto,20,5,5,10000,0.7222222222222222,1.02181542350307,0.7255
PluralityVeto,20,5,5,10000,0.8,1.0209756956936311,0.7309
STV,20,5,5,10000,0.1,1.0900073982021778,0.475
STV,20,5,5,10000,0.17777777777777778,1.09234026562608,0.4779
STV,20,5,5,10000,0.25555555555555554,1.0902494139539733,0.4709
STV,20,5,5,10000,0.33333333333333337,1.0919768344321032,0.4666
STV,20,5,5,10000,0.4111111111111111,1.0917893154538223,0.469
STV,20,5,5,10000,0.48888888888888893,1.0922642216770848,0.4703
STV,20,5,5,10000,0.5666666666666667,1.093297081259445,0.4765
STV,20,5,5,10000,0.6444444444444445,1.0923578923386177,0.4758
STV,20,5,5,10000,0.7222222222222222,1.0905547620142562,0.4784
STV,20,5,5,10000,0.8,1.0914224103174481,0.4704
Harmonic,20,5,5,10000,0.1,1.0361442370417913,0.6381
Harmonic,20,5,5,10000,0.17777777777777778,1.0355267746836858,0.6415
Harmonic,20,5,5,10000,0.25555555555555554,1.0359863788495653,0.6382
Harmonic,20,5,5,10000,0.33333333333333337,1.0354193321171432,0.6445
Harmonic,20,5,5,10000,0.4111111111111111,1.0351656618289766,0.646
Harmonic,20,5,5,10000,0.48888888888888893,1.0351686165363396,0.6449
Harmonic,20,5,5,10000,0.5666666666666667,1.0369605321931599,0.6389
Harmonic,20,5,5,10000,0.6444444444444445,1.0362999980152785,0.643
Harmonic,20,5,5,10000,0.7222222222222222,1.0372781984455668,0.6332
Harmonic,20,5,5,10000,0.8,1.036183460160851,0.6439
Half approval,20,5,5,10000,0.1,1.0186847523817968,0.7364
Half approval,20,5,5,10000,0.17777777777777778,1.0193276032821657,0.7226
