# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,parameter,distortion,accuracy
Veto,20,5,5,10000,0.05,1.6875285853625503,0.2745
Veto,20,5,5,10000,0.15,1.357347146042274,0.3681
Veto,20,5,5,10000,0.25,1.2414346081966097,0.4391
Veto,20,5,5,10000,0.35,1.2080926904215692,0.499
Veto,20,5,5,10000,0.44999999999999996,1.2210965158587028,0.5124
Veto,20,5,5,10000,0.5499999999999999,1.2370616683661917,0.5217
Veto,20,5,5,10000,0.65,1.3162265956008763,0.5054
Veto,20,5,5,10000,0.75,1.3839747107512517,0.493
Veto,20,5,5,10000,0.85,1.4260323560909887,0.4847
Veto,20,5,5,10000,0.95,1.5174011019460192,0.4784
Plurality,20,5,5,10000,0.05,1.84400641471989,0.7874
Plurality,20,5,5,10000,0.15,1.5507571315190718,0.8557
Plurality,20,5,5,10000,0.25,1.0914889486547945,0.8201
Plurality,20,5,5,10000,0.35,2.036533401712483,0.7937
Plurality,20,5,5,10000,0.44999999999999996,1.086141217146965,0.7386
Plurality,20,5,5,10000,0.5499999999999999,1.2333522940284964,0.7009
Plurality,20,5,5,10000,0.65,1.180649581365858,0.6743
Plurality,20,5,5,10000,0.75,1.287639805500301,0.6369
Plurality,20,5,5,10000,0.85,1.269530722061461,0.6229
Plurality,20,5,5,10000,0.95,1.3053789798593807,0.6005
Plurality w/ runoff,20,5,5,10000,0.05,1.0004590850137793,0.9506
Plurality w/ runoff,20,5,5,10000,0.15,1.003678361524191,0.8722
Plurality w/ runoff,20,5,5,10000,0.25,1.009679960801827,0.8093
Plurality w/ runoff,20,5,5,10000,0.35,1.0182205432088287,0.7541
Plurality w/ runoff,20,5,5,10000,0.44999999999999996,1.0280753825120788,0.7152
Plurality w/ runoff,20,5,5,10000,0.5499999999999999,1.0410220569689002,0.6845
Plurality w/ runoff,20,5,5,10000,0.65,1.0582360733894427,0.6432
Plurality w/ runoff,20,5,5,10000,0.75,1.0751643113978366,0.6251
Plurality w/ runoff,20,5,5,10000,0.85,1.0914693708319565,0.6044
Plurality w/ runoff,20,5,5,10000,0.95,1.114815385794455,0.5777
PluralityVeto,20,5,5,10000,0.05,2.0755310907536635,0.784
PluralityVeto,20,5,5,10000,0.15,1.2323033020133873,0.872
PluralityVeto,20,5,5,10000,0.25,1.0574223497269541,0.8628
PluralityVeto,20,5,5,10000,0.35,1.0375468262692549,0.8424
PluralityVeto,20,5,5,10000,0.44999999999999996,1.0431406750524173,0.806
PluralityVeto,20,5,5,10000,0.5499999999999999,1.054246258482839,0.7789
PluralityVeto,20,5,5,10000,0.65,1.0895606921475314,0.7613
PluralityVeto,20,5,5,10000,0.75,1.0874379446298112,0.7374
PluralityVeto,20,5,5,10000,0.85,1.1196390578906155,0.7128
PluralityVeto,20,5,5,10000,0.95,1.2165687583421765,0.7009
STV,20,5,5,10000,0.05,2.0748586219668534,0.7808
STV,20,5,5,10000,0.15,1.3029145949661531,0.8536
STV,20,5,5,10000,0.25,1.0725040056150872,0.8418
STV,20,5,5,10000,0.35,1.0526099782655176,0.8069
STV,20,5,5,10000,0.44999999999999996,1.0580973451444318,0.7789
STV,20,5,5,10000,0.5499999999999999,1.0940947316407645,0.7464
STV,20,5,5,10000,0.65,1.2367820014580895,0.7104
