# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,parameter,distortion,accuracy
Veto,20,5,0,10000,0.05,1.6840251187498176,0.27
Veto,20,5,0,10000,0.15,1.3956817651205193,0.314
Veto,20,5,0,10000,0.25,1.228164759848574,0.3799
Veto,20,5,0,10000,0.35,1.1281059959326447,0.4754
Veto,20,5,0,10000,0.44999999999999996,1.062847342094869,0.5937
Veto,20,5,0,10000,0.5499999999999999,1.0415426530006326,0.6494
Veto,20,5,0,10000,0.65,1.0390636646847762,0.635
Veto,20,5,0,10000,0.75,1.044428601522034,0.5797
Veto,20,5,0,10000,0.85,1.0495563953369196,0.5247
Veto,20,5,0,10000,0.95,1.0599005548583642,0.4634
Plurality,20,5,0,10000,0.05,1.0000207198378972,0.9924
Plurality,20,5,0,10000,0.15,1.0002540993820612,0.975
Plurality,20,5,0,10000,0.25,1.0007176856227749,0.9559
Plurality,20,5,0,10000,0.35,1.0020225178114301,0.9288
Plurality,20,5,0,10000,0.44999999999999996,1.0039970769862914,0.8907
Plurality,20,5,0,10000,0.5499999999999999,1.007847054872932,0.8428
Plurality,20,5,0,10000,0.65,1.0133265715295852,0.7803
Plurality,20,5,0,10000,0.75,1.0215483971249064,0.7038
Plurality,20,5,0,10000,0.85,1.033850121589776,0.6101
Plurality,20,5,0,10000,0.95,1.0459736132179958,0.5365
Plurality w/ runoff,20,5,0,10000,0.05,1.0000167682959575,0.9939
Plurality w/ runoff,20,5,0,10000,0.15,1.0002848739833425,0.9742
Plurality w/ runoff,20,5,0,10000,0.25,1.000815147806105,0.9535
Plurality w/ runoff,20,5,0,10000,0.35,1.0018549378159682,0.9295
Plurality w/ runoff,20,5,0,10000,0.44999999999999996,1.003434764707844,0.8964
Plurality w/ runoff,20,5,0,10000,0.5499999999999999,1.006499316141681,0.8549
Plurality w/ runoff,20,5,0,10000,0.65,1.0112830006312359,0.7969
Plurality w/ runoff,20,5,0,10000,0.75,1.018111081175045,0.7261
Plurality w/ runoff,20,5,0,10000,0.85,1.0262493261450125,0.6409
Plurality w/ runoff,20,5,0,10000,0.95,1.034182497339585,0.5868
STV,20,5,0,10000,0.05,1.0000193688598311,0.9932
STV,20,5,0,10000,0.15,1.0001955806492047,0.9777
STV,20,5,0,10000,0.25,1.0007408821624229,0.9573
STV,20,5,0,10000,0.35,1.0015415964004364,0.9371
STV,20,5,0,10000,0.44999999999999996,1.0033738525040825,0.8982
STV,20,5,0,10000,0.5499999999999999,1.0062979157170167,0.8548
STV,20,5,0,10000,0.65,1.009802607028804,0.8135
STV,20,5,0,10000,0.75,1.0158367340346104,0.7411
STV,20,5,0,10000,0.85,1.0234002740851018,0.6719
STV,20,5,0,10000,0.95,1.0306221739411905,0.6015
Harmonic,20,5,0,10000,0.05,1.0000277321943385,0.991
Harmonic,20,5,0,10000,0.15,1.0002254601255152,0.9744
Harmonic,20,5,0,10000,0.25,1.0005474711748896,0.9603
Harmonic,20,5,0,10000,0.35,1.0012276708045076,0.9391
Harmonic,20,5,0,10000,0.44999999999999996,1.0021948810402885,0.9173
