# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,30,2,0,10000,1.002011660254054,0.9658
Plurality,30,2,1,10000,1.0007204513451489,0.9789
Plurality,30,2,2,10000,1.0011340626004495,0.9771
Plurality,30,2,3,10000,1.001718019367702,0.9706
Plurality,30,2,4,10000,1.0016921702529922,0.9686
Plurality,30,2,5,10000,1.0022254563634665,0.9686
Plurality,30,2,6,10000,1.0024040031123282,0.9678
Plurality,30,2,7,10000,1.0021504198165654,0.9662
Plurality,30,2,8,10000,1.0023403269260394,0.9617
Plurality,30,2,9,10000,1.0022170210261527,0.964
Plurality,30,2,10,10000,1.0026945234122788,0.9667
Plurality,30,2,11,10000,1.0027954688949292,0.9643
Plurality,30,2,12,10000,1.0026074028008525,0.9665
Plurality,30,2,13,10000,1.0027242763622928,0.9612
PluralityVeto,30,2,0,10000,1.0021759687443657,0.9629
PluralityVeto,30,2,1,10000,1.0012771348664964,0.9728
PluralityVeto,30,2,2,10000,1.0017524486716127,0.9663
PluralityVeto,30,2,3,10000,1.0017947622309513,0.9692
PluralityVeto,30,2,4,10000,1.0020000665784572,0.9643
PluralityVeto,30,2,5,10000,1.002007402422331,0.9693
PluralityVeto,30,2,6,10000,1.002468010556664,0.964
PluralityVeto,30,2,7,10000,1.0022074697560959,0.9656
PluralityVeto,30,2,8,10000,1.0025536533500312,0.9629
PluralityVeto,30,2,9,10000,1.0026481251404167,0.9655
PluralityVeto,30,2,10,10000,1.0035955993209533,0.9582
PluralityVeto,30,2,11,10000,1.0025432216357428,0.9625
PluralityVeto,30,2,12,10000,1.002579913736755,0.9654
PluralityVeto,30,2,13,10000,1.0032606204654833,0.9605
STV,30,2,0,10000,1.0022108963036767,0.9623
STV,30,2,1,10000,1.0011377123750338,0.9698
STV,30,2,2,10000,1.0022571076413793,0.9601
STV,30,2,3,10000,1.0025497543868622,0.9597
STV,30,2,4,10000,1.0034404004508128,0.9567
STV,30,2,5,10000,1.0038053831615974,0.9549
STV,30,2,6,10000,1.0034124124046113,0.958
STV,30,2,7,10000,1.0034785390181433,0.9606
STV,30,2,8,10000,1.0032676166977834,0.9578
STV,30,2,9,10000,1.0038599493993599,0.9532
STV,30,2,10,10000,1.0036924151568212,0.9573
STV,30,2,11,10000,1.0036628788653053,0.9604
