# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,30,2,0,10000,1.003678014092532,0.9237
Plurality,30,2,1,10000,1.0016338206808564,0.9475
Plurality,30,2,2,10000,1.002099358964089,0.9433
Plurality,30,2,3,10000,1.0024536107596391,0.9439
Plurality,30,2,4,10000,1.003026791016,0.9357
Plurality,30,2,5,10000,1.0030108028421325,0.9337
Plurality,30,2,6,10000,1.0032578880968086,0.9357
Plurality,30,2,7,10000,1.0035003416806916,0.9366
Plurality,30,2,8,10000,1.0038154010820448,0.9327
Plurality,30,2,9,10000,1.0033357143363997,0.9328
Plurality,30,2,10,10000,1.0038548729069612,0.928
Plurality,30,2,11,10000,1.003804617128262,0.9315
Plurality,30,2,12,10000,1.0044055510809693,0.9244
Plurality,30,2,13,10000,1.0040163333800827,0.9296
PluralityVeto,30,2,0,10000,1.003986969529423,0.9235
PluralityVeto,30,2,1,10000,1.0024586635048192,0.9358
PluralityVeto,30,2,2,10000,1.0033258549037638,0.9291
PluralityVeto,30,2,3,10000,1.0025547014596887,0.9391
PluralityVeto,30,2,4,10000,1.0033505215415228,0.9339
PluralityVeto,30,2,5,10000,1.0041472505898237,0.9257
PluralityVeto,30,2,6,10000,1.0040589856737503,0.9255
PluralityVeto,30,2,7,10000,1.003945853700953,0.9288
PluralityVeto,30,2,8,10000,1.004000058493919,0.9232
PluralityVeto,30,2,9,10000,1.004390367953098,0.9239
PluralityVeto,30,2,10,10000,1.0044469632086137,0.9242
PluralityVeto,30,2,11,10000,1.0040636254810649,0.9228
PluralityVeto,30,2,12,10000,1.004246383162545,0.924
PluralityVeto,30,2,13,10000,1.0046129232789989,0.9202
STV,30,2,0,10000,1.0036544907241018,0.9262
STV,30,2,1,10000,1.0020073682017951,0.9443
STV,30,2,2,10000,1.0034753532906269,0.929
STV,30,2,3,10000,1.003611823171443,0.9298
STV,30,2,4,10000,1.0044524783257416,0.9162
STV,30,2,5,10000,1.0049911499146926,0.9175
STV,30,2,6,10000,1.004620163529249,0.9162
STV,30,2,7,10000,1.0051351212913069,0.9136
STV,30,2,8,10000,1.0054294410663054,0.9145
STV,30,2,9,10000,1.0052997167728777,0.916
STV,30,2,10,10000,1.005072091294505,0.9166
STV,30,2,11,10000,1.0054058098156442,0.9173
STV,30,2,12,10000,1.0053951038125903,0.9135
STV,30,2,13,10000,1.0051596359895676,0.9177
Harmonic,30,2,0,10000,1.0033512172088026,0.9293
Harmonic,30,2,1,10000,1.001078434220993,0.9598
Harmonic,30,2,2,10000,1.0009129730508481,0.9609
