# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0081389259020972,0.8743
Plurality,20,2,1,10000,1.0115834145816511,0.8597
Plurality,20,2,2,10000,1.0154932620287016,0.8275
Plurality,20,2,3,10000,1.0169779871346851,0.8248
Plurality,20,2,4,10000,1.0208709367103375,0.8024
Plurality,20,2,5,10000,1.0253755302388403,0.7824
Plurality,20,2,6,10000,1.027258541599215,0.7743
Plurality,20,2,7,10000,1.030098486553902,0.7615
Plurality,20,2,8,10000,1.0331232238087795,0.7471
PluralityVeto,20,2,0,10000,1.0075099124839086,0.8828
PluralityVeto,20,2,1,10000,1.0075706690122905,0.8814
PluralityVeto,20,2,2,10000,1.00898466595604,0.8811
PluralityVeto,20,2,3,10000,1.0110639476047893,0.8557
PluralityVeto,20,2,4,10000,1.0135727557622867,0.8449
PluralityVeto,20,2,5,10000,1.016264227260387,0.8291
PluralityVeto,20,2,6,10000,1.0181903797766918,0.82
PluralityVeto,20,2,7,10000,1.0215659745023082,0.8064
PluralityVeto,20,2,8,10000,1.0225050758177612,0.8009
STV,20,2,0,10000,1.0073890830489678,0.8808
STV,20,2,1,10000,1.009362519416603,0.8745
STV,20,2,2,10000,1.0137452810047536,0.8424
STV,20,2,3,10000,1.0161152200026216,0.8295
STV,20,2,4,10000,1.0198097378615427,0.8172
STV,20,2,5,10000,1.0231633942355631,0.7934
STV,20,2,6,10000,1.0246948575718502,0.7869
STV,20,2,7,10000,1.0279897626364756,0.7755
STV,20,2,8,10000,1.0305348862767822,0.7612
Harmonic,20,2,0,10000,1.007800196965098,0.8771
Harmonic,20,2,1,10000,1.006867777113639,0.8892
Harmonic,20,2,2,10000,1.006495515999193,0.8895
Harmonic,20,2,3,10000,1.0071281772622591,0.8816
Harmonic,20,2,4,10000,1.0073571817705997,0.8848
Harmonic,20,2,5,10000,1.0078339630748996,0.8836
Harmonic,20,2,6,10000,1.0081336196738062,0.8817
Harmonic,20,2,7,10000,1.0087284861286854,0.8739
Harmonic,20,2,8,10000,1.0097781643637955,0.8608
Half approval,20,2,0,10000,1.0077112715906897,0.8801
Half approval,20,2,1,10000,1.0115459392502286,0.8567
Half approval,20,2,2,10000,1.0086819840748826,0.8753
Half approval,20,2,3,10000,1.0088003641248522,0.8719
Half approval,20,2,4,10000,1.008433371752164,0.8737
Half approval,20,2,5,10000,1.0086636998798417,0.8711
Half approval,20,2,6,10000,1.0077895520470619,0.8815
Half approval,20,2,7,10000,1.0077687813960166,0.8832
Half approval,20,2,8,10000,1.007622230828808,0.8822
Ranked Pairs,20,2,0,10000,1.0079342805661222,0.882
Ranked Pairs,20,2,1,10000,1.007169073164478,0.8865
Ranked Pairs,20,2,2,10000,1.0071091446953355,0.8792
Ranked Pairs,20,2,3,10000,1.0063987481986976,0.8913
Ranked Pairs,20,2,4,10000,1.0064646032423088,0.8911
Ranked Pairs,20,2,5,10000,1.0064504491944415,0.8956
Ranked Pairs,20,2,6,10000,1.0067705453712665,0.8918
Ranked Pairs,20,2,7,10000,1.0070041814328987,0.8946
Ranked Pairs,20,2,8,10000,1.0080040446405076,0.8841
Copeland,20,2,0,10000,1.0078275049119463,0.8824
Copeland,20,2,1,10000,1.0070258739005211,0.8884
Copeland,20,2,2,10000,1.007056797353419,0.8864
Copeland,20,2,3,10000,1.0060777465694457,0.8941
Copeland,20,2,4,10000,1.0061768178937616,0.8927
Copeland,20,2,5,10000,1.006208555309252,0.8938
Copeland,20,2,6,10000,1.0057668908856081,0.9004
Copeland,20,2,7,10000,1.0053412419140784,0.9025
Copeland,20,2,8,10000,1.0049976100721383,0.9062
Borda,20,2,0,10000,1.0078583017673783,0.8785
Borda,20,2,1,10000,1.0056216376935074,0.8977
Borda,20,2,2,10000,1.004543430553193,0.9055
Borda,20,2,3,10000,1.0039251622378964,0.9158
Borda,20,2,4,10000,1.0033131238087802,0.9232
Borda,20,2,5,10000,1.0033166289763724,0.9237
Borda,20,2,6,10000,1.0027342811520585,0.9281
Borda,20,2,7,10000,1.0026710835896524,0.9285
Borda,20,2,8,10000,1.0026102692926073,0.9305
Random Voter Utility,20,2,0,10000,1.0078105129130908,0.8824
Random Voter Utility,20,2,1,10000,1.006848968719917,0.8891
Random Voter Utility,20,2,2,10000,1.007024147985753,0.885
Random Voter Utility,20,2,3,10000,1.0062954508197979,0.893
Random Voter Utility,20,2,4,10000,1.0059010182328758,0.8922
Random Voter Utility,20,2,5,10000,1.0053379779203568,0.9001
Random Voter Utility,20,2,6,10000,1.0047674921794492,0.9083
Random Voter Utility,20,2,7,10000,1.0046878101106733,0.9067
Random Voter Utility,20,2,8,10000,1.0046847269166144,0.9054
