# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,20,2,0,10000,1.0079343940851906,0.8786
Veto,20,2,1,10000,1.011413298174084,0.8576
Veto,20,2,2,10000,1.016479821702913,0.8234
Veto,20,2,3,10000,1.0191756943008585,0.8132
Veto,20,2,4,10000,1.0240650917009815,0.7851
Veto,20,2,5,10000,1.0263853458266576,0.7778
Veto,20,2,6,10000,1.030165038019396,0.7639
Veto,20,2,7,10000,1.0338280578941803,0.7506
Veto,20,2,8,10000,1.0338834870332494,0.7416
Plurality,20,2,0,10000,1.0075186641575238,0.8815
Plurality,20,2,1,10000,1.010734875830637,0.8579
Plurality,20,2,2,10000,1.0154668739173296,0.8303
Plurality,20,2,3,10000,1.0188472260235388,0.8156
Plurality,20,2,4,10000,1.020521732104676,0.8007
Plurality,20,2,5,10000,1.0239890230474535,0.7901
Plurality,20,2,6,10000,1.0258663210842367,0.7804
Plurality,20,2,7,10000,1.0298884244945619,0.7697
Plurality,20,2,8,10000,1.0330002051157385,0.7546
STV,20,2,0,10000,1.007573574990153,0.884
STV,20,2,1,10000,1.0100355579038283,0.8668
STV,20,2,2,10000,1.0144475262411974,0.8362
STV,20,2,3,10000,1.017759464977139,0.8224
STV,20,2,4,10000,1.0193475798302327,0.8136
STV,20,2,5,10000,1.0211375067830695,0.8006
STV,20,2,6,10000,1.0232532917694297,0.7927
STV,20,2,7,10000,1.027954496915659,0.7706
STV,20,2,8,10000,1.029048054333405,0.7671
Harmonic,20,2,0,10000,1.0079040737578577,0.8823
Harmonic,20,2,1,10000,1.0066030211689678,0.8906
Harmonic,20,2,2,10000,1.0068127237913131,0.8865
Harmonic,20,2,3,10000,1.0074218714227048,0.8805
Harmonic,20,2,4,10000,1.0078916079621991,0.8804
Harmonic,20,2,5,10000,1.0076123352910997,0.8845
Harmonic,20,2,6,10000,1.008164319247051,0.879
Harmonic,20,2,7,10000,1.008585401509127,0.8743
Harmonic,20,2,8,10000,1.009306362422906,0.8663
Half approval,20,2,0,10000,1.007936707537258,0.8822
Half approval,20,2,1,10000,1.011111135977687,0.8605
Half approval,20,2,2,10000,1.0080721098776986,0.8774
Half approval,20,2,3,10000,1.0087019683360132,0.8746
Half approval,20,2,4,10000,1.0086837483605249,0.8713
Half approval,20,2,5,10000,1.0080804163064252,0.8795
Half approval,20,2,6,10000,1.0078087884576041,0.8855
Half approval,20,2,7,10000,1.0075866532929831,0.8756
Half approval,20,2,8,10000,1.0076134399320698,0.8835
Ranked Pairs,20,2,0,10000,1.0076496623967113,0.8817
Ranked Pairs,20,2,1,10000,1.0071194027937018,0.8864
Ranked Pairs,20,2,2,10000,1.0068250919429633,0.8877
Ranked Pairs,20,2,3,10000,1.0061054004515866,0.8937
Ranked Pairs,20,2,4,10000,1.006373298841789,0.8929
Ranked Pairs,20,2,5,10000,1.0063791089886873,0.8967
Ranked Pairs,20,2,6,10000,1.0069179794450527,0.8906
Ranked Pairs,20,2,7,10000,1.0068183463958147,0.8922
Ranked Pairs,20,2,8,10000,1.0073878913801708,0.8936
Copeland,20,2,0,10000,1.0078744581765746,0.8811
Copeland,20,2,1,10000,1.0072138529040735,0.8848
Copeland,20,2,2,10000,1.0065829904710282,0.8886
Copeland,20,2,3,10000,1.0068702478825624,0.8872
Copeland,20,2,4,10000,1.0062481660434186,0.8953
Copeland,20,2,5,10000,1.0058632522307,0.8987
Copeland,20,2,6,10000,1.0054879240151873,0.9008
Copeland,20,2,7,10000,1.0051256472212413,0.9024
Copeland,20,2,8,10000,1.005239014281761,0.904
Borda,20,2,0,10000,1.0081368258351038,0.8773
Borda,20,2,1,10000,1.005455767950765,0.8968
Borda,20,2,2,10000,1.0045606023055498,0.9069
Borda,20,2,3,10000,1.003864841279763,0.9172
Borda,20,2,4,10000,1.0033999416400916,0.921
Borda,20,2,5,10000,1.002932404235638,0.9274
Borda,20,2,6,10000,1.0029932422506944,0.9236
Borda,20,2,7,10000,1.002737165265791,0.9286
Borda,20,2,8,10000,1.0024770882249383,0.9347
Random Voter Utility,20,2,0,10000,1.0080990448606353,0.8807
Random Voter Utility,20,2,1,10000,1.0068699010038955,0.8863
Random Voter Utility,20,2,2,10000,1.0069050811830518,0.883
Random Voter Utility,20,2,3,10000,1.006403768541689,0.8913
Random Voter Utility,20,2,4,10000,1.0057580968174369,0.9
Random Voter Utility,20,2,5,10000,1.0055162645484101,0.8986
Random Voter Utility,20,2,6,10000,1.0047983725940464,0.9082
Random Voter Utility,20,2,7,10000,1.0047372554322924,0.9069
Random Voter Utility,20,2,8,10000,1.0043877123107174,0.9048
