# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,20,2,0,10000,1.0034352990076565,0.9376
Veto,20,2,1,10000,1.0195998433574582,0.848
Veto,20,2,2,10000,1.025495657845413,0.827
Veto,20,2,3,10000,1.031198515335164,0.8104
Veto,20,2,4,10000,1.0381706170319993,0.7826
Veto,20,2,5,10000,1.0421949589093082,0.7655
Veto,20,2,6,10000,1.0464110226296108,0.7572
Veto,20,2,7,10000,1.048736032102381,0.7492
Veto,20,2,8,10000,1.0534327803352308,0.7306
Plurality,20,2,0,10000,1.0036892460548283,0.9348
Plurality,20,2,1,10000,1.020313902235173,0.8366
Plurality,20,2,2,10000,1.0327261373646568,0.7898
Plurality,20,2,3,10000,1.0442972777177497,0.7456
Plurality,20,2,4,10000,1.0545904437418554,0.7228
Plurality,20,2,5,10000,1.0627588285640526,0.6993
Plurality,20,2,6,10000,1.0664023771739015,0.6937
Plurality,20,2,7,10000,1.0768071933790526,0.6707
Plurality,20,2,8,10000,1.079852912713023,0.6638
STV,20,2,0,10000,1.0037797199837948,0.9326
STV,20,2,1,10000,1.0164952460504955,0.8627
STV,20,2,2,10000,1.0290813745335563,0.8114
STV,20,2,3,10000,1.0410164417654184,0.7724
STV,20,2,4,10000,1.048029032783527,0.7463
STV,20,2,5,10000,1.0601121390760162,0.7129
STV,20,2,6,10000,1.0637350777672732,0.7083
STV,20,2,7,10000,1.072255357824349,0.6834
STV,20,2,8,10000,1.0804466158264434,0.6639
Harmonic,20,2,0,10000,1.0035141926609041,0.9373
Harmonic,20,2,1,10000,1.0065389449729847,0.9118
Harmonic,20,2,2,10000,1.0083148901097612,0.896
Harmonic,20,2,3,10000,1.011111125122351,0.8764
Harmonic,20,2,4,10000,1.0128398964595968,0.8682
Harmonic,20,2,5,10000,1.0138319267471212,0.8627
Harmonic,20,2,6,10000,1.0148249561770601,0.8604
Harmonic,20,2,7,10000,1.0168804933631892,0.8435
Harmonic,20,2,8,10000,1.0185154172395585,0.8386
Half approval,20,2,0,10000,1.0037795761395663,0.9302
Half approval,20,2,1,10000,1.0206436320074503,0.8395
Half approval,20,2,2,10000,1.0099446998579584,0.892
Half approval,20,2,3,10000,1.0115766484601842,0.8813
Half approval,20,2,4,10000,1.0091079869103585,0.8912
Half approval,20,2,5,10000,1.0098590265760572,0.8854
Half approval,20,2,6,10000,1.008768507274735,0.8883
Half approval,20,2,7,10000,1.0088746644258406,0.8927
Half approval,20,2,8,10000,1.007331071945029,0.8965
Ranked Pairs,20,2,0,10000,1.003549732182086,0.9341
Ranked Pairs,20,2,1,10000,1.003587882231951,0.932
Ranked Pairs,20,2,2,10000,1.0031220246891446,0.9392
Ranked Pairs,20,2,3,10000,1.0028673364750604,0.9375
Ranked Pairs,20,2,4,10000,1.002951430821998,0.9431
Ranked Pairs,20,2,5,10000,1.0033073631838838,0.9399
Ranked Pairs,20,2,6,10000,1.0035459923927788,0.9365
Ranked Pairs,20,2,7,10000,1.0032465466810296,0.9449
Ranked Pairs,20,2,8,10000,1.003510123855148,0.9427
Copeland,20,2,0,10000,1.0038459450875057,0.9329
Copeland,20,2,1,10000,1.0034491705561737,0.9378
Copeland,20,2,2,10000,1.0032099320314833,0.9377
Copeland,20,2,3,10000,1.003065046729743,0.9383
Copeland,20,2,4,10000,1.0030531981955566,0.9395
Copeland,20,2,5,10000,1.0031238840818817,0.9385
Copeland,20,2,6,10000,1.0025870299509436,0.9421
Copeland,20,2,7,10000,1.002619179427294,0.9447
Copeland,20,2,8,10000,1.0024744218455546,0.9467
Borda,20,2,0,10000,1.0035639068034565,0.9339
Borda,20,2,1,10000,1.0041120642371155,0.9316
Borda,20,2,2,10000,1.0033907346633881,0.9384
Borda,20,2,3,10000,1.0031918340396788,0.938
Borda,20,2,4,10000,1.0025372395422298,0.9445
Borda,20,2,5,10000,1.0022805889858963,0.9465
Borda,20,2,6,10000,1.0020979418291345,0.9481
Borda,20,2,7,10000,1.0020960770630791,0.9476
Borda,20,2,8,10000,1.0018529191892862,0.9504
Random Voter Utility,20,2,0,10000,1.0037119414868387,0.9338
Random Voter Utility,20,2,1,10000,1.0076076577578297,0.903
Random Voter Utility,20,2,2,10000,1.0068778806481138,0.9061
Random Voter Utility,20,2,3,10000,1.005216811365084,0.9202
Random Voter Utility,20,2,4,10000,1.004380123120234,0.9232
Random Voter Utility,20,2,5,10000,1.0039776172151764,0.9276
Random Voter Utility,20,2,6,10000,1.0035842562662707,0.932
Random Voter Utility,20,2,7,10000,1.0033472412810442,0.9354
Random Voter Utility,20,2,8,10000,1.0032971768862808,0.9342
