# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,20,2,0,10000,1.003341093952362,0.9419
Veto,20,2,1,10000,1.0288046081801847,0.8499
Veto,20,2,2,10000,1.043132183810645,0.807
Veto,20,2,3,10000,1.0475592221585142,0.7809
Veto,20,2,4,10000,1.0509002929637978,0.7648
Veto,20,2,5,10000,1.0545736127640515,0.7493
Veto,20,2,6,10000,1.0605257300070026,0.7328
Veto,20,2,7,10000,1.0644797690723022,0.7213
Veto,20,2,8,10000,1.0692840771901733,0.7104
Plurality,20,2,0,10000,1.003101911319433,0.9487
Plurality,20,2,1,10000,1.017685855840653,0.8672
Plurality,20,2,2,10000,1.0301331193396004,0.8107
Plurality,20,2,3,10000,1.0366022078802064,0.7803
Plurality,20,2,4,10000,1.0424027609590991,0.7544
Plurality,20,2,5,10000,1.04953233687698,0.7358
Plurality,20,2,6,10000,1.0515244384529905,0.7277
Plurality,20,2,7,10000,1.059327208968178,0.708
Plurality,20,2,8,10000,1.0581900498454078,0.7025
STV,20,2,0,10000,1.0030137203216312,0.9444
STV,20,2,1,10000,1.0171494199375077,0.8705
STV,20,2,2,10000,1.0268910272613885,0.8266
STV,20,2,3,10000,1.0362947802361204,0.785
STV,20,2,4,10000,1.0414886532718892,0.772
STV,20,2,5,10000,1.048254683946395,0.7451
STV,20,2,6,10000,1.0538092807935224,0.7243
STV,20,2,7,10000,1.0562805860070514,0.7111
STV,20,2,8,10000,1.0581720499197924,0.7085
Harmonic,20,2,0,10000,1.0030549347534858,0.9456
Harmonic,20,2,1,10000,1.0061124544022404,0.924
Harmonic,20,2,2,10000,1.0074230840937268,0.9101
Harmonic,20,2,3,10000,1.008536325587516,0.9029
Harmonic,20,2,4,10000,1.0098484107407344,0.8935
Harmonic,20,2,5,10000,1.0105056360769697,0.8867
Harmonic,20,2,6,10000,1.0122303404790476,0.8743
Harmonic,20,2,7,10000,1.0124647070192994,0.8748
Harmonic,20,2,8,10000,1.0134182487834444,0.8706
Half approval,20,2,0,10000,1.0030348581617803,0.9472
Half approval,20,2,1,10000,1.019065849861274,0.8583
Half approval,20,2,2,10000,1.0172136468374786,0.8788
Half approval,20,2,3,10000,1.016317752774133,0.8672
Half approval,20,2,4,10000,1.0156249604675833,0.8661
Half approval,20,2,5,10000,1.015746544286263,0.8674
Half approval,20,2,6,10000,1.0173730144818145,0.8564
Half approval,20,2,7,10000,1.0155208764647667,0.8629
Half approval,20,2,8,10000,1.016133959683414,0.8642
Ranked Pairs,20,2,0,10000,1.0032625378534845,0.9465
Ranked Pairs,20,2,1,10000,1.0031285650832498,0.9477
Ranked Pairs,20,2,2,10000,1.0028635202263725,0.9458
Ranked Pairs,20,2,3,10000,1.0024162723167882,0.9508
Ranked Pairs,20,2,4,10000,1.0019583957062261,0.9552
Ranked Pairs,20,2,5,10000,1.001834842391169,0.9573
Ranked Pairs,20,2,6,10000,1.002050778292662,0.9517
Ranked Pairs,20,2,7,10000,1.0017673737152057,0.9557
Ranked Pairs,20,2,8,10000,1.0021147839195592,0.9526
Copeland,20,2,0,10000,1.0033349913957166,0.9462
Copeland,20,2,1,10000,1.0023611718600702,0.9536
Copeland,20,2,2,10000,1.002692263585658,0.9514
Copeland,20,2,3,10000,1.0023399898897416,0.949
Copeland,20,2,4,10000,1.0022811570125412,0.9499
Copeland,20,2,5,10000,1.0021959163633256,0.9508
Copeland,20,2,6,10000,1.0018828394296992,0.9548
Copeland,20,2,7,10000,1.0017976814408762,0.9548
Copeland,20,2,8,10000,1.0018707830845657,0.9531
Borda,20,2,0,10000,1.003046799569957,0.9449
Borda,20,2,1,10000,1.003540970441118,0.9439
Borda,20,2,2,10000,1.003571910406945,0.9408
Borda,20,2,3,10000,1.0029665598701345,0.9494
Borda,20,2,4,10000,1.0024547357161817,0.9537
Borda,20,2,5,10000,1.0023285116610532,0.9516
Borda,20,2,6,10000,1.0026782959575768,0.9478
Borda,20,2,7,10000,1.0024215602864155,0.952
Borda,20,2,8,10000,1.0022939223281049,0.9538
Random Voter Utility,20,2,0,10000,1.0029532108510322,0.9482
Random Voter Utility,20,2,1,10000,1.0068268211697664,0.9178
Random Voter Utility,20,2,2,10000,1.0061799780940752,0.9196
Random Voter Utility,20,2,3,10000,1.0051393383819227,0.9239
Random Voter Utility,20,2,4,10000,1.004839663619729,0.9294
Random Voter Utility,20,2,5,10000,1.0042634521490639,0.9294
Random Voter Utility,20,2,6,10000,1.003529176117164,0.9361
Random Voter Utility,20,2,7,10000,1.0031191005529085,0.939
Random Voter Utility,20,2,8,10000,1.0033044887533822,0.9386
