# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,20,2,0,10000,1.0053403627195112,0.9411
Veto,20,2,1,10000,1.0481597330780237,0.7919
Veto,20,2,2,10000,1.0631374131804538,0.7513
Veto,20,2,3,10000,1.0673759115325256,0.7393
Veto,20,2,4,10000,1.0765861032958495,0.7125
Veto,20,2,5,10000,1.0864976905950559,0.6874
Veto,20,2,6,10000,1.0870098105885264,0.6835
Veto,20,2,7,10000,1.0978099517988487,0.657
Veto,20,2,8,10000,1.1013935795616574,0.642
Plurality,20,2,0,10000,1.0048360124821363,0.9398
Plurality,20,2,1,10000,1.0666029817603313,0.7038
Plurality,20,2,2,10000,1.0950203653214832,0.6307
Plurality,20,2,3,10000,1.1053136536217762,0.6076
Plurality,20,2,4,10000,1.115541141425358,0.5966
Plurality,20,2,5,10000,1.1202969380518362,0.5801
Plurality,20,2,6,10000,1.1259631064297781,0.5664
Plurality,20,2,7,10000,1.1348796137774622,0.5493
Plurality,20,2,8,10000,1.1332007488725198,0.5609
STV,20,2,0,10000,1.0054283373561461,0.9416
STV,20,2,1,10000,1.0577471760186146,0.7332
STV,20,2,2,10000,1.0852779885076214,0.6632
STV,20,2,3,10000,1.1023465220369597,0.6213
STV,20,2,4,10000,1.1115158187877912,0.6033
STV,20,2,5,10000,1.1170534684248263,0.5914
STV,20,2,6,10000,1.1275193603109033,0.5735
STV,20,2,7,10000,1.1276468091033525,0.5744
STV,20,2,8,10000,1.1309822306129502,0.5591
Harmonic,20,2,0,10000,1.0052292463837333,0.9388
Harmonic,20,2,1,10000,1.0185303571499706,0.852
Harmonic,20,2,2,10000,1.028970489500369,0.8092
Harmonic,20,2,3,10000,1.0375284603374415,0.7825
Harmonic,20,2,4,10000,1.043182814628854,0.7599
Harmonic,20,2,5,10000,1.0468794752666672,0.7436
Harmonic,20,2,6,10000,1.0510681274138043,0.7332
Harmonic,20,2,7,10000,1.054235310407446,0.7289
Harmonic,20,2,8,10000,1.0581038195936487,0.7207
Half approval,20,2,0,10000,1.0048538803101614,0.9419
Half approval,20,2,1,10000,1.0678064568662204,0.6985
Half approval,20,2,2,10000,1.0157572001205946,0.8874
Half approval,20,2,3,10000,1.0400657283112653,0.7781
Half approval,20,2,4,10000,1.0142429321731579,0.8831
Half approval,20,2,5,10000,1.029550919076722,0.8154
Half approval,20,2,6,10000,1.0138950690563249,0.8804
Half approval,20,2,7,10000,1.0268450756869425,0.8224
Half approval,20,2,8,10000,1.0120556941874037,0.8854
Ranked Pairs,20,2,0,10000,1.0049165387955588,0.9414
Ranked Pairs,20,2,1,10000,1.005134409857803,0.9421
Ranked Pairs,20,2,2,10000,1.005043341794493,0.9425
Ranked Pairs,20,2,3,10000,1.0050555457218528,0.943
Ranked Pairs,20,2,4,10000,1.0054631387823856,0.9428
Ranked Pairs,20,2,5,10000,1.0048446093952577,0.9424
Ranked Pairs,20,2,6,10000,1.0051745771012208,0.9441
Ranked Pairs,20,2,7,10000,1.0053710965737612,0.9395
Ranked Pairs,20,2,8,10000,1.0054317235530157,0.9365
Copeland,20,2,0,10000,1.0049408956430257,0.9403
Copeland,20,2,1,10000,1.0046792083455363,0.9442
Copeland,20,2,2,10000,1.004897148226784,0.9421
Copeland,20,2,3,10000,1.0045604314026177,0.9436
Copeland,20,2,4,10000,1.0046919298737085,0.9452
Copeland,20,2,5,10000,1.003975158911376,0.9512
Copeland,20,2,6,10000,1.0039391492814445,0.9512
Copeland,20,2,7,10000,1.0038960342937826,0.9527
Copeland,20,2,8,10000,1.0040910648126136,0.95
Borda,20,2,0,10000,1.0046185697060714,0.9473
Borda,20,2,1,10000,1.010363554816952,0.9237
Borda,20,2,2,10000,1.0096915502649895,0.9218
Borda,20,2,3,10000,1.0088838274535223,0.9209
Borda,20,2,4,10000,1.0075594631997762,0.928
Borda,20,2,5,10000,1.007142043560668,0.931
Borda,20,2,6,10000,1.0063940698547655,0.9304
Borda,20,2,7,10000,1.0058263253676238,0.9342
Borda,20,2,8,10000,1.005465444121755,0.9381
Random Voter Utility,20,2,0,10000,1.0052080593103365,0.9428
Random Voter Utility,20,2,1,10000,1.020162576686083,0.8582
Random Voter Utility,20,2,2,10000,1.0148170644163426,0.883
Random Voter Utility,20,2,3,10000,1.01513173917206,0.8757
Random Voter Utility,20,2,4,10000,1.012883776424598,0.8858
Random Voter Utility,20,2,5,10000,1.0117401086136353,0.891
Random Voter Utility,20,2,6,10000,1.0097223851723958,0.8976
Random Voter Utility,20,2,7,10000,1.0096773566310933,0.8963
Random Voter Utility,20,2,8,10000,1.0090657582943412,0.9017
