# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,20,2,0,10000,1.0268053737327743,0.9142
Veto,20,2,1,10000,1.0523771999920712,0.8973
Veto,20,2,2,10000,1.0762355592196216,0.8784
Veto,20,2,3,10000,1.05820125195406,0.8718
Veto,20,2,4,10000,1.091098231554979,0.8569
Veto,20,2,5,10000,1.0930849906075026,0.8393
Veto,20,2,6,10000,1.1525582320392704,0.8308
Veto,20,2,7,10000,1.1225677616907863,0.8245
Veto,20,2,8,10000,1.1257883206425496,0.8183
Plurality,20,2,0,10000,1.0300315399197522,0.9207
Plurality,20,2,1,10000,1.0963829646278338,0.8999
Plurality,20,2,2,10000,1.1222610253215781,0.8817
Plurality,20,2,3,10000,1.1918478342204977,0.8691
Plurality,20,2,4,10000,2.772417491841441,0.8591
Plurality,20,2,5,10000,1.170120943689263,0.851
Plurality,20,2,6,10000,1.230424211969345,0.8408
Plurality,20,2,7,10000,1.3372611341469962,0.8275
Plurality,20,2,8,10000,1.3618556920545768,0.8263
STV,20,2,0,10000,1.4067641988837167,0.9195
STV,20,2,1,10000,1.05942988996559,0.897
STV,20,2,2,10000,1.0889353851370978,0.8885
STV,20,2,3,10000,1.1392475427287494,0.8768
STV,20,2,4,10000,1.1615393837848274,0.8643
STV,20,2,5,10000,1.2820644602776765,0.8542
STV,20,2,6,10000,1.2819633646964075,0.8416
STV,20,2,7,10000,1.3188358597691279,0.8389
STV,20,2,8,10000,1.4076086913699237,0.8232
Harmonic,20,2,0,10000,1.031928864371029,0.9199
Harmonic,20,2,1,10000,1.0367207817413875,0.9205
Harmonic,20,2,2,10000,1.0453332640947899,0.9201
Harmonic,20,2,3,10000,1.0842710463670129,0.9237
Harmonic,20,2,4,10000,1.0338678161958097,0.9215
Harmonic,20,2,5,10000,1.0318716326475994,0.9222
Harmonic,20,2,6,10000,1.0326320815374441,0.9182
Harmonic,20,2,7,10000,1.267408703563397,0.9165
Harmonic,20,2,8,10000,1.047285557035042,0.9122
Half approval,20,2,0,10000,1.0267876698535439,0.9179
Half approval,20,2,1,10000,1.0641597221505879,0.8994
Half approval,20,2,2,10000,1.1124695572794125,0.9106
Half approval,20,2,3,10000,1.0531314259844298,0.912
Half approval,20,2,4,10000,1.0359201452927465,0.9041
Half approval,20,2,5,10000,1.0453645307558217,0.9053
Half approval,20,2,6,10000,1.0390138208920912,0.9099
Half approval,20,2,7,10000,1.0918340348434101,0.9067
Half approval,20,2,8,10000,1.0499078272462434,0.9062
Ranked Pairs,20,2,0,10000,1.0496176714691228,0.9133
Ranked Pairs,20,2,1,10000,1.0258792148838374,0.9217
Ranked Pairs,20,2,2,10000,1.0346400377133222,0.9214
Ranked Pairs,20,2,3,10000,1.025887823527784,0.9235
Ranked Pairs,20,2,4,10000,1.029592595168461,0.9242
Ranked Pairs,20,2,5,10000,1.0248980965279764,0.9196
Ranked Pairs,20,2,6,10000,1.032391064063601,0.928
Ranked Pairs,20,2,7,10000,1.0629177547877038,0.9245
Ranked Pairs,20,2,8,10000,1.1043975360253597,0.9275
Copeland,20,2,0,10000,1.03818758692506,0.9144
Copeland,20,2,1,10000,1.059729630367997,0.9276
Copeland,20,2,2,10000,1.0295907451707393,0.9252
Copeland,20,2,3,10000,1.026207803905045,0.926
Copeland,20,2,4,10000,1.02242601616568,0.9308
Copeland,20,2,5,10000,1.0246997800751685,0.9282
Copeland,20,2,6,10000,1.0540102150926314,0.9281
Copeland,20,2,7,10000,1.0254125873286164,0.9327
Copeland,20,2,8,10000,1.0335642637737614,0.9374
Borda,20,2,0,10000,1.0262866669450996,0.9156
Borda,20,2,1,10000,1.033895379001565,0.9324
Borda,20,2,2,10000,1.0164189052187431,0.9434
Borda,20,2,3,10000,1.0116001536591037,0.9451
Borda,20,2,4,10000,1.0202115243290686,0.9522
Borda,20,2,5,10000,1.0102959418022366,0.9524
Borda,20,2,6,10000,1.0113562763379058,0.954
Borda,20,2,7,10000,1.0063135364565812,0.9564
Borda,20,2,8,10000,1.0104433634343581,0.9559
Random Voter Utility,20,2,0,10000,1.0345961900758212,0.9201
Random Voter Utility,20,2,1,10000,1.030179643688961,0.9209
Random Voter Utility,20,2,2,10000,1.0353849696891342,0.9315
Random Voter Utility,20,2,3,10000,1.0221307046421384,0.9344
Random Voter Utility,20,2,4,10000,1.0321570288092465,0.9368
Random Voter Utility,20,2,5,10000,1.0169911234790356,0.9384
Random Voter Utility,20,2,6,10000,1.023514582057722,0.9461
Random Voter Utility,20,2,7,10000,1.0167978118423022,0.9455
Random Voter Utility,20,2,8,10000,1.0117277506102518,0.9488
