# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0039143858424229,0.9587
Plurality,20,3,0,10000,1.0032545298551991,0.9462
Plurality,20,4,0,10000,1.0040332994719743,0.9246
Plurality,20,5,0,10000,1.0046423349391231,0.9096
Plurality,20,6,0,10000,1.0045965315236005,0.8979
Plurality,20,7,0,10000,1.0058727043786166,0.8719
Plurality,20,8,0,10000,1.0060207576188676,0.8664
Plurality,20,9,0,10000,1.007010441381466,0.839
Plurality,20,10,0,10000,1.007957666762523,0.8268
Plurality w/ runoff,20,2,0,10000,1.00325120049566,0.9613
Plurality w/ runoff,20,3,0,10000,1.0033976412597845,0.9399
Plurality w/ runoff,20,4,0,10000,1.0041016854139533,0.9216
Plurality w/ runoff,20,5,0,10000,1.00436032664929,0.9089
Plurality w/ runoff,20,6,0,10000,1.0046019317343544,0.891
Plurality w/ runoff,20,7,0,10000,1.0051407726908466,0.8802
Plurality w/ runoff,20,8,0,10000,1.0055236655595932,0.8639
Plurality w/ runoff,20,9,0,10000,1.0064294686543949,0.8428
Plurality w/ runoff,20,10,0,10000,1.0063643088318601,0.8395
PluralityVeto,20,2,0,10000,1.0031719692372179,0.962
PluralityVeto,20,3,0,10000,1.002581562971144,0.9538
PluralityVeto,20,4,0,10000,1.0029014570858275,0.9366
PluralityVeto,20,5,0,10000,1.003140925828857,0.9199
PluralityVeto,20,6,0,10000,1.0035910511960302,0.907
PluralityVeto,20,7,0,10000,1.004247442251772,0.8886
PluralityVeto,20,8,0,10000,1.004054791439192,0.886
PluralityVeto,20,9,0,10000,1.0043795393451187,0.8723
PluralityVeto,20,10,0,10000,1.0047950163869441,0.8599
STV,20,2,0,10000,1.0042116351073356,0.9562
STV,20,3,0,10000,1.0031846392648496,0.945
STV,20,4,0,10000,1.003625631100894,0.9276
STV,20,5,0,10000,1.0035892294117408,0.9174
STV,20,6,0,10000,1.0043642247905968,0.8947
STV,20,7,0,10000,1.0045186287693766,0.8804
STV,20,8,0,10000,1.004851695037105,0.8696
STV,20,9,0,10000,1.0055975801045507,0.8593
STV,20,10,0,10000,1.005513312787088,0.852
Harmonic,20,2,0,10000,1.0046892226915831,0.9599
Harmonic,20,3,0,10000,1.002606525125259,0.9489
Harmonic,20,4,0,10000,1.0025280302593498,0.9398
Harmonic,20,5,0,10000,1.002776243621286,0.9251
Harmonic,20,6,0,10000,1.0031375808292389,0.913
Harmonic,20,7,0,10000,1.0032215984855768,0.9044
Harmonic,20,8,0,10000,1.0032541311024783,0.8932
Harmonic,20,9,0,10000,1.0033062033952944,0.891
Harmonic,20,10,0,10000,1.0036576847435548,0.8758
Half approval,20,2,0,10000,1.0045884597677959,0.9606
Half approval,20,3,0,10000,1.0035413581058938,0.9426
Half approval,20,4,0,10000,1.0126883845517887,0.8683
Half approval,20,5,0,10000,1.0101583009160269,0.8634
Half approval,20,6,0,10000,1.0249132241554375,0.7661
Half approval,20,7,0,10000,1.0180843699561086,0.7828
Half approval,20,8,0,10000,1.034054301846333,0.6814
Half approval,20,9,0,10000,1.0270513276220468,0.6983
Half approval,20,10,0,10000,1.0425106644118505,0.6145
Bucklin,20,2,0,10000,1.003993915192096,0.9623
Bucklin,20,3,0,10000,1.0037179920283816,0.9444
Bucklin,20,4,0,10000,1.003389539876203,0.9299
Bucklin,20,5,0,10000,1.003492512485019,0.9187
Bucklin,20,6,0,10000,1.0039758048651315,0.9044
Bucklin,20,7,0,10000,1.00419761543142,0.8937
Bucklin,20,8,0,10000,1.0049286031322562,0.8727
Bucklin,20,9,0,10000,1.0051546664038276,0.8594
Bucklin,20,10,0,10000,1.0053699040447321,0.8519
Maximin,20,2,0,10000,1.0033229435540936,0.9602
Maximin,20,3,0,10000,1.003341458813401,0.943
Maximin,20,4,0,10000,1.0034402584185418,0.9273
Maximin,20,5,0,10000,1.0035032768955114,0.9128
Maximin,20,6,0,10000,1.0040431040118807,0.9004
Maximin,20,7,0,10000,1.0042919490324829,0.8861
Maximin,20,8,0,10000,1.0046148888805781,0.8691
Maximin,20,9,0,10000,1.0048231091063076,0.8619
Maximin,20,10,0,10000,1.0050653844467967,0.8588
Ranked Pairs,20,2,0,10000,1.0049679746464462,0.9593
Ranked Pairs,20,3,0,10000,1.0036924517922274,0.9439
Ranked Pairs,20,4,0,10000,1.003204944989571,0.9271
Ranked Pairs,20,5,0,10000,1.003475750078216,0.9193
Ranked Pairs,20,6,0,10000,1.0037883612457223,0.9002
Ranked Pairs,20,7,0,10000,1.0044388796073138,0.8886
Ranked Pairs,20,8,0,10000,1.0053696736136968,0.8797
Ranked Pairs,20,9,0,10000,1.005128871921766,0.8684
Ranked Pairs,20,10,0,10000,1.0049055355444299,0.8547
Copeland,20,2,0,10000,1.004483512706951,0.9571
Copeland,20,3,0,10000,1.0035477409694467,0.9423
Copeland,20,4,0,10000,1.0032325665251152,0.932
Copeland,20,5,0,10000,1.0034871083680574,0.9167
Copeland,20,6,0,10000,1.0035395461142853,0.9081
Copeland,20,7,0,10000,1.0043653420094552,0.8888
Copeland,20,8,0,10000,1.0043263998404681,0.8778
Copeland,20,9,0,10000,1.004448997717292,0.8719
Copeland,20,10,0,10000,1.0051031282390874,0.8584
Borda,20,2,0,10000,1.0050618191964098,0.961
Borda,20,3,0,10000,1.0030291424760112,0.9532
Borda,20,4,0,10000,1.0022201850994985,0.9416
Borda,20,5,0,10000,1.0020213858399996,0.9365
Borda,20,6,0,10000,1.002190059007267,0.9265
Borda,20,7,0,10000,1.002319695793447,0.9184
Borda,20,8,0,10000,1.0025135368103213,0.904
Borda,20,9,0,10000,1.0025166952941336,0.9038
Borda,20,10,0,10000,1.0027115271554488,0.8903
Random Voter Utility,20,2,0,10000,1.0076447543070528,0.9598
Random Voter Utility,20,3,0,10000,1.0042457893725674,0.9466
Random Voter Utility,20,4,0,10000,1.0036917764807967,0.9285
Random Voter Utility,20,5,0,10000,1.0035420117196339,0.9177
Random Voter Utility,20,6,0,10000,1.0032792127350367,0.912
Random Voter Utility,20,7,0,10000,1.0038356476403771,0.8914
Random Voter Utility,20,8,0,10000,1.0035415139281465,0.8926
Random Voter Utility,20,9,0,10000,1.0037544993503944,0.8874
Random Voter Utility,20,10,0,10000,1.0037622531902348,0.8787
