# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0108786031247405,0.7918
Plurality,20,2,1,10000,1.0139754447307991,0.7665
Plurality,20,2,2,10000,1.0160787352744096,0.7432
Plurality,20,2,3,10000,1.0192991156025004,0.7252
Plurality,20,2,4,10000,1.0206381576727948,0.713
Plurality,20,2,5,10000,1.0223601156912285,0.6983
Plurality,20,2,6,10000,1.0235615943454053,0.6879
Plurality,20,2,7,10000,1.0237824711000798,0.6881
Plurality,20,2,8,10000,1.0256295343881061,0.6757
PluralityVeto,20,2,0,10000,1.010941840543475,0.7936
PluralityVeto,20,2,1,10000,1.009261370045369,0.8093
PluralityVeto,20,2,2,10000,1.0101991339088845,0.7987
PluralityVeto,20,2,3,10000,1.0118579216737051,0.7815
PluralityVeto,20,2,4,10000,1.0131292510705745,0.774
PluralityVeto,20,2,5,10000,1.0153133364326878,0.7509
PluralityVeto,20,2,6,10000,1.0161782741525867,0.7442
PluralityVeto,20,2,7,10000,1.017041821266916,0.7413
PluralityVeto,20,2,8,10000,1.0186881181323846,0.7212
STV,20,2,0,10000,1.0106374111576502,0.7923
STV,20,2,1,10000,1.0130765429980977,0.7769
STV,20,2,2,10000,1.0155932751044776,0.7518
STV,20,2,3,10000,1.017033386166602,0.7377
STV,20,2,4,10000,1.018692874020034,0.7206
STV,20,2,5,10000,1.021532687169819,0.7054
STV,20,2,6,10000,1.0212561139806278,0.7117
STV,20,2,7,10000,1.0237094865510943,0.6893
STV,20,2,8,10000,1.0244559011566805,0.6855
Harmonic,20,2,0,10000,1.0110560243793307,0.7886
Harmonic,20,2,1,10000,1.0098613662639861,0.8039
Harmonic,20,2,2,10000,1.0094760635147004,0.8067
Harmonic,20,2,3,10000,1.0096704030095458,0.8074
Harmonic,20,2,4,10000,1.009675348636342,0.8035
Harmonic,20,2,5,10000,1.0097080147180864,0.8007
Harmonic,20,2,6,10000,1.0107111089854848,0.7977
Harmonic,20,2,7,10000,1.0113882433131847,0.7846
Harmonic,20,2,8,10000,1.0108998194146455,0.7966
Half approval,20,2,0,10000,1.0113627923843036,0.784
Half approval,20,2,1,10000,1.01414599787916,0.7641
Half approval,20,2,2,10000,1.0128168581980148,0.7747
Half approval,20,2,3,10000,1.012463961810425,0.7784
Half approval,20,2,4,10000,1.011574195555852,0.7835
Half approval,20,2,5,10000,1.0123807309604376,0.7731
Half approval,20,2,6,10000,1.0118876601309919,0.7848
Half approval,20,2,7,10000,1.0118092769056273,0.7829
Half approval,20,2,8,10000,1.0118447142930562,0.7819
Ranked Pairs,20,2,0,10000,1.0112754682585978,0.7859
Ranked Pairs,20,2,1,10000,1.009296335448914,0.8107
Ranked Pairs,20,2,2,10000,1.0090685539835447,0.8093
Ranked Pairs,20,2,3,10000,1.0086191100681605,0.8139
Ranked Pairs,20,2,4,10000,1.0087020166902403,0.813
Ranked Pairs,20,2,5,10000,1.009241372517319,0.8122
Ranked Pairs,20,2,6,10000,1.0098989113739587,0.8132
Ranked Pairs,20,2,7,10000,1.0111357868571895,0.7993
Ranked Pairs,20,2,8,10000,1.011904291609794,0.793
Copeland,20,2,0,10000,1.0107099917407498,0.7935
Copeland,20,2,1,10000,1.010455591643362,0.796
Copeland,20,2,2,10000,1.0093139382588214,0.811
Copeland,20,2,3,10000,1.00836124081109,0.8131
Copeland,20,2,4,10000,1.0076535299644616,0.8287
Copeland,20,2,5,10000,1.007147503025562,0.8302
Copeland,20,2,6,10000,1.0063617563651934,0.8413
Copeland,20,2,7,10000,1.0059799432281518,0.8488
Copeland,20,2,8,10000,1.0058994942402413,0.8516
Borda,20,2,0,10000,1.0109912392271523,0.7876
Borda,20,2,1,10000,1.0085111752577929,0.818
Borda,20,2,2,10000,1.0064774296235166,0.842
Borda,20,2,3,10000,1.0052389238043502,0.855
Borda,20,2,4,10000,1.0046584151402302,0.8618
Borda,20,2,5,10000,1.004276888342675,0.8749
Borda,20,2,6,10000,1.0040177385498066,0.8728
Borda,20,2,7,10000,1.0035818667937972,0.8772
Borda,20,2,8,10000,1.0033408748672574,0.8831
Random Voter Utility,20,2,0,10000,1.0111420490064973,0.7896
Random Voter Utility,20,2,1,10000,1.0094016310338247,0.8052
Random Voter Utility,20,2,2,10000,1.0089092662471368,0.813
Random Voter Utility,20,2,3,10000,1.0076239121066792,0.8258
Random Voter Utility,20,2,4,10000,1.0067551192375441,0.841
Random Voter Utility,20,2,5,10000,1.0060891212624612,0.8447
Random Voter Utility,20,2,6,10000,1.0053934813945182,0.8529
Random Voter Utility,20,2,7,10000,1.0051336273032248,0.8536
Random Voter Utility,20,2,8,10000,1.004508366699728,0.8679
