# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,20,2,0,10000,1.0027142723727447,0.9493
Veto,20,2,1,10000,1.00524123231911,0.928
Veto,20,2,2,10000,1.0084845787983137,0.9047
Veto,20,2,3,10000,1.011081193081459,0.8963
Veto,20,2,4,10000,1.0142444480910933,0.8767
Veto,20,2,5,10000,1.0174327605288906,0.8665
Veto,20,2,6,10000,1.0210527149340247,0.8536
Veto,20,2,7,10000,1.0257693899965008,0.8394
Veto,20,2,8,10000,1.0294700106514751,0.8241
Plurality,20,2,0,10000,1.003115310093607,0.9438
Plurality,20,2,1,10000,1.0069612849961447,0.9282
Plurality,20,2,2,10000,1.0113933424848953,0.9077
Plurality,20,2,3,10000,1.0151248897940612,0.8972
Plurality,20,2,4,10000,1.020337885076935,0.8839
Plurality,20,2,5,10000,1.027678009280851,0.8611
Plurality,20,2,6,10000,1.0343767876066017,0.8463
Plurality,20,2,7,10000,1.0397608946358532,0.8356
Plurality,20,2,8,10000,1.0442641289507018,0.8312
PluralityVeto,20,2,0,10000,1.0027923652317368,0.9467
PluralityVeto,20,2,1,10000,1.0046811713030377,0.9399
PluralityVeto,20,2,2,10000,1.010235193190842,0.9176
PluralityVeto,20,2,3,10000,1.0142684713536447,0.9056
PluralityVeto,20,2,4,10000,1.0176803879713916,0.8936
PluralityVeto,20,2,5,10000,1.0256878990158411,0.8786
PluralityVeto,20,2,6,10000,1.0320020743908216,0.8619
PluralityVeto,20,2,7,10000,1.0383685597302965,0.8474
PluralityVeto,20,2,8,10000,1.0426730985819637,0.8453
STV,20,2,0,10000,1.002415034052463,0.9489
STV,20,2,1,10000,1.0072010605952948,0.9272
STV,20,2,2,10000,1.0112989049065637,0.9119
STV,20,2,3,10000,1.0171190859980714,0.8971
STV,20,2,4,10000,1.0219737332535772,0.883
STV,20,2,5,10000,1.0266654447277763,0.8677
STV,20,2,6,10000,1.0319499620755976,0.8626
STV,20,2,7,10000,1.0368617013536205,0.8441
STV,20,2,8,10000,1.0443304602900512,0.8264
Harmonic,20,2,0,10000,1.002708484731907,0.9464
Harmonic,20,2,1,10000,1.0024955243738234,0.9523
Harmonic,20,2,2,10000,1.0024202701607545,0.952
Harmonic,20,2,3,10000,1.0024801040596871,0.9506
Harmonic,20,2,4,10000,1.0023836297122974,0.9524
Harmonic,20,2,5,10000,1.0024332731490222,0.9512
Harmonic,20,2,6,10000,1.0023392384862333,0.9522
Harmonic,20,2,7,10000,1.0025198058615945,0.9482
Harmonic,20,2,8,10000,1.0024331322753004,0.9504
Half approval,20,2,0,10000,1.0025356471242126,0.9476
Half approval,20,2,1,10000,1.0069373434559252,0.9269
Half approval,20,2,2,10000,1.0044682427426896,0.932
Half approval,20,2,3,10000,1.0056834322434343,0.9286
Half approval,20,2,4,10000,1.0049469399688116,0.9288
Half approval,20,2,5,10000,1.0059506437150472,0.927
Half approval,20,2,6,10000,1.0051166561606717,0.9289
Half approval,20,2,7,10000,1.0054061982611158,0.9257
Half approval,20,2,8,10000,1.005322086789681,0.9257
Ranked Pairs,20,2,0,10000,1.0024395373891777,0.9511
Ranked Pairs,20,2,1,10000,1.0027208827580865,0.9463
Ranked Pairs,20,2,2,10000,1.0024055787501858,0.9512
Ranked Pairs,20,2,3,10000,1.0023117849344578,0.9499
Ranked Pairs,20,2,4,10000,1.0022498039726717,0.9514
Ranked Pairs,20,2,5,10000,1.002380904311095,0.9523
Ranked Pairs,20,2,6,10000,1.002164784063371,0.9543
Ranked Pairs,20,2,7,10000,1.0023491792262693,0.9496
Ranked Pairs,20,2,8,10000,1.0029727042413055,0.9515
Copeland,20,2,0,10000,1.002841498213379,0.9471
Copeland,20,2,1,10000,1.0023452016645265,0.9519
Copeland,20,2,2,10000,1.002463263510937,0.9489
Copeland,20,2,3,10000,1.002287513564917,0.9491
Copeland,20,2,4,10000,1.0024110941320379,0.949
Copeland,20,2,5,10000,1.0021947969284313,0.9545
Copeland,20,2,6,10000,1.002174609412139,0.9522
Copeland,20,2,7,10000,1.0020168750865495,0.9522
Copeland,20,2,8,10000,1.0019621756672832,0.952
Borda,20,2,0,10000,1.0026571492503453,0.9483
Borda,20,2,1,10000,1.0020017396823369,0.9521
Borda,20,2,2,10000,1.0017064458292022,0.9582
Borda,20,2,3,10000,1.001321212865875,0.9608
Borda,20,2,4,10000,1.0010927231643139,0.967
Borda,20,2,5,10000,1.001019785806081,0.9698
Borda,20,2,6,10000,1.0010374613777528,0.9671
Borda,20,2,7,10000,1.000836061165482,0.9721
Borda,20,2,8,10000,1.0008453107685156,0.9703
Random Voter Utility,20,2,0,10000,1.0026680867298403,0.9459
Random Voter Utility,20,2,1,10000,1.002771495334676,0.9486
Random Voter Utility,20,2,2,10000,1.0022820653366107,0.9505
Random Voter Utility,20,2,3,10000,1.0021738798964164,0.9532
Random Voter Utility,20,2,4,10000,1.0018357480712021,0.9542
Random Voter Utility,20,2,5,10000,1.0014711376822139,0.961
Random Voter Utility,20,2,6,10000,1.0014213129274523,0.9625
Random Voter Utility,20,2,7,10000,1.001354878191111,0.9617
Random Voter Utility,20,2,8,10000,1.0012963181052483,0.9643
