# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0303468861539815,0.9475
Plurality,20,2,1,10000,1.1099729674428978,0.9089
Plurality,20,2,2,10000,1.1221958223405992,0.8807
Plurality,20,2,3,10000,1.2603638604155945,0.8624
Plurality,20,2,4,10000,1.2469069033181615,0.8406
Plurality,20,2,5,10000,1.4828232576529705,0.8201
Plurality,20,2,6,10000,1.4891708560383026,0.8099
Plurality,20,2,7,10000,1.5381666607875935,0.7937
Plurality,20,2,8,10000,1.7472168729026882,0.7813
PluralityVeto,20,2,0,10000,1.0162562800610773,0.9487
PluralityVeto,20,2,1,10000,1.0643830205551608,0.9322
PluralityVeto,20,2,2,10000,1.0921843993477323,0.9139
PluralityVeto,20,2,3,10000,1.2207689873807623,0.8914
PluralityVeto,20,2,4,10000,1.196081475871552,0.876
PluralityVeto,20,2,5,10000,1.458939188764467,0.8594
PluralityVeto,20,2,6,10000,1.4825778808986463,0.8524
PluralityVeto,20,2,7,10000,1.5056035343668457,0.8352
PluralityVeto,20,2,8,10000,1.6266274230137483,0.8192
STV,20,2,0,10000,1.0193958293046186,0.9456
STV,20,2,1,10000,1.070118172536857,0.9129
STV,20,2,2,10000,1.1470425242806037,0.8846
STV,20,2,3,10000,1.2139380715053163,0.8606
STV,20,2,4,10000,1.3215057991791148,0.8296
STV,20,2,5,10000,1.4260388088952287,0.8228
STV,20,2,6,10000,1.551648296548603,0.808
STV,20,2,7,10000,1.557598519398746,0.7914
STV,20,2,8,10000,1.7316664983850272,0.7892
Harmonic,20,2,0,10000,1.0397487244631023,0.9403
Harmonic,20,2,1,10000,1.024566752691223,0.9433
Harmonic,20,2,2,10000,1.0218596953264982,0.9402
Harmonic,20,2,3,10000,1.0329994173573507,0.9325
Harmonic,20,2,4,10000,1.0269606888733205,0.9355
Harmonic,20,2,5,10000,1.0298641362554877,0.9284
Harmonic,20,2,6,10000,1.0226221552329446,0.9286
Harmonic,20,2,7,10000,1.0288956313711681,0.9238
Harmonic,20,2,8,10000,1.0266476330996952,0.9198
Half approval,20,2,0,10000,1.0277423419482121,0.9404
Half approval,20,2,1,10000,1.0694825022114804,0.9155
Half approval,20,2,2,10000,1.042300816855127,0.9219
Half approval,20,2,3,10000,1.035084907983158,0.9255
Half approval,20,2,4,10000,1.0284940268025435,0.9276
Half approval,20,2,5,10000,1.037470690534218,0.9293
Half approval,20,2,6,10000,1.0363137784668293,0.9292
Half approval,20,2,7,10000,1.0359397334607994,0.9307
Half approval,20,2,8,10000,1.0317165660996979,0.9293
Ranked Pairs,20,2,0,10000,1.0399214944523365,0.9421
Ranked Pairs,20,2,1,10000,1.0343941312112253,0.9425
Ranked Pairs,20,2,2,10000,1.0421564634613334,0.9401
Ranked Pairs,20,2,3,10000,1.0326165431401744,0.9449
Ranked Pairs,20,2,4,10000,1.035076013292089,0.9421
Ranked Pairs,20,2,5,10000,1.0504573825167571,0.9427
Ranked Pairs,20,2,6,10000,1.024041260403256,0.9418
Ranked Pairs,20,2,7,10000,1.0329925130837767,0.9476
Ranked Pairs,20,2,8,10000,1.0352197207297809,0.9489
Copeland,20,2,0,10000,1.0324886974825667,0.9386
Copeland,20,2,1,10000,1.036915240107763,0.9356
Copeland,20,2,2,10000,1.0301273600324636,0.9421
Copeland,20,2,3,10000,1.0413929189948512,0.9415
Copeland,20,2,4,10000,1.0302001876831746,0.9424
Copeland,20,2,5,10000,1.0249968792749082,0.9428
Copeland,20,2,6,10000,1.026774216696067,0.9464
Copeland,20,2,7,10000,1.0280372619849163,0.9475
Copeland,20,2,8,10000,1.0312928236920578,0.943
Borda,20,2,0,10000,1.02569670960273,0.9428
Borda,20,2,1,10000,1.0274898606747362,0.9463
Borda,20,2,2,10000,1.0249345055202288,0.9505
Borda,20,2,3,10000,1.0261259838164716,0.9548
Borda,20,2,4,10000,1.0308722570563214,0.9506
Borda,20,2,5,10000,1.0162572815143387,0.9567
Borda,20,2,6,10000,1.011277838509292,0.9593
Borda,20,2,7,10000,1.0149713444700745,0.9584
Borda,20,2,8,10000,1.0115627695471265,0.9569
Random Voter Utility,20,2,0,10000,1.3071765458542839,0.9263
Random Voter Utility,20,2,1,10000,1.1013877571836688,0.9237
Random Voter Utility,20,2,2,10000,1.037167823129103,0.9298
Random Voter Utility,20,2,3,10000,1.0611417729943082,0.9388
Random Voter Utility,20,2,4,10000,1.0299241154676069,0.9415
Random Voter Utility,20,2,5,10000,1.0276264988268033,0.9444
Random Voter Utility,20,2,6,10000,1.0235178406471372,0.9465
Random Voter Utility,20,2,7,10000,1.0161668142345637,0.9478
Random Voter Utility,20,2,8,10000,1.0219378106262402,0.9476
