# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0063219966693804,0.9141
Plurality,20,2,1,10000,1.0093729352586942,0.9014
Plurality,20,2,2,10000,1.0128454838886407,0.8898
Plurality,20,2,3,10000,1.0160700917029692,0.8703
Plurality,20,2,4,10000,1.0207312785872464,0.8542
Plurality,20,2,5,10000,1.0234488881221595,0.8451
Plurality,20,2,6,10000,1.0277038393544429,0.8323
Plurality,20,2,7,10000,1.0305133480273698,0.8218
Plurality,20,2,8,10000,1.035210393951801,0.8054
PluralityVeto,20,2,0,10000,1.0059263842779234,0.9184
PluralityVeto,20,2,1,10000,1.0073150363241206,0.9152
PluralityVeto,20,2,2,10000,1.0090586527658951,0.9028
PluralityVeto,20,2,3,10000,1.0129120445298903,0.8858
PluralityVeto,20,2,4,10000,1.0157388820090032,0.8772
PluralityVeto,20,2,5,10000,1.0172285573267974,0.867
PluralityVeto,20,2,6,10000,1.0204511346278782,0.8601
PluralityVeto,20,2,7,10000,1.0229332523257622,0.8453
PluralityVeto,20,2,8,10000,1.0272360357599646,0.836
STV,20,2,0,10000,1.0062583670456504,0.917
STV,20,2,1,10000,1.0087665542592796,0.9038
STV,20,2,2,10000,1.0130677904584036,0.8877
STV,20,2,3,10000,1.0167281787126274,0.8695
STV,20,2,4,10000,1.021179307579752,0.8533
STV,20,2,5,10000,1.0241638833521667,0.8447
STV,20,2,6,10000,1.027229801175293,0.8337
STV,20,2,7,10000,1.0311026145615463,0.8285
STV,20,2,8,10000,1.033441693018582,0.8126
Harmonic,20,2,0,10000,1.0059854370625678,0.9196
Harmonic,20,2,1,10000,1.0051532781670667,0.9228
Harmonic,20,2,2,10000,1.0049927568932544,0.9244
Harmonic,20,2,3,10000,1.0050832329360078,0.9215
Harmonic,20,2,4,10000,1.005117501611168,0.9233
Harmonic,20,2,5,10000,1.0056707509790692,0.92
Harmonic,20,2,6,10000,1.0057326139956617,0.9243
Harmonic,20,2,7,10000,1.0059316905440654,0.9178
Harmonic,20,2,8,10000,1.0067195136565015,0.9145
Half approval,20,2,0,10000,1.0056083628928758,0.9243
Half approval,20,2,1,10000,1.0092634084945953,0.8995
Half approval,20,2,2,10000,1.0071684247883215,0.911
Half approval,20,2,3,10000,1.0072788538477195,0.9085
Half approval,20,2,4,10000,1.0070450734824745,0.9089
Half approval,20,2,5,10000,1.0065397013909505,0.9134
Half approval,20,2,6,10000,1.0062560773786717,0.9131
Half approval,20,2,7,10000,1.0063006268614532,0.9146
Half approval,20,2,8,10000,1.0058758096658698,0.9158
Ranked Pairs,20,2,0,10000,1.005793019053806,0.924
Ranked Pairs,20,2,1,10000,1.0060112763685978,0.917
Ranked Pairs,20,2,2,10000,1.0053140005672,0.9221
Ranked Pairs,20,2,3,10000,1.0054940550376104,0.9259
Ranked Pairs,20,2,4,10000,1.005580730531683,0.9219
Ranked Pairs,20,2,5,10000,1.0053415852094867,0.9234
Ranked Pairs,20,2,6,10000,1.0051012149242127,0.924
Ranked Pairs,20,2,7,10000,1.0055548519134954,0.9222
Ranked Pairs,20,2,8,10000,1.0053160979454978,0.9247
Copeland,20,2,0,10000,1.005928248626885,0.9198
Copeland,20,2,1,10000,1.0059890885381646,0.9185
Copeland,20,2,2,10000,1.0055986202538039,0.9243
Copeland,20,2,3,10000,1.0053375098512007,0.926
Copeland,20,2,4,10000,1.0057889039322827,0.9212
Copeland,20,2,5,10000,1.004675315813168,0.9281
Copeland,20,2,6,10000,1.0049148510246473,0.9266
Copeland,20,2,7,10000,1.0044898296847624,0.9316
Copeland,20,2,8,10000,1.0043211134432721,0.9308
Borda,20,2,0,10000,1.0058325891174786,0.9212
Borda,20,2,1,10000,1.0042901392520056,0.9301
Borda,20,2,2,10000,1.0036363278952847,0.937
Borda,20,2,3,10000,1.0034491596213673,0.9381
Borda,20,2,4,10000,1.0027763428222638,0.9431
Borda,20,2,5,10000,1.0024336951656827,0.9469
Borda,20,2,6,10000,1.0023643450556026,0.9493
Borda,20,2,7,10000,1.0021775157106376,0.9508
Borda,20,2,8,10000,1.0020521926869297,0.9524
Random Voter Utility,20,2,0,10000,1.0056327688631825,0.9199
Random Voter Utility,20,2,1,10000,1.0062739497572224,0.9167
Random Voter Utility,20,2,2,10000,1.0054195092652205,0.922
Random Voter Utility,20,2,3,10000,1.005001747238116,0.9256
Random Voter Utility,20,2,4,10000,1.004684001547113,0.9304
Random Voter Utility,20,2,5,10000,1.0042124612372392,0.9294
Random Voter Utility,20,2,6,10000,1.0042028133712289,0.9315
Random Voter Utility,20,2,7,10000,1.003497091951216,0.9379
Random Voter Utility,20,2,8,10000,1.0038127517496789,0.938
