# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,20,2,0,10000,1.0061968196118782,0.9203
Veto,20,2,1,10000,1.0115305417934697,0.8838
Veto,20,2,2,10000,1.0152921681856897,0.8696
Veto,20,2,3,10000,1.0213525021887087,0.8501
Veto,20,2,4,10000,1.026560382339637,0.8274
Veto,20,2,5,10000,1.030068797363728,0.8255
Veto,20,2,6,10000,1.0368509553842207,0.7963
Veto,20,2,7,10000,1.0394081949230767,0.7918
Veto,20,2,8,10000,1.0439503457787582,0.7802
Plurality,20,2,0,10000,1.0058337028481323,0.92
Plurality,20,2,1,10000,1.009626595847339,0.8969
Plurality,20,2,2,10000,1.0126721509902425,0.8882
Plurality,20,2,3,10000,1.016674775130152,0.8698
Plurality,20,2,4,10000,1.0199280724954611,0.8535
Plurality,20,2,5,10000,1.0243190131295177,0.8391
Plurality,20,2,6,10000,1.0267859941898114,0.8317
Plurality,20,2,7,10000,1.0301510657198352,0.8228
Plurality,20,2,8,10000,1.0352775273932606,0.8042
PluralityVeto,20,2,0,10000,1.0060338431186007,0.9154
PluralityVeto,20,2,1,10000,1.0073554256460824,0.911
PluralityVeto,20,2,2,10000,1.0098447258376309,0.9001
PluralityVeto,20,2,3,10000,1.0117455341500299,0.8914
PluralityVeto,20,2,4,10000,1.0144022952777934,0.8813
PluralityVeto,20,2,5,10000,1.019192303310872,0.8623
PluralityVeto,20,2,6,10000,1.0206277137440827,0.8553
PluralityVeto,20,2,7,10000,1.022137526949725,0.8552
PluralityVeto,20,2,8,10000,1.0261307728669586,0.84
STV,20,2,0,10000,1.0061577340523102,0.9151
STV,20,2,1,10000,1.0089213856489014,0.9053
STV,20,2,2,10000,1.0124855927894219,0.8855
STV,20,2,3,10000,1.0161687096720957,0.8724
STV,20,2,4,10000,1.0179498402441791,0.8629
STV,20,2,5,10000,1.0228968936154734,0.8463
STV,20,2,6,10000,1.0257608781323624,0.8399
STV,20,2,7,10000,1.029882972516924,0.8228
STV,20,2,8,10000,1.0326326232802532,0.8189
Harmonic,20,2,0,10000,1.0064170717089604,0.9158
Harmonic,20,2,1,10000,1.0047046095861263,0.9292
Harmonic,20,2,2,10000,1.004580857688131,0.9289
Harmonic,20,2,3,10000,1.0054239626751753,0.9219
Harmonic,20,2,4,10000,1.0052671446533477,0.9248
Harmonic,20,2,5,10000,1.0050107660430223,0.924
Harmonic,20,2,6,10000,1.0060820458061976,0.92
Harmonic,20,2,7,10000,1.0059874355991645,0.9171
Harmonic,20,2,8,10000,1.0061707780431222,0.9179
Half approval,20,2,0,10000,1.0058390503810481,0.9186
Half approval,20,2,1,10000,1.0091866524546287,0.9013
Half approval,20,2,2,10000,1.0071200880568032,0.9086
Half approval,20,2,3,10000,1.007571724497618,0.9088
Half approval,20,2,4,10000,1.0063225744815485,0.911
Half approval,20,2,5,10000,1.0066768390648295,0.9133
Half approval,20,2,6,10000,1.0067187519940608,0.911
Half approval,20,2,7,10000,1.0062027465322254,0.9165
Half approval,20,2,8,10000,1.006277572584421,0.9138
Ranked Pairs,20,2,0,10000,1.0063272075181302,0.9184
Ranked Pairs,20,2,1,10000,1.0059936744899303,0.9173
Ranked Pairs,20,2,2,10000,1.0056581647758405,0.9177
Ranked Pairs,20,2,3,10000,1.0056449024503027,0.921
Ranked Pairs,20,2,4,10000,1.005649154674006,0.9211
Ranked Pairs,20,2,5,10000,1.0053219085834635,0.9232
Ranked Pairs,20,2,6,10000,1.00510530223207,0.9256
Ranked Pairs,20,2,7,10000,1.0055256083937592,0.9216
Ranked Pairs,20,2,8,10000,1.0052299971434675,0.9256
Copeland,20,2,0,10000,1.0059238492591858,0.9208
Copeland,20,2,1,10000,1.005646921926547,0.9221
Copeland,20,2,2,10000,1.0057249370413466,0.9235
Copeland,20,2,3,10000,1.0052381355044309,0.9255
Copeland,20,2,4,10000,1.0051001100047054,0.9243
Copeland,20,2,5,10000,1.0049458528766284,0.9262
Copeland,20,2,6,10000,1.0049686835024993,0.9242
Copeland,20,2,7,10000,1.0049700577359493,0.9254
Copeland,20,2,8,10000,1.0048199511430143,0.9237
Borda,20,2,0,10000,1.006183874603124,0.9185
Borda,20,2,1,10000,1.0044322351493404,0.9283
Borda,20,2,2,10000,1.0038077659106988,0.9365
Borda,20,2,3,10000,1.0030115321340973,0.9406
Borda,20,2,4,10000,1.0028304900539158,0.9434
Borda,20,2,5,10000,1.0026942892414514,0.946
Borda,20,2,6,10000,1.0021696166551202,0.9539
Borda,20,2,7,10000,1.0021959110880743,0.9488
Borda,20,2,8,10000,1.001948299622353,0.9555
Random Voter Utility,20,2,0,10000,1.006044985749294,0.9177
Random Voter Utility,20,2,1,10000,1.0063252817545538,0.918
Random Voter Utility,20,2,2,10000,1.0056123883842363,0.9229
Random Voter Utility,20,2,3,10000,1.0050944214048552,0.9261
Random Voter Utility,20,2,4,10000,1.0046658883813866,0.9288
Random Voter Utility,20,2,5,10000,1.004119695225063,0.935
Random Voter Utility,20,2,6,10000,1.0038059932402488,0.9401
Random Voter Utility,20,2,7,10000,1.0035494650803003,0.9374
Random Voter Utility,20,2,8,10000,1.0035926088235483,0.9352
