# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0157459040161667,0.7908
Plurality,20,2,1,10000,1.021112850501142,0.7649
Plurality,20,2,2,10000,1.0239899582187004,0.7416
Plurality,20,2,3,10000,1.02865447028491,0.726
Plurality,20,2,4,10000,1.031467238193181,0.7018
Plurality,20,2,5,10000,1.0340927784753031,0.6967
Plurality,20,2,6,10000,1.0394064964203922,0.6761
Plurality,20,2,7,10000,1.040789746243664,0.6666
Plurality,20,2,8,10000,1.0427374735798662,0.6552
PluralityVeto,20,2,0,10000,1.0149929636687338,0.7995
PluralityVeto,20,2,1,10000,1.0124642987274823,0.8166
PluralityVeto,20,2,2,10000,1.0146356305099729,0.8039
PluralityVeto,20,2,3,10000,1.0184333934869123,0.7811
PluralityVeto,20,2,4,10000,1.0209609758609217,0.766
PluralityVeto,20,2,5,10000,1.024585798237511,0.7462
PluralityVeto,20,2,6,10000,1.0270798838520585,0.7359
PluralityVeto,20,2,7,10000,1.028925587842675,0.7216
PluralityVeto,20,2,8,10000,1.0322853777767993,0.7032
STV,20,2,0,10000,1.0146911250365789,0.7998
STV,20,2,1,10000,1.018480933720875,0.7781
STV,20,2,2,10000,1.022526501857208,0.7555
STV,20,2,3,10000,1.0261476134116616,0.7438
STV,20,2,4,10000,1.0278332187827066,0.7305
STV,20,2,5,10000,1.0312963646510864,0.7148
STV,20,2,6,10000,1.0348987367166418,0.6945
STV,20,2,7,10000,1.0367222753349563,0.6858
STV,20,2,8,10000,1.0387857066787638,0.6778
Harmonic,20,2,0,10000,1.0155126651187825,0.7924
Harmonic,20,2,1,10000,1.0134690965430084,0.8063
Harmonic,20,2,2,10000,1.0134192823042298,0.8077
Harmonic,20,2,3,10000,1.0134591934577264,0.8068
Harmonic,20,2,4,10000,1.0147759201268065,0.8009
Harmonic,20,2,5,10000,1.0153301033240116,0.8027
Harmonic,20,2,6,10000,1.0156425227681731,0.7932
Harmonic,20,2,7,10000,1.017522579960349,0.7845
Harmonic,20,2,8,10000,1.0178213240655825,0.7821
Half approval,20,2,0,10000,1.0143703477917116,0.8033
Half approval,20,2,1,10000,1.020233838407854,0.7669
Half approval,20,2,2,10000,1.0165696052147364,0.7868
Half approval,20,2,3,10000,1.0173643728811952,0.779
Half approval,20,2,4,10000,1.014653854148745,0.8003
Half approval,20,2,5,10000,1.0149590980354448,0.7996
Half approval,20,2,6,10000,1.0149028242757983,0.8003
Half approval,20,2,7,10000,1.0147279365674586,0.8061
Half approval,20,2,8,10000,1.0139815969483297,0.8061
Ranked Pairs,20,2,0,10000,1.014718555658311,0.8001
Ranked Pairs,20,2,1,10000,1.013378206769217,0.8155
Ranked Pairs,20,2,2,10000,1.0120298131477579,0.8217
Ranked Pairs,20,2,3,10000,1.0116248555867262,0.8252
Ranked Pairs,20,2,4,10000,1.0117494583293327,0.8329
Ranked Pairs,20,2,5,10000,1.0121219944810365,0.8203
Ranked Pairs,20,2,6,10000,1.0131872694501443,0.8183
Ranked Pairs,20,2,7,10000,1.0151164992605988,0.8138
Ranked Pairs,20,2,8,10000,1.0174122515945294,0.8049
Copeland,20,2,0,10000,1.0152112343605606,0.8002
Copeland,20,2,1,10000,1.014258939792302,0.8094
Copeland,20,2,2,10000,1.012443551646507,0.8212
Copeland,20,2,3,10000,1.0104260235698446,0.8341
Copeland,20,2,4,10000,1.009877873639024,0.8386
Copeland,20,2,5,10000,1.0091651800868509,0.8446
Copeland,20,2,6,10000,1.0086251290893269,0.8491
Copeland,20,2,7,10000,1.0073102553721307,0.8601
Copeland,20,2,8,10000,1.0070695658724904,0.8647
Borda,20,2,0,10000,1.0154638010943113,0.7995
Borda,20,2,1,10000,1.010390435263819,0.8333
Borda,20,2,2,10000,1.0085400231031185,0.8487
Borda,20,2,3,10000,1.0071369092269107,0.861
Borda,20,2,4,10000,1.005591182989932,0.8822
Borda,20,2,5,10000,1.0048173148388029,0.8855
Borda,20,2,6,10000,1.0045777801018276,0.8924
Borda,20,2,7,10000,1.0035999387933645,0.9041
Borda,20,2,8,10000,1.0035663647427013,0.901
Random Voter Utility,20,2,0,10000,1.0148920444690102,0.7993
Random Voter Utility,20,2,1,10000,1.0128284643381005,0.8182
Random Voter Utility,20,2,2,10000,1.0107995478966034,0.8339
Random Voter Utility,20,2,3,10000,1.010014870263789,0.8408
Random Voter Utility,20,2,4,10000,1.008735738502965,0.8491
Random Voter Utility,20,2,5,10000,1.0081070135530243,0.858
Random Voter Utility,20,2,6,10000,1.006921120660646,0.8666
Random Voter Utility,20,2,7,10000,1.0058909720068547,0.8711
Random Voter Utility,20,2,8,10000,1.0059104302017194,0.8761
