# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0180951787306753,0.7992
Plurality,20,2,1,10000,1.0238352910085133,0.7614
Plurality,20,2,2,10000,1.0287350602771141,0.7392
Plurality,20,2,3,10000,1.0313243528522043,0.7273
Plurality,20,2,4,10000,1.0335958432588213,0.712
Plurality,20,2,5,10000,1.0362405206344854,0.6921
Plurality,20,2,6,10000,1.0386211400872185,0.6901
Plurality,20,2,7,10000,1.0415189888693155,0.6786
Plurality,20,2,8,10000,1.0434332727517277,0.6704
PluralityVeto,20,2,0,10000,1.0177512345302944,0.8012
PluralityVeto,20,2,1,10000,1.016186389991774,0.8055
PluralityVeto,20,2,2,10000,1.0183941771761593,0.7923
PluralityVeto,20,2,3,10000,1.02207157906109,0.769
PluralityVeto,20,2,4,10000,1.0246128958258038,0.7566
PluralityVeto,20,2,5,10000,1.0269907118042043,0.7349
PluralityVeto,20,2,6,10000,1.029235153001533,0.7263
PluralityVeto,20,2,7,10000,1.0310289021812478,0.7244
PluralityVeto,20,2,8,10000,1.0331555889246617,0.7115
STV,20,2,0,10000,1.0189799226922238,0.7892
STV,20,2,1,10000,1.0214745029351147,0.775
STV,20,2,2,10000,1.0267882625899456,0.7557
STV,20,2,3,10000,1.0287093933863884,0.7359
STV,20,2,4,10000,1.0311258315650595,0.7197
STV,20,2,5,10000,1.0342019986922801,0.7072
STV,20,2,6,10000,1.0360148950627175,0.6995
STV,20,2,7,10000,1.037802917821105,0.6889
STV,20,2,8,10000,1.0425023358620515,0.6665
Harmonic,20,2,0,10000,1.0181112430661274,0.7985
Harmonic,20,2,1,10000,1.0154154425765354,0.806
Harmonic,20,2,2,10000,1.0157910120163895,0.8091
Harmonic,20,2,3,10000,1.0150776911318558,0.8099
Harmonic,20,2,4,10000,1.0164843044179543,0.8026
Harmonic,20,2,5,10000,1.0170328863514895,0.7914
Harmonic,20,2,6,10000,1.017689536150036,0.7933
Harmonic,20,2,7,10000,1.0184385031523524,0.7897
Harmonic,20,2,8,10000,1.0189060920388606,0.7744
Half approval,20,2,0,10000,1.0178996241554144,0.7965
Half approval,20,2,1,10000,1.0221367717355592,0.7682
Half approval,20,2,2,10000,1.020346286685732,0.7807
Half approval,20,2,3,10000,1.0189709086962662,0.7866
Half approval,20,2,4,10000,1.0175470134539772,0.7923
Half approval,20,2,5,10000,1.0167918148603,0.7973
Half approval,20,2,6,10000,1.0165340015014401,0.7972
Half approval,20,2,7,10000,1.0155545123848266,0.8
Half approval,20,2,8,10000,1.0153837230265097,0.8054
Ranked Pairs,20,2,0,10000,1.0178473394252556,0.7942
Ranked Pairs,20,2,1,10000,1.0181519795420528,0.7987
Ranked Pairs,20,2,2,10000,1.0157885936727087,0.8037
Ranked Pairs,20,2,3,10000,1.0151102883582819,0.8073
Ranked Pairs,20,2,4,10000,1.014434813435895,0.8157
Ranked Pairs,20,2,5,10000,1.0142581278712335,0.8101
Ranked Pairs,20,2,6,10000,1.0161323867668306,0.8051
Ranked Pairs,20,2,7,10000,1.0173730709176712,0.8029
Ranked Pairs,20,2,8,10000,1.0189433257735063,0.7956
Copeland,20,2,0,10000,1.0179789082756907,0.8012
Copeland,20,2,1,10000,1.0183463295479835,0.7891
Copeland,20,2,2,10000,1.0159198990693363,0.8064
Copeland,20,2,3,10000,1.014513462149661,0.8094
Copeland,20,2,4,10000,1.0126543948710762,0.8204
Copeland,20,2,5,10000,1.010892472267887,0.8333
Copeland,20,2,6,10000,1.0104723778347497,0.8411
Copeland,20,2,7,10000,1.0088429842753521,0.8488
Copeland,20,2,8,10000,1.008303132876494,0.8541
Borda,20,2,0,10000,1.0178248826114602,0.7945
Borda,20,2,1,10000,1.013894926173974,0.8183
Borda,20,2,2,10000,1.0118656542986453,0.8312
Borda,20,2,3,10000,1.0094220429501743,0.8455
Borda,20,2,4,10000,1.0081471517860061,0.8577
Borda,20,2,5,10000,1.007060600930159,0.8656
Borda,20,2,6,10000,1.0061989195994636,0.8795
Borda,20,2,7,10000,1.005076642267323,0.8854
Borda,20,2,8,10000,1.0046724162272522,0.8883
Random Voter Utility,20,2,0,10000,1.019422141547743,0.7899
Random Voter Utility,20,2,1,10000,1.0180755843803304,0.7916
Random Voter Utility,20,2,2,10000,1.0142561493477698,0.8135
Random Voter Utility,20,2,3,10000,1.0122512773102472,0.8308
Random Voter Utility,20,2,4,10000,1.010855453976502,0.8374
Random Voter Utility,20,2,5,10000,1.0094233466162255,0.8453
Random Voter Utility,20,2,6,10000,1.0089514326193847,0.8522
Random Voter Utility,20,2,7,10000,1.007833588577303,0.8633
Random Voter Utility,20,2,8,10000,1.0069225795831496,0.8679
