# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,30,2,0,10000,1.008141623357327,0.7889
Plurality,30,2,1,10000,1.0175321444405057,0.6843
Plurality,30,2,2,10000,1.030279324298202,0.5764
Plurality,30,2,3,10000,1.0342089645372683,0.5451
Plurality,30,2,4,10000,1.0354264044803516,0.5347
Plurality,30,2,5,10000,1.0373414246936898,0.5196
Plurality,30,2,6,10000,1.0378691588289826,0.5167
Plurality,30,2,7,10000,1.0388421431026602,0.5102
Plurality,30,2,8,10000,1.0389686323277194,0.5107
Plurality,30,2,9,10000,1.0400528458793792,0.5076
Plurality,30,2,10,10000,1.0394103452322838,0.5085
Plurality,30,2,11,10000,1.0383998462734443,0.5169
Plurality,30,2,12,10000,1.0397051581640393,0.5066
Plurality,30,2,13,10000,1.0393175782828736,0.5076
PluralityVeto,30,2,0,10000,1.007952588641275,0.7976
PluralityVeto,30,2,1,10000,1.0175142041410867,0.681
PluralityVeto,30,2,2,10000,1.029215112169001,0.5847
PluralityVeto,30,2,3,10000,1.0346261678766466,0.5378
PluralityVeto,30,2,4,10000,1.0373175069092246,0.5202
PluralityVeto,30,2,5,10000,1.0376329435841032,0.516
PluralityVeto,30,2,6,10000,1.0377736154642092,0.5179
PluralityVeto,30,2,7,10000,1.0395967449233923,0.5013
PluralityVeto,30,2,8,10000,1.0383987584291525,0.5131
PluralityVeto,30,2,9,10000,1.038391722120177,0.5086
PluralityVeto,30,2,10,10000,1.0392144079841523,0.5053
PluralityVeto,30,2,11,10000,1.0397109104356805,0.5082
PluralityVeto,30,2,12,10000,1.040452924290444,0.4979
PluralityVeto,30,2,13,10000,1.0393606237306743,0.5092
STV,30,2,0,10000,1.00785729384007,0.8011
STV,30,2,1,10000,1.0180326752542905,0.6871
STV,30,2,2,10000,1.0290787625849065,0.5891
STV,30,2,3,10000,1.033827222027156,0.5497
STV,30,2,4,10000,1.0361320772188116,0.5253
STV,30,2,5,10000,1.0374068163131787,0.5172
STV,30,2,6,10000,1.037764011287553,0.5162
STV,30,2,7,10000,1.039580890057367,0.5046
STV,30,2,8,10000,1.0384370707312909,0.5169
STV,30,2,9,10000,1.0404879152278843,0.5018
STV,30,2,10,10000,1.0383333340297631,0.5141
STV,30,2,11,10000,1.039214195995549,0.5051
STV,30,2,12,10000,1.039032952598327,0.507
STV,30,2,13,10000,1.038907234648208,0.5076
Harmonic,30,2,0,10000,1.008434072155973,0.7846
Harmonic,30,2,1,10000,1.0046956643508562,0.8398
Harmonic,30,2,2,10000,1.0030610237625568,0.8719
Harmonic,30,2,3,10000,1.002573092706704,0.8888
Harmonic,30,2,4,10000,1.0026192421147475,0.8888
Harmonic,30,2,5,10000,1.002621306113436,0.8909
Harmonic,30,2,6,10000,1.00274141921754,0.8904
Harmonic,30,2,7,10000,1.0025911566699026,0.8979
Harmonic,30,2,8,10000,1.0026020500104456,0.8951
Harmonic,30,2,9,10000,1.0028461781561375,0.8906
Harmonic,30,2,10,10000,1.002664203267023,0.8947
Harmonic,30,2,11,10000,1.0027739167861724,0.8939
Harmonic,30,2,12,10000,1.0028863079380397,0.8914
Harmonic,30,2,13,10000,1.0029419891438995,0.8883
Half approval,30,2,0,10000,1.0082691738384433,0.7861
Half approval,30,2,1,10000,1.0172353852252438,0.6911
Half approval,30,2,2,10000,1.007633103469641,0.7969
Half approval,30,2,3,10000,1.0174041007879184,0.6914
Half approval,30,2,4,10000,1.0108091108182997,0.762
Half approval,30,2,5,10000,1.017191572329405,0.6927
Half approval,30,2,6,10000,1.0124048671668673,0.7429
Half approval,30,2,7,10000,1.0171521258474276,0.6929
Half approval,30,2,8,10000,1.0139852752049436,0.7247
Half approval,30,2,9,10000,1.0171881859473055,0.691
Half approval,30,2,10,10000,1.0148890589414372,0.7106
Half approval,30,2,11,10000,1.017535681392136,0.6928
Half approval,30,2,12,10000,1.014578125391073,0.7133
Half approval,30,2,13,10000,1.0174404826906402,0.6859
Ranked Pairs,30,2,0,10000,1.0084581221064166,0.7897
Ranked Pairs,30,2,1,10000,1.0081276539566884,0.7965
Ranked Pairs,30,2,2,10000,1.0078845385161703,0.7935
Ranked Pairs,30,2,3,10000,1.0082284581321899,0.7885
Ranked Pairs,30,2,4,10000,1.0078150356890092,0.7945
Ranked Pairs,30,2,5,10000,1.0082693444412352,0.7886
Ranked Pairs,30,2,6,10000,1.0079344231189886,0.7929
Ranked Pairs,30,2,7,10000,1.0081162581967877,0.7927
Ranked Pairs,30,2,8,10000,1.008552261607441,0.7866
Ranked Pairs,30,2,9,10000,1.0084067536374668,0.7883
Ranked Pairs,30,2,10,10000,1.0081493295811885,0.7867
Ranked Pairs,30,2,11,10000,1.008065757260502,0.7909
Ranked Pairs,30,2,12,10000,1.0082290015808717,0.7951
Ranked Pairs,30,2,13,10000,1.0086834808686862,0.777
Copeland,30,2,0,10000,1.0080511380969346,0.7891
Copeland,30,2,1,10000,1.008516289942977,0.7845
Copeland,30,2,2,10000,1.0083145278236731,0.7895
Copeland,30,2,3,10000,1.0083666736780736,0.7878
Copeland,30,2,4,10000,1.0079845301511658,0.7915
Copeland,30,2,5,10000,1.0082481231960139,0.7879
Copeland,30,2,6,10000,1.008281365767285,0.7912
Copeland,30,2,7,10000,1.008119950921584,0.7953
Copeland,30,2,8,10000,1.0080049350169795,0.7957
Copeland,30,2,9,10000,1.0082719660749455,0.7837
Copeland,30,2,10,10000,1.0083303432464377,0.79
Copeland,30,2,11,10000,1.0079695675126976,0.7933
Copeland,30,2,12,10000,1.0080584828312942,0.796
Copeland,30,2,13,10000,1.0081127110315542,0.7943
Borda,30,2,0,10000,1.0078651622958377,0.7885
Borda,30,2,1,10000,1.0050434734397216,0.8343
Borda,30,2,2,10000,1.0028887944890355,0.875
Borda,30,2,3,10000,1.0018863418458595,0.9033
Borda,30,2,4,10000,1.0013482065194637,0.9154
Borda,30,2,5,10000,1.0008684794782154,0.9318
Borda,30,2,6,10000,1.0007715892707327,0.9343
Borda,30,2,7,10000,1.0005351583704376,0.9467
Borda,30,2,8,10000,1.0004936309373655,0.9501
Borda,30,2,9,10000,1.0004288821475718,0.9495
Borda,30,2,10,10000,1.0003505393047254,0.9579
Borda,30,2,11,10000,1.0003280379050432,0.9598
Borda,30,2,12,10000,1.0002583666222682,0.962
Borda,30,2,13,10000,1.0002112179488747,0.9675
OddBorda,30,2,0,10000,1.0083000670917575,0.7876
OddBorda,30,2,1,10000,1.0044933247958328,0.8475
OddBorda,30,2,2,10000,1.0020274289752025,0.8981
OddBorda,30,2,3,10000,1.001242472404325,0.919
OddBorda,30,2,4,10000,1.0009032532347344,0.9338
OddBorda,30,2,5,10000,1.0006077796855848,0.9445
OddBorda,30,2,6,10000,1.000520469802224,0.9468
OddBorda,30,2,7,10000,1.0003795435730773,0.9564
OddBorda,30,2,8,10000,1.0002884328700945,0.9628
OddBorda,30,2,9,10000,1.0002811584418718,0.9629
OddBorda,30,2,10,10000,1.000235526794236,0.9652
OddBorda,30,2,11,10000,1.000209861696776,0.9646
OddBorda,30,2,12,10000,1.0001828337121592,0.9666
OddBorda,30,2,13,10000,1.0001380920443572,0.9749
