# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,30,2,0,10000,1.004531819864996,0.7863
Plurality,30,2,1,10000,1.0190620149181073,0.5403
Plurality,30,2,2,10000,1.020985510883663,0.4955
Plurality,30,2,3,10000,1.021458364223415,0.5027
Plurality,30,2,4,10000,1.0210976245478323,0.502
Plurality,30,2,5,10000,1.0210794337364646,0.5006
Plurality,30,2,6,10000,1.0214464739832838,0.5002
Plurality,30,2,7,10000,1.0211736728538456,0.5066
Plurality,30,2,8,10000,1.021405283721039,0.4943
Plurality,30,2,9,10000,1.0217439732937117,0.4962
Plurality,30,2,10,10000,1.0215520882924196,0.4979
Plurality,30,2,11,10000,1.021401774173854,0.5033
Plurality,30,2,12,10000,1.021613347123867,0.491
Plurality,30,2,13,10000,1.0207595998974426,0.5084
PluralityVeto,30,2,0,10000,1.0043839110465436,0.7937
PluralityVeto,30,2,1,10000,1.0195431414397735,0.529
PluralityVeto,30,2,2,10000,1.0214282657194973,0.5022
PluralityVeto,30,2,3,10000,1.0212051250490934,0.5038
PluralityVeto,30,2,4,10000,1.0214291640447264,0.4919
PluralityVeto,30,2,5,10000,1.0215973961483182,0.499
PluralityVeto,30,2,6,10000,1.0210441864694035,0.502
PluralityVeto,30,2,7,10000,1.021321543354606,0.4944
PluralityVeto,30,2,8,10000,1.0211069977308473,0.5031
PluralityVeto,30,2,9,10000,1.0211469626812268,0.5028
PluralityVeto,30,2,10,10000,1.0213084002259047,0.4963
PluralityVeto,30,2,11,10000,1.0207923507462335,0.499
PluralityVeto,30,2,12,10000,1.020980862591671,0.5065
PluralityVeto,30,2,13,10000,1.0213302597323162,0.5081
STV,30,2,0,10000,1.004515472718144,0.7807
STV,30,2,1,10000,1.0197275696437873,0.5204
STV,30,2,2,10000,1.0214430708450528,0.5043
STV,30,2,3,10000,1.0212393978175411,0.4915
STV,30,2,4,10000,1.021582400662134,0.4925
STV,30,2,5,10000,1.0210219747160458,0.5005
STV,30,2,6,10000,1.0217286559921086,0.4968
STV,30,2,7,10000,1.02153021919058,0.5031
STV,30,2,8,10000,1.0219174199162968,0.4912
STV,30,2,9,10000,1.020605987692115,0.4986
STV,30,2,10,10000,1.021340703166748,0.4993
STV,30,2,11,10000,1.0209780360698482,0.5054
STV,30,2,12,10000,1.0211478971411732,0.499
STV,30,2,13,10000,1.0219172326867945,0.4929
Harmonic,30,2,0,10000,1.00448491849898,0.7927
Harmonic,30,2,1,10000,1.004113596527013,0.8037
Harmonic,30,2,2,10000,1.0025502250354497,0.8406
Harmonic,30,2,3,10000,1.0015758952545615,0.8763
Harmonic,30,2,4,10000,1.0011374128719417,0.8961
