# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,30,2,0,10000,1.0126782144970103,0.7904
Plurality,30,2,1,10000,1.0396101676475533,0.6181
Plurality,30,2,2,10000,1.0363550470740277,0.6368
Plurality,30,2,3,10000,1.0352997422361938,0.6495
Plurality,30,2,4,10000,1.0346114707126557,0.649
Plurality,30,2,5,10000,1.0348417744689946,0.647
Plurality,30,2,6,10000,1.0354595186525173,0.638
Plurality,30,2,7,10000,1.034836539217607,0.6395
Plurality,30,2,8,10000,1.0355797294435034,0.6389
Plurality,30,2,9,10000,1.0374133051580112,0.6355
Plurality,30,2,10,10000,1.0377087553422775,0.6282
Plurality,30,2,11,10000,1.0383083773348374,0.6236
Plurality,30,2,12,10000,1.0377182964757585,0.6307
Plurality,30,2,13,10000,1.0394839887183946,0.6229
PluralityVeto,30,2,0,10000,1.0119167337129782,0.7919
PluralityVeto,30,2,1,10000,1.0350878084515494,0.642
PluralityVeto,30,2,2,10000,1.032133893595906,0.6579
PluralityVeto,30,2,3,10000,1.0332090700330319,0.6589
PluralityVeto,30,2,4,10000,1.0325125878368033,0.6574
PluralityVeto,30,2,5,10000,1.0341713485337338,0.6487
PluralityVeto,30,2,6,10000,1.0345527271533368,0.6501
PluralityVeto,30,2,7,10000,1.0344946661476793,0.6458
PluralityVeto,30,2,8,10000,1.0342896941110002,0.6439
PluralityVeto,30,2,9,10000,1.036053369480091,0.64
PluralityVeto,30,2,10,10000,1.036361439103143,0.6379
PluralityVeto,30,2,11,10000,1.0363866709485758,0.6467
PluralityVeto,30,2,12,10000,1.036833706970471,0.6386
PluralityVeto,30,2,13,10000,1.0383621015008029,0.6289
STV,30,2,0,10000,1.0119003834111953,0.7976
STV,30,2,1,10000,1.0408022867403774,0.6147
STV,30,2,2,10000,1.0375953173024457,0.6251
STV,30,2,3,10000,1.0361424320594133,0.64
STV,30,2,4,10000,1.0355056804211298,0.6483
STV,30,2,5,10000,1.0348243495818068,0.6488
STV,30,2,6,10000,1.0350663129471052,0.642
STV,30,2,7,10000,1.0371385809433318,0.6321
STV,30,2,8,10000,1.0357439282107415,0.6399
STV,30,2,9,10000,1.036517662793535,0.6343
STV,30,2,10,10000,1.0377078385563652,0.628
STV,30,2,11,10000,1.037328486245862,0.631
STV,30,2,12,10000,1.0387307607608318,0.6178
STV,30,2,13,10000,1.036792373268497,0.6257
Harmonic,30,2,0,10000,1.0121341241199868,0.7955
Harmonic,30,2,1,10000,1.0290479884788988,0.6815
Harmonic,30,2,2,10000,1.02840965084337,0.6892
Harmonic,30,2,3,10000,1.0256422802029947,0.7023
Harmonic,30,2,4,10000,1.0235498031892372,0.7147
Harmonic,30,2,5,10000,1.0223863571509717,0.7214
Harmonic,30,2,6,10000,1.0213408819270704,0.7268
Harmonic,30,2,7,10000,1.0224783282332204,0.72
Harmonic,30,2,8,10000,1.0208507054670224,0.7241
Harmonic,30,2,9,10000,1.0219950752266507,0.7249
Harmonic,30,2,10,10000,1.0206494622316564,0.7322
Harmonic,30,2,11,10000,1.0205098772980763,0.7284
Harmonic,30,2,12,10000,1.0212060325164147,0.7335
Harmonic,30,2,13,10000,1.0199112789693023,0.7323
Half approval,30,2,0,10000,1.012293884123607,0.7898
Half approval,30,2,1,10000,1.0406529021689102,0.6052
Half approval,30,2,2,10000,1.0337534318880859,0.6525
Half approval,30,2,3,10000,1.0334784519292222,0.6531
Half approval,30,2,4,10000,1.0291704719164487,0.676
Half approval,30,2,5,10000,1.0304816897418145,0.6764
Half approval,30,2,6,10000,1.027694580639688,0.6842
Half approval,30,2,7,10000,1.02809702270044,0.6792
