# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,30,2,0,10000,1.0123346248414669,0.8314
Plurality,30,2,1,10000,1.068028434521069,0.6004
Plurality,30,2,2,10000,1.068839252345496,0.5873
Plurality,30,2,3,10000,1.0654282329977338,0.6051
Plurality,30,2,4,10000,1.0666751306517188,0.5993
Plurality,30,2,5,10000,1.0653800664660709,0.6063
Plurality,30,2,6,10000,1.0672983683095183,0.5968
Plurality,30,2,7,10000,1.065416601018587,0.6047
Plurality,30,2,8,10000,1.0697825295082362,0.593
Plurality,30,2,9,10000,1.0669946081866397,0.5973
Plurality,30,2,10,10000,1.068343002227261,0.5983
Plurality,30,2,11,10000,1.0704036916946464,0.5835
Plurality,30,2,12,10000,1.0685164216694072,0.6017
Plurality,30,2,13,10000,1.0708416949076713,0.5898
PluralityVeto,30,2,0,10000,1.0128580190044327,0.8259
PluralityVeto,30,2,1,10000,1.0566700692650763,0.6307
PluralityVeto,30,2,2,10000,1.0562516025189257,0.6332
PluralityVeto,30,2,3,10000,1.0569791407604205,0.6331
PluralityVeto,30,2,4,10000,1.057259871623275,0.6252
PluralityVeto,30,2,5,10000,1.0587647626321475,0.6269
PluralityVeto,30,2,6,10000,1.0605696360406431,0.6192
PluralityVeto,30,2,7,10000,1.0622266524840354,0.6202
PluralityVeto,30,2,8,10000,1.063764343366076,0.6102
PluralityVeto,30,2,9,10000,1.0651168841609588,0.6045
PluralityVeto,30,2,10,10000,1.066973236340349,0.6017
PluralityVeto,30,2,11,10000,1.065990924857909,0.601
PluralityVeto,30,2,12,10000,1.0679393114540991,0.5929
PluralityVeto,30,2,13,10000,1.0687697468303536,0.5843
STV,30,2,0,10000,1.011817161590316,0.8348
STV,30,2,1,10000,1.068449472727341,0.5964
STV,30,2,2,10000,1.0674127451078013,0.5943
STV,30,2,3,10000,1.0669919288807346,0.5977
STV,30,2,4,10000,1.0661113918708314,0.6021
STV,30,2,5,10000,1.0678510766563336,0.5962
STV,30,2,6,10000,1.069989300965352,0.5925
STV,30,2,7,10000,1.0669969885412505,0.5945
STV,30,2,8,10000,1.0671714790443156,0.591
STV,30,2,9,10000,1.07003516744172,0.5872
STV,30,2,10,10000,1.0702022550221544,0.5922
STV,30,2,11,10000,1.0704830735790631,0.5894
STV,30,2,12,10000,1.0714479395755694,0.5796
STV,30,2,13,10000,1.0725450934589744,0.58
Harmonic,30,2,0,10000,1.012888430708911,0.8328
Harmonic,30,2,1,10000,1.0570187356759129,0.6331
Harmonic,30,2,2,10000,1.0507061982770662,0.6533
Harmonic,30,2,3,10000,1.0492249545759054,0.655
Harmonic,30,2,4,10000,1.0460455602291348,0.6653
Harmonic,30,2,5,10000,1.0461437603178594,0.6665
Harmonic,30,2,6,10000,1.0447420074821854,0.6823
Harmonic,30,2,7,10000,1.0429592167232824,0.6871
Harmonic,30,2,8,10000,1.0421521639895523,0.6847
Harmonic,30,2,9,10000,1.0409616542286906,0.6895
Harmonic,30,2,10,10000,1.0412182691504548,0.6866
