# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.007804802540385,0.878
Plurality,20,3,0,10000,1.0124367308078108,0.8208
Plurality,20,4,0,10000,1.0164949756415178,0.7748
Plurality,20,5,0,10000,1.0217370510886792,0.7328
Plurality,20,6,0,10000,1.027626130958012,0.7004
Plurality,20,7,0,10000,1.0320601522253396,0.6811
Plurality,20,8,0,10000,1.0368686852652507,0.6473
Plurality,20,9,0,10000,1.0413741067219868,0.6293
Plurality,20,10,0,10000,1.0474986985856893,0.6069
Plurality w/ runoff,20,2,0,10000,1.0077404743586853,0.8851
Plurality w/ runoff,20,3,0,10000,1.0118177607051608,0.8219
Plurality w/ runoff,20,4,0,10000,1.0142276756423545,0.7859
Plurality w/ runoff,20,5,0,10000,1.0158980769514816,0.7696
Plurality w/ runoff,20,6,0,10000,1.0172594711728358,0.7631
Plurality w/ runoff,20,7,0,10000,1.0201552708044475,0.7339
Plurality w/ runoff,20,8,0,10000,1.0221020812599606,0.7246
Plurality w/ runoff,20,9,0,10000,1.0245670654699475,0.7094
Plurality w/ runoff,20,10,0,10000,1.0262279571338477,0.6942
PluralityVeto,20,2,0,10000,1.0080903944620265,0.8764
PluralityVeto,20,3,0,10000,1.0084341837293498,0.8493
PluralityVeto,20,4,0,10000,1.0095498882075158,0.8268
PluralityVeto,20,5,0,10000,1.012208655586691,0.7934
PluralityVeto,20,6,0,10000,1.0136331639571416,0.781
PluralityVeto,20,7,0,10000,1.0142928496857784,0.7726
PluralityVeto,20,8,0,10000,1.0169309061667648,0.7524
PluralityVeto,20,9,0,10000,1.0189390496394624,0.7317
PluralityVeto,20,10,0,10000,1.019957737664366,0.7247
STV,20,2,0,10000,1.0081435028860537,0.8757
STV,20,3,0,10000,1.010354903635916,0.8384
STV,20,4,0,10000,1.0117806403449545,0.8074
STV,20,5,0,10000,1.0138673890161827,0.7855
STV,20,6,0,10000,1.0150139537953842,0.7707
STV,20,7,0,10000,1.016414404189543,0.7527
STV,20,8,0,10000,1.016705098936266,0.7561
STV,20,9,0,10000,1.0176443925830454,0.7459
STV,20,10,0,10000,1.0186742427224993,0.7426
Harmonic,20,2,0,10000,1.007887822464698,0.8819
Harmonic,20,3,0,10000,1.0093334822643603,0.8435
Harmonic,20,4,0,10000,1.009034448491775,0.8334
