# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,20,2,0,10000,1.00770977212588,0.8835
Veto,20,3,0,10000,1.0192993111180484,0.7784
Veto,20,4,0,10000,1.0351671278528414,0.668
Veto,20,5,0,10000,1.0510077395185593,0.5919
Veto,20,6,0,10000,1.0696285194622832,0.5254
Veto,20,7,0,10000,1.0889991949008373,0.4528
Veto,20,8,0,10000,1.1074757578622365,0.3929
Veto,20,9,0,10000,1.12396265212186,0.3545
Veto,20,10,0,10000,1.137867500547102,0.3168
Plurality,20,2,0,10000,1.0079510037016546,0.8786
Plurality,20,3,0,10000,1.0122949725248125,0.8255
Plurality,20,4,0,10000,1.0168340903047168,0.7772
Plurality,20,5,0,10000,1.0218845017147191,0.7355
Plurality,20,6,0,10000,1.0265356695784595,0.711
Plurality,20,7,0,10000,1.0310438764291652,0.6786
Plurality,20,8,0,10000,1.035578486316113,0.6585
Plurality,20,9,0,10000,1.0407579083551624,0.6284
Plurality,20,10,0,10000,1.0455553571615606,0.6137
Plurality w/ runoff,20,2,0,10000,1.0079535926523906,0.8761
Plurality w/ runoff,20,3,0,10000,1.0116792264058612,0.8221
Plurality w/ runoff,20,4,0,10000,1.0133899729259819,0.797
Plurality w/ runoff,20,5,0,10000,1.0158035383714643,0.7694
Plurality w/ runoff,20,6,0,10000,1.0186006858355352,0.7495
Plurality w/ runoff,20,7,0,10000,1.0199476872916287,0.7356
Plurality w/ runoff,20,8,0,10000,1.0224177806099655,0.7277
Plurality w/ runoff,20,9,0,10000,1.023889430330626,0.7094
Plurality w/ runoff,20,10,0,10000,1.0261917364277362,0.6957
PluralityVeto,20,2,0,10000,1.008177614387912,0.8812
PluralityVeto,20,3,0,10000,1.0087845162981193,0.8459
PluralityVeto,20,4,0,10000,1.010054578466921,0.8211
PluralityVeto,20,5,0,10000,1.0124294653099521,0.7914
PluralityVeto,20,6,0,10000,1.0133362695348898,0.7866
PluralityVeto,20,7,0,10000,1.0147682991099334,0.7712
PluralityVeto,20,8,0,10000,1.0164210865118126,0.7561
PluralityVeto,20,9,0,10000,1.0182404948345565,0.7407
PluralityVeto,20,10,0,10000,1.0198724993120878,0.7274
STV,20,2,0,10000,1.0076269209636965,0.8816
STV,20,3,0,10000,1.0102929619275571,0.831
STV,20,4,0,10000,1.012619598306228,0.8032
STV,20,5,0,10000,1.014204689486889,0.7834
STV,20,6,0,10000,1.0156121985606605,0.7665
STV,20,7,0,10000,1.01551626502037,0.7613
STV,20,8,0,10000,1.0170561961445381,0.7505
STV,20,9,0,10000,1.0168279547893184,0.7553
STV,20,10,0,10000,1.01824047498393,0.7445
Harmonic,20,2,0,10000,1.0078017831843198,0.8833
Harmonic,20,3,0,10000,1.0084665693782386,0.8514
Harmonic,20,4,0,10000,1.0096576143684874,0.8278
Harmonic,20,5,0,10000,1.009924217640124,0.8119
Harmonic,20,6,0,10000,1.0108571850628298,0.8012
Harmonic,20,7,0,10000,1.0115708311573566,0.7972
Harmonic,20,8,0,10000,1.0128581113158521,0.7873
Harmonic,20,9,0,10000,1.0138254060248502,0.7749
Harmonic,20,10,0,10000,1.0142477283181353,0.7756
Half approval,20,2,0,10000,1.0082178916490199,0.8757
Half approval,20,3,0,10000,1.011638760375485,0.8305
Half approval,20,4,0,10000,1.0143659495768498,0.7846
Half approval,20,5,0,10000,1.0130217898761695,0.7905
Half approval,20,6,0,10000,1.0156622556894657,0.7616
Half approval,20,7,0,10000,1.0132116522176349,0.7791
Half approval,20,8,0,10000,1.0155302124454966,0.7635
Half approval,20,9,0,10000,1.0134651346184147,0.7742
Half approval,20,10,0,10000,1.0149960877379909,0.7686
Bucklin,20,2,0,10000,1.0076641601089376,0.8818
Bucklin,20,3,0,10000,1.01101475643523,0.8268
Bucklin,20,4,0,10000,1.0119643063953367,0.8074
Bucklin,20,5,0,10000,1.0123249407342194,0.7988
Bucklin,20,6,0,10000,1.0124727579704376,0.7911
Bucklin,20,7,0,10000,1.012238161653861,0.7851
Bucklin,20,8,0,10000,1.0116858899394943,0.7899
Bucklin,20,9,0,10000,1.0121233893798693,0.788
Bucklin,20,10,0,10000,1.0127818176556578,0.7828
Maximin,20,2,0,10000,1.0082558867645228,0.8765
Maximin,20,3,0,10000,1.0097806434796286,0.8381
Maximin,20,4,0,10000,1.0106688378695223,0.8193
Maximin,20,5,0,10000,1.0110759336033681,0.8066
Maximin,20,6,0,10000,1.0117170981616552,0.7907
Maximin,20,7,0,10000,1.011509739551262,0.7959
Maximin,20,8,0,10000,1.012164183047339,0.7816
Maximin,20,9,0,10000,1.0118253805358584,0.7831
Maximin,20,10,0,10000,1.0113981294706296,0.7881
Ranked Pairs,20,2,0,10000,1.0074351777011403,0.8886
Ranked Pairs,20,3,0,10000,1.0099393848595497,0.8369
Ranked Pairs,20,4,0,10000,1.0105498922921665,0.8155
Ranked Pairs,20,5,0,10000,1.0115315962881368,0.7973
Ranked Pairs,20,6,0,10000,1.0112559253880733,0.7961
Ranked Pairs,20,7,0,10000,1.012307199162944,0.787
Ranked Pairs,20,8,0,10000,1.0120101485583304,0.7912
Ranked Pairs,20,9,0,10000,1.012686621407452,0.7825
Ranked Pairs,20,10,0,10000,1.0122757702476073,0.7846
Copeland,20,2,0,10000,1.0076783499824136,0.8823
Copeland,20,3,0,10000,1.010361044636673,0.8373
Copeland,20,4,0,10000,1.0108489767270743,0.814
Copeland,20,5,0,10000,1.0107335231253416,0.8055
Copeland,20,6,0,10000,1.010684892596416,0.8077
Copeland,20,7,0,10000,1.0101431171703692,0.805
Copeland,20,8,0,10000,1.01014642913845,0.8023
Copeland,20,9,0,10000,1.0100664202765022,0.8024
Copeland,20,10,0,10000,1.0098775170439254,0.8032
Borda,20,2,0,10000,1.0080119650984416,0.878
Borda,20,3,0,10000,1.007438359020092,0.8589
Borda,20,4,0,10000,1.006974331609605,0.853
Borda,20,5,0,10000,1.0066947836848639,0.8488
Borda,20,6,0,10000,1.0060782676401456,0.848
Borda,20,7,0,10000,1.0053659157795285,0.8572
Borda,20,8,0,10000,1.005051358179191,0.8621
Borda,20,9,0,10000,1.0045816835424508,0.8662
Borda,20,10,0,10000,1.0043791317980257,0.8637
