# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0031934565618497,0.9529
Plurality,20,3,0,10000,1.0323474578985654,0.7431
Plurality,20,4,0,10000,1.0613191821606007,0.5945
Plurality,20,5,0,10000,1.0847193250699079,0.495
Plurality,20,6,0,10000,1.1074670474008232,0.4208
Plurality,20,7,0,10000,1.126648478233341,0.3757
Plurality,20,8,0,10000,1.1407265651641623,0.3262
Plurality,20,9,0,10000,1.1535827762550972,0.3082
Plurality,20,10,0,10000,1.1688722963413407,0.2857
PluralityVeto,20,2,0,10000,1.003139398146129,0.9547
PluralityVeto,20,3,0,10000,1.005945667130211,0.9055
PluralityVeto,20,4,0,10000,1.0067366925232013,0.8634
PluralityVeto,20,5,0,10000,1.0074804867400802,0.8211
PluralityVeto,20,6,0,10000,1.007333886374283,0.8002
PluralityVeto,20,7,0,10000,1.0073648497921137,0.7755
PluralityVeto,20,8,0,10000,1.007300441443559,0.7488
PluralityVeto,20,9,0,10000,1.0074386637868833,0.7307
PluralityVeto,20,10,0,10000,1.0072128073686202,0.7163
STV,20,2,0,10000,1.0031626505927387,0.9539
STV,20,3,0,10000,1.0140030699431426,0.8219
STV,20,4,0,10000,1.0243889068043908,0.7082
STV,20,5,0,10000,1.0344041107171178,0.618
STV,20,6,0,10000,1.0412964989050622,0.5488
STV,20,7,0,10000,1.0452564915005114,0.5015
STV,20,8,0,10000,1.0507681440568397,0.4514
STV,20,9,0,10000,1.0549811682250694,0.4224
STV,20,10,0,10000,1.0580535514798817,0.3841
Harmonic,20,2,0,10000,1.0031419923786091,0.957
Harmonic,20,3,0,10000,1.0117113700511475,0.8399
Harmonic,20,4,0,10000,1.0220088398773173,0.7336
Harmonic,20,5,0,10000,1.0328129032599298,0.6352
Harmonic,20,6,0,10000,1.042472015793424,0.5626
Harmonic,20,7,0,10000,1.052011676234068,0.5128
Harmonic,20,8,0,10000,1.0610629273865528,0.4584
Harmonic,20,9,0,10000,1.0692475961871528,0.4192
Harmonic,20,10,0,10000,1.0754730477352121,0.3927
Half approval,20,2,0,10000,1.0030604391613704,0.9559
Half approval,20,3,0,10000,1.030698645942045,0.7492
Half approval,20,4,0,10000,1.0572302785782768,0.5841
Half approval,20,5,0,10000,1.0447957049103285,0.5406
Half approval,20,6,0,10000,1.0672629656572123,0.437
Half approval,20,7,0,10000,1.0474772988128518,0.4421
Half approval,20,8,0,10000,1.0681277971664342,0.3528
Half approval,20,9,0,10000,1.0490925423825637,0.3661
Half approval,20,10,0,10000,1.0668644356660957,0.2876
Ranked Pairs,20,2,0,10000,1.0037780686588262,0.9512
Ranked Pairs,20,3,0,10000,1.0046054498676127,0.919
Ranked Pairs,20,4,0,10000,1.0044046357906693,0.9016
Ranked Pairs,20,5,0,10000,1.0042255878536548,0.8788
Ranked Pairs,20,6,0,10000,1.0043225586140765,0.8623
Ranked Pairs,20,7,0,10000,1.0036912596575802,0.8469
Ranked Pairs,20,8,0,10000,1.0036785717194419,0.8305
Ranked Pairs,20,9,0,10000,1.0034645635100723,0.8143
Ranked Pairs,20,10,0,10000,1.0031837640828747,0.8067
Copeland,20,2,0,10000,1.0033570018709999,0.9576
Copeland,20,3,0,10000,1.0032580067035433,0.9298
Copeland,20,4,0,10000,1.0039489554857748,0.9058
Copeland,20,5,0,10000,1.0031237473570267,0.8899
Copeland,20,6,0,10000,1.0030744576943718,0.8802
Copeland,20,7,0,10000,1.0026742571967937,0.8677
Copeland,20,8,0,10000,1.0026102024796517,0.8555
Copeland,20,9,0,10000,1.002395128479059,0.8444
Copeland,20,10,0,10000,1.0018736160546695,0.8433
Borda,20,2,0,10000,1.0031555176233549,0.9517
Borda,20,3,0,10000,1.01318202794926,0.8747
Borda,20,4,0,10000,1.015846113535254,0.8282
Borda,20,5,0,10000,1.0166666268917095,0.7861
Borda,20,6,0,10000,1.016144466333558,0.7606
Borda,20,7,0,10000,1.0160060333905891,0.7301
Borda,20,8,0,10000,1.014297747885636,0.7013
Borda,20,9,0,10000,1.0149044216520844,0.6833
Borda,20,10,0,10000,1.0148112764534405,0.6536
OddBorda,20,2,0,10000,1.003367673573134,0.9538
OddBorda,20,3,0,10000,1.0083715591868705,0.8706
OddBorda,20,4,0,10000,1.0110616280938314,0.8424
OddBorda,20,5,0,10000,1.0143774067174893,0.8041
OddBorda,20,6,0,10000,1.0160280876643797,0.7611
OddBorda,20,7,0,10000,1.0153737992232785,0.7294
OddBorda,20,8,0,10000,1.0156019883731422,0.7086
OddBorda,20,9,0,10000,1.015029689412325,0.6756
OddBorda,20,10,0,10000,1.0141259245570502,0.668
