# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0030143036596488,0.9475
Plurality,20,3,0,10000,1.011272970605574,0.8712
Plurality,20,4,0,10000,1.0193359288496275,0.8127
Plurality,20,5,0,10000,1.0265358162647016,0.7631
Plurality,20,6,0,10000,1.0340052767971657,0.7123
Plurality,20,7,0,10000,1.0415462432903448,0.6717
Plurality,20,8,0,10000,1.0471685392988601,0.6369
Plurality,20,9,0,10000,1.0539261001827664,0.6102
Plurality,20,10,0,10000,1.059535586688991,0.5835
Plurality w/ runoff,20,2,0,10000,1.0031465153372574,0.9465
Plurality w/ runoff,20,3,0,10000,1.006699899904822,0.8994
Plurality w/ runoff,20,4,0,10000,1.0104668869672735,0.8538
Plurality w/ runoff,20,5,0,10000,1.0137632700624146,0.8193
Plurality w/ runoff,20,6,0,10000,1.0163427193890824,0.7948
Plurality w/ runoff,20,7,0,10000,1.0205536453797373,0.7571
Plurality w/ runoff,20,8,0,10000,1.0227495239633233,0.7359
Plurality w/ runoff,20,9,0,10000,1.0263260930107854,0.7138
Plurality w/ runoff,20,10,0,10000,1.0291473051866804,0.6815
PluralityVeto,20,2,0,10000,1.003096896203732,0.9487
PluralityVeto,20,3,0,10000,1.0049744227456339,0.9112
PluralityVeto,20,4,0,10000,1.0060375992067265,0.8851
PluralityVeto,20,5,0,10000,1.007300074828561,0.8657
PluralityVeto,20,6,0,10000,1.0076846944990459,0.8532
PluralityVeto,20,7,0,10000,1.0092536068890188,0.8236
PluralityVeto,20,8,0,10000,1.0104310405988202,0.7999
PluralityVeto,20,9,0,10000,1.010743172546573,0.787
PluralityVeto,20,10,0,10000,1.0114639732760473,0.7736
STV,20,2,0,10000,1.0033446794415841,0.9446
STV,20,3,0,10000,1.0064827429477132,0.8991
STV,20,4,0,10000,1.0098775945443972,0.8571
STV,20,5,0,10000,1.012922697206645,0.8231
STV,20,6,0,10000,1.015907501623099,0.7919
STV,20,7,0,10000,1.0175751306705079,0.7657
STV,20,8,0,10000,1.0196876328980748,0.7417
STV,20,9,0,10000,1.0228058348984075,0.7104
STV,20,10,0,10000,1.0240763081538586,0.696
Harmonic,20,2,0,10000,1.003073881224802,0.9494
Harmonic,20,3,0,10000,1.0058556777698702,0.9049
Harmonic,20,4,0,10000,1.0084418437295957,0.87
Harmonic,20,5,0,10000,1.0115556421788605,0.8308
Harmonic,20,6,0,10000,1.0150958675114998,0.8018
Harmonic,20,7,0,10000,1.017519580603445,0.774
Harmonic,20,8,0,10000,1.0212026392228808,0.7438
Harmonic,20,9,0,10000,1.022966466394617,0.7233
Harmonic,20,10,0,10000,1.0274348654354901,0.6854
Half approval,20,2,0,10000,1.0030928927583727,0.9473
Half approval,20,3,0,10000,1.0106359221103127,0.8759
Half approval,20,4,0,10000,1.0542321391114906,0.6852
Half approval,20,5,0,10000,1.040551469927133,0.7006
Half approval,20,6,0,10000,1.0891694701189938,0.5272
Half approval,20,7,0,10000,1.0689326590566837,0.5528
Half approval,20,8,0,10000,1.1106352834073432,0.4197
Half approval,20,9,0,10000,1.0927181531017092,0.4463
Half approval,20,10,0,10000,1.1264919190023672,0.3526
Bucklin,20,2,0,10000,1.0030949405663538,0.9466
