# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0051553215892457,0.9428
Plurality,20,3,0,10000,1.0531520701018562,0.691
Plurality,20,4,0,10000,1.090586297685908,0.5356
Plurality,20,5,0,10000,1.1190154664254661,0.4419
Plurality,20,6,0,10000,1.1488102437207786,0.3698
Plurality,20,7,0,10000,1.161886253618879,0.3383
Plurality,20,8,0,10000,1.1781018306855422,0.2954
Plurality,20,9,0,10000,1.1882745993865702,0.2774
Plurality,20,10,0,10000,1.1985154433993956,0.2516
PluralityVeto,20,2,0,10000,1.0053415996200685,0.9394
PluralityVeto,20,3,0,10000,1.0074536073279667,0.8945
PluralityVeto,20,4,0,10000,1.0094412850208272,0.8482
PluralityVeto,20,5,0,10000,1.0103412020466846,0.8122
PluralityVeto,20,6,0,10000,1.010271654404432,0.7905
PluralityVeto,20,7,0,10000,1.0104768390028067,0.7548
PluralityVeto,20,8,0,10000,1.0095347779717683,0.7469
PluralityVeto,20,9,0,10000,1.0094060650734993,0.7216
PluralityVeto,20,10,0,10000,1.0087602676577576,0.7137
STV,20,2,0,10000,1.0051274248118915,0.9422
STV,20,3,0,10000,1.0228447533379188,0.7798
STV,20,4,0,10000,1.0396332189269177,0.6539
STV,20,5,0,10000,1.0514124534419833,0.5678
STV,20,6,0,10000,1.060721120876508,0.5026
STV,20,7,0,10000,1.0678760357834247,0.4487
STV,20,8,0,10000,1.0749852307673546,0.4159
STV,20,9,0,10000,1.0764130183550187,0.383
STV,20,10,0,10000,1.0788353536536652,0.3547
Harmonic,20,2,0,10000,1.0049994119255667,0.9399
Harmonic,20,3,0,10000,1.0205536358461695,0.8024
Harmonic,20,4,0,10000,1.0376850445366494,0.678
Harmonic,20,5,0,10000,1.053422220674431,0.5859
Harmonic,20,6,0,10000,1.0635327977193625,0.5221
Harmonic,20,7,0,10000,1.0776110931718759,0.4586
Harmonic,20,8,0,10000,1.0881005467967908,0.4164
Harmonic,20,9,0,10000,1.0949648304513,0.385
Harmonic,20,10,0,10000,1.104882609566143,0.3565
Half approval,20,2,0,10000,1.005271824929148,0.9402
Half approval,20,3,0,10000,1.053032221166409,0.6867
Half approval,20,4,0,10000,1.059552806670991,0.6066
Half approval,20,5,0,10000,1.0582634303496006,0.5102
Half approval,20,6,0,10000,1.0710189475140448,0.4646
Half approval,20,7,0,10000,1.0572680354905426,0.4311
Half approval,20,8,0,10000,1.0739971729804672,0.3876
Half approval,20,9,0,10000,1.0595795103425727,0.3608
Half approval,20,10,0,10000,1.078049264999985,0.3217
Ranked Pairs,20,2,0,10000,1.0053022951646162,0.9422
Ranked Pairs,20,3,0,10000,1.0060482951948142,0.9065
Ranked Pairs,20,4,0,10000,1.0060395048378439,0.8894
Ranked Pairs,20,5,0,10000,1.0062172128634015,0.8695
Ranked Pairs,20,6,0,10000,1.0055325372837656,0.8637
Ranked Pairs,20,7,0,10000,1.0052513995242862,0.8353
Ranked Pairs,20,8,0,10000,1.0049164898766991,0.8296
Ranked Pairs,20,9,0,10000,1.0043812729883337,0.8113
Ranked Pairs,20,10,0,10000,1.0044339940217508,0.7959
Copeland,20,2,0,10000,1.0050401526672925,0.9405
Copeland,20,3,0,10000,1.0057384079969718,0.9137
Copeland,20,4,0,10000,1.005533661723222,0.8981
Copeland,20,5,0,10000,1.0047225366028016,0.8869
Copeland,20,6,0,10000,1.0039859570026355,0.8717
Copeland,20,7,0,10000,1.0037377810176709,0.8658
Copeland,20,8,0,10000,1.003155219469706,0.8588
Copeland,20,9,0,10000,1.0027899902974602,0.8427
Copeland,20,10,0,10000,1.0026901231147023,0.8349
Borda,20,2,0,10000,1.0051000140904853,0.9418
Borda,20,3,0,10000,1.0217496626466127,0.8487
Borda,20,4,0,10000,1.02614634017938,0.7973
Borda,20,5,0,10000,1.0269395044229603,0.7547
Borda,20,6,0,10000,1.0252551212774323,0.7198
Borda,20,7,0,10000,1.0250975405142089,0.6865
Borda,20,8,0,10000,1.0254076408209765,0.6635
Borda,20,9,0,10000,1.0246243640794463,0.638
Borda,20,10,0,10000,1.0240574699412148,0.6195
OddBorda,20,2,0,10000,1.0050184153418387,0.9397
OddBorda,20,3,0,10000,1.0130349197460478,0.8433
OddBorda,20,4,0,10000,1.0198353553021107,0.8026
OddBorda,20,5,0,10000,1.0228950892340625,0.764
OddBorda,20,6,0,10000,1.0243012450793583,0.7339
OddBorda,20,7,0,10000,1.0254150958214496,0.6928
OddBorda,20,8,0,10000,1.0233660435376972,0.6638
OddBorda,20,9,0,10000,1.0229665774842114,0.6471
OddBorda,20,10,0,10000,1.0241080091000603,0.6224
