# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,20,2,0,10000,1.0278444178169388,0.9171
Veto,20,3,0,10000,1.049658463837904,0.821
Veto,20,4,0,10000,1.6183712241955839,0.7202
Veto,20,5,0,10000,1.1113888228741942,0.6328
Veto,20,6,0,10000,1.1474521744187183,0.5412
Veto,20,7,0,10000,1.1895540596693739,0.4701
Veto,20,8,0,10000,1.2329192856806606,0.4016
Veto,20,9,0,10000,1.2782349971328448,0.3443
Veto,20,10,0,10000,1.3302820761094423,0.2835
Plurality,20,2,0,10000,1.0336012229699338,0.9181
Plurality,20,3,0,10000,1.040647232147,0.8694
Plurality,20,4,0,10000,1.0331455323365881,0.8277
Plurality,20,5,0,10000,1.0334208764648556,0.7899
Plurality,20,6,0,10000,1.0429042182869448,0.7588
Plurality,20,7,0,10000,1.0422820273780367,0.7246
Plurality,20,8,0,10000,1.046832621050629,0.6934
Plurality,20,9,0,10000,1.0492074582547728,0.6692
Plurality,20,10,0,10000,1.052888164825798,0.6547
Plurality w/ runoff,20,2,0,10000,1.0573321013253816,0.9176
Plurality w/ runoff,20,3,0,10000,1.0277689552594533,0.8711
Plurality w/ runoff,20,4,0,10000,1.0328796366916138,0.832
Plurality w/ runoff,20,5,0,10000,1.0292905187237498,0.7979
Plurality w/ runoff,20,6,0,10000,1.0288364060538868,0.7804
Plurality w/ runoff,20,7,0,10000,1.0290816977157273,0.761
Plurality w/ runoff,20,8,0,10000,1.0329835391819246,0.7315
Plurality w/ runoff,20,9,0,10000,1.0334308402899939,0.7181
Plurality w/ runoff,20,10,0,10000,1.035654607005611,0.6974
PluralityVeto,20,2,0,10000,1.0283799621368819,0.9173
PluralityVeto,20,3,0,10000,1.0223514160042666,0.8876
PluralityVeto,20,4,0,10000,1.0179330656546743,0.8532
PluralityVeto,20,5,0,10000,1.019259884782099,0.8296
PluralityVeto,20,6,0,10000,1.020581512163835,0.8066
PluralityVeto,20,7,0,10000,1.0199915042724392,0.7906
PluralityVeto,20,8,0,10000,1.0224009168937698,0.7678
PluralityVeto,20,9,0,10000,1.024240941661185,0.7442
PluralityVeto,20,10,0,10000,1.0257716477972156,0.7306
STV,20,2,0,10000,1.0287054259531214,0.9133
STV,20,3,0,10000,1.0275588445070734,0.8766
STV,20,4,0,10000,1.022849443986998,0.8468
STV,20,5,0,10000,1.0216256458823794,0.8176
STV,20,6,0,10000,1.0246036558048461,0.7949
STV,20,7,0,10000,1.025563246167741,0.7722
STV,20,8,0,10000,1.0263898471106858,0.7616
STV,20,9,0,10000,1.0276707898955246,0.7363
STV,20,10,0,10000,1.0275912124007132,0.7221
Harmonic,20,2,0,10000,1.0349614212329061,0.9201
Harmonic,20,3,0,10000,1.024346898934538,0.8877
Harmonic,20,4,0,10000,1.016314811320173,0.868
Harmonic,20,5,0,10000,1.0155325831674962,0.8525
Harmonic,20,6,0,10000,1.0163990784817276,0.833
Harmonic,20,7,0,10000,1.016133141951495,0.8145
Harmonic,20,8,0,10000,1.0175010782475375,0.8024
Harmonic,20,9,0,10000,1.0179682658842564,0.7845
Harmonic,20,10,0,10000,1.0178019082972976,0.7705
Half approval,20,2,0,10000,1.035710024558569,0.9136
Half approval,20,3,0,10000,1.0295253982164314,0.8715
Half approval,20,4,0,10000,1.0335941819884327,0.8125
Half approval,20,5,0,10000,1.02713935174846,0.7994
Half approval,20,6,0,10000,1.0349999078936514,0.7475
Half approval,20,7,0,10000,1.0312128718313112,0.7416
Half approval,20,8,0,10000,1.0392142094720453,0.6961
Half approval,20,9,0,10000,1.03453903420977,0.7052
Half approval,20,10,0,10000,1.0442477542415975,0.6545
Bucklin,20,2,0,10000,1.0770177012921738,0.921
Bucklin,20,3,0,10000,1.1304159119437232,0.878
Bucklin,20,4,0,10000,1.0230161779633624,0.8424
Bucklin,20,5,0,10000,1.024607391359273,0.8122
Bucklin,20,6,0,10000,1.023923616708675,0.789
Bucklin,20,7,0,10000,1.0237655790582256,0.775
Bucklin,20,8,0,10000,1.0247407640870723,0.7573
