# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.003375579487939,0.962
Plurality,20,3,0,10000,1.0031396093400031,0.9443
Plurality,20,4,0,10000,1.0041469173948847,0.9203
Plurality,20,5,0,10000,1.0049488098488748,0.9053
Plurality,20,6,0,10000,1.0052477007863387,0.8856
Plurality,20,7,0,10000,1.005698297455437,0.8767
Plurality,20,8,0,10000,1.0059151335531933,0.8656
Plurality,20,9,0,10000,1.0072060922354664,0.8429
Plurality,20,10,0,10000,1.0073984506696065,0.8283
Plurality w/ runoff,20,2,0,10000,1.004245017854298,0.9589
Plurality w/ runoff,20,3,0,10000,1.0033834124493202,0.9438
Plurality w/ runoff,20,4,0,10000,1.0042192419103737,0.9246
Plurality w/ runoff,20,5,0,10000,1.0042158286943539,0.9127
Plurality w/ runoff,20,6,0,10000,1.004872975614113,0.8885
Plurality w/ runoff,20,7,0,10000,1.005047611792219,0.8802
Plurality w/ runoff,20,8,0,10000,1.0056131855004122,0.8692
Plurality w/ runoff,20,9,0,10000,1.006356410226574,0.8485
Plurality w/ runoff,20,10,0,10000,1.0065708694209115,0.8386
PluralityVeto,20,2,0,10000,1.0026808274323211,0.9651
PluralityVeto,20,3,0,10000,1.00270082878643,0.9502
PluralityVeto,20,4,0,10000,1.0030169095663988,0.9327
PluralityVeto,20,5,0,10000,1.0032806529217608,0.9197
PluralityVeto,20,6,0,10000,1.003563078658261,0.9084
PluralityVeto,20,7,0,10000,1.0038762774713874,0.8959
PluralityVeto,20,8,0,10000,1.0042951460634801,0.8831
PluralityVeto,20,9,0,10000,1.0042835448073566,0.8757
PluralityVeto,20,10,0,10000,1.0046980816227857,0.8599
STV,20,2,0,10000,1.004376064053694,0.9604
STV,20,3,0,10000,1.0033133274024124,0.9428
STV,20,4,0,10000,1.00351832546433,0.9316
STV,20,5,0,10000,1.0040260052241308,0.9106
STV,20,6,0,10000,1.0038764740066302,0.9031
STV,20,7,0,10000,1.0047836699447121,0.8779
STV,20,8,0,10000,1.0050920395600165,0.8716
STV,20,9,0,10000,1.0053890254092437,0.8551
STV,20,10,0,10000,1.0056276540749507,0.8489
Harmonic,20,2,0,10000,1.004965326035472,0.9583
Harmonic,20,3,0,10000,1.002534213083521,0.9532
Harmonic,20,4,0,10000,1.002608805317997,0.9377
Harmonic,20,5,0,10000,1.0028289550566558,0.9226
Harmonic,20,6,0,10000,1.0028255703023259,0.9171
Harmonic,20,7,0,10000,1.0033569464095058,0.9007
Harmonic,20,8,0,10000,1.003143981207011,0.8969
Harmonic,20,9,0,10000,1.0031746564690103,0.8933
Harmonic,20,10,0,10000,1.0033863352983003,0.8823
Half approval,20,2,0,10000,1.0055870482710558,0.959
Half approval,20,3,0,10000,1.0034565773180244,0.9442
Half approval,20,4,0,10000,1.0133498350501922,0.8695
Half approval,20,5,0,10000,1.0096786961011712,0.8666
Half approval,20,6,0,10000,1.0243075361192022,0.771
Half approval,20,7,0,10000,1.018689003843862,0.7792
Half approval,20,8,0,10000,1.0341919203610386,0.6844
Half approval,20,9,0,10000,1.0278523866996006,0.6945
Half approval,20,10,0,10000,1.0434420996204263,0.6065
Bucklin,20,2,0,10000,1.0036013133428179,0.9628
Bucklin,20,3,0,10000,1.0031271576792304,0.9456
Bucklin,20,4,0,10000,1.0033239745746187,0.9327
Bucklin,20,5,0,10000,1.0036435148030394,0.9146
Bucklin,20,6,0,10000,1.0039060768158443,0.9053
Bucklin,20,7,0,10000,1.0047739588189686,0.8786
Bucklin,20,8,0,10000,1.0047623945328066,0.8767
Bucklin,20,9,0,10000,1.0052419722535522,0.8609
Bucklin,20,10,0,10000,1.0056940425083583,0.8472
Maximin,20,2,0,10000,1.0045523759316082,0.9593
Maximin,20,3,0,10000,1.0036901240914162,0.9433
Maximin,20,4,0,10000,1.00331638653251,0.931
Maximin,20,5,0,10000,1.0033815849476362,0.9188
Maximin,20,6,0,10000,1.0043285981593266,0.8981
Maximin,20,7,0,10000,1.004327051960264,0.8874
Maximin,20,8,0,10000,1.0046773153798283,0.8718
Maximin,20,9,0,10000,1.004672173110387,0.8641
Maximin,20,10,0,10000,1.0051596836150878,0.856
Ranked Pairs,20,2,0,10000,1.0041621383462442,0.9633
Ranked Pairs,20,3,0,10000,1.0037310081231858,0.9417
Ranked Pairs,20,4,0,10000,1.0031877403653406,0.932
Ranked Pairs,20,5,0,10000,1.0037275026399362,0.9155
Ranked Pairs,20,6,0,10000,1.0037669229518327,0.9015
Ranked Pairs,20,7,0,10000,1.0043361720623107,0.8858
Ranked Pairs,20,8,0,10000,1.0043915324292725,0.8774
Ranked Pairs,20,9,0,10000,1.0057326098826231,0.8653
Ranked Pairs,20,10,0,10000,1.0049575825534438,0.8579
Copeland,20,2,0,10000,1.0055538389256329,0.9622
Copeland,20,3,0,10000,1.0039038368139053,0.9436
Copeland,20,4,0,10000,1.0036078974406195,0.9293
Copeland,20,5,0,10000,1.0035664679309642,0.9134
Copeland,20,6,0,10000,1.004291165802971,0.9012
Copeland,20,7,0,10000,1.0045482731726363,0.8834
Copeland,20,8,0,10000,1.0043875153333017,0.88
Copeland,20,9,0,10000,1.0044180040640436,0.8699
Copeland,20,10,0,10000,1.0050891287202377,0.856
Borda,20,2,0,10000,1.0045790774600358,0.9568
Borda,20,3,0,10000,1.00305425878821,0.9506
Borda,20,4,0,10000,1.0024094565480208,0.9406
Borda,20,5,0,10000,1.0021442993616052,0.932
Borda,20,6,0,10000,1.0024976156118508,0.9214
Borda,20,7,0,10000,1.00250235377378,0.9132
Borda,20,8,0,10000,1.0023749485074178,0.9089
Borda,20,9,0,10000,1.00268345416398,0.8999
Borda,20,10,0,10000,1.0029574842852473,0.886
Random Voter Utility,20,2,0,10000,1.0074473284923426,0.9574
Random Voter Utility,20,3,0,10000,1.003894493316785,0.9424
Random Voter Utility,20,4,0,10000,1.0036781804162067,0.9286
Random Voter Utility,20,5,0,10000,1.0034481877157906,0.9199
Random Voter Utility,20,6,0,10000,1.0036955314449303,0.9075
Random Voter Utility,20,7,0,10000,1.0037055606588139,0.8957
Random Voter Utility,20,8,0,10000,1.0035368604890043,0.8947
Random Voter Utility,20,9,0,10000,1.003902333346196,0.8784
Random Voter Utility,20,10,0,10000,1.0036505861239553,0.8804
