# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0109626347654308,0.7918
Plurality,20,3,0,10000,1.0197033988020607,0.666
Plurality,20,4,0,10000,1.0268497752911454,0.5902
Plurality,20,5,0,10000,1.034339463831787,0.5168
Plurality,20,6,0,10000,1.0387454594284564,0.477
Plurality,20,7,0,10000,1.0430452034691429,0.4431
Plurality,20,8,0,10000,1.0476796630475198,0.4125
Plurality,20,9,0,10000,1.0506675786841209,0.3877
Plurality,20,10,0,10000,1.0542073046550426,0.3612
Plurality w/ runoff,20,2,0,10000,1.0108993947461664,0.7916
Plurality w/ runoff,20,3,0,10000,1.0173621231875565,0.6837
Plurality w/ runoff,20,4,0,10000,1.0220957919994564,0.6184
Plurality w/ runoff,20,5,0,10000,1.0266382121255473,0.5652
Plurality w/ runoff,20,6,0,10000,1.0291860281658247,0.5381
Plurality w/ runoff,20,7,0,10000,1.0317790163520697,0.5078
Plurality w/ runoff,20,8,0,10000,1.0359538429257265,0.4776
Plurality w/ runoff,20,9,0,10000,1.0369983282083337,0.4511
Plurality w/ runoff,20,10,0,10000,1.0407248169010488,0.4246
PluralityVeto,20,2,0,10000,1.011331197509189,0.7866
PluralityVeto,20,3,0,10000,1.012915623342058,0.7325
PluralityVeto,20,4,0,10000,1.015583093104131,0.6813
PluralityVeto,20,5,0,10000,1.0189674688916361,0.6239
PluralityVeto,20,6,0,10000,1.021343818075705,0.5931
PluralityVeto,20,7,0,10000,1.0240559861307037,0.5608
PluralityVeto,20,8,0,10000,1.0266257506255496,0.5302
PluralityVeto,20,9,0,10000,1.0292489916549525,0.5125
PluralityVeto,20,10,0,10000,1.031716756260859,0.4806
STV,20,2,0,10000,1.0109747062441596,0.7939
STV,20,3,0,10000,1.0166393664422,0.6913
STV,20,4,0,10000,1.020797455921515,0.6322
STV,20,5,0,10000,1.0240827141377509,0.5939
STV,20,6,0,10000,1.025810932408795,0.5561
STV,20,7,0,10000,1.02806583575764,0.533
STV,20,8,0,10000,1.0288385207792112,0.5154
STV,20,9,0,10000,1.029875608923784,0.5061
STV,20,10,0,10000,1.0323248873414645,0.483
Harmonic,20,2,0,10000,1.0108572402908897,0.7887
Harmonic,20,3,0,10000,1.0138062303245905,0.7239
Harmonic,20,4,0,10000,1.0164046951717882,0.6766
Harmonic,20,5,0,10000,1.0180084525685547,0.64
Harmonic,20,6,0,10000,1.0200737108322682,0.6045
Harmonic,20,7,0,10000,1.020919324499645,0.5932
Harmonic,20,8,0,10000,1.02375125013161,0.558
Harmonic,20,9,0,10000,1.0241409092082103,0.543
Harmonic,20,10,0,10000,1.026159528559335,0.5254
Half approval,20,2,0,10000,1.0115584800340256,0.7817
Half approval,20,3,0,10000,1.0192455192930403,0.6683
Half approval,20,4,0,10000,1.0212273994521646,0.6249
Half approval,20,5,0,10000,1.024117769879453,0.5906
Half approval,20,6,0,10000,1.0256099743663347,0.5531
Half approval,20,7,0,10000,1.0259733595603175,0.5441
Half approval,20,8,0,10000,1.0278788874066367,0.5221
Half approval,20,9,0,10000,1.028324508500029,0.5087
Half approval,20,10,0,10000,1.0300605192830836,0.4805
Bucklin,20,2,0,10000,1.0108816901308548,0.7889
Bucklin,20,3,0,10000,1.0176398362410946,0.682
Bucklin,20,4,0,10000,1.020862874256944,0.6313
Bucklin,20,5,0,10000,1.0221618129853252,0.5947
Bucklin,20,6,0,10000,1.0226233147300752,0.5838
Bucklin,20,7,0,10000,1.0252000323486816,0.5588
Bucklin,20,8,0,10000,1.0256979900128174,0.5404
Bucklin,20,9,0,10000,1.0257206724948578,0.5307
Bucklin,20,10,0,10000,1.0270026791923206,0.5114
Maximin,20,2,0,10000,1.0106194624489697,0.7899
Maximin,20,3,0,10000,1.014849960888219,0.7079
Maximin,20,4,0,10000,1.0157231657478434,0.6693
Maximin,20,5,0,10000,1.017379961158914,0.6446
Maximin,20,6,0,10000,1.0173635112724597,0.6252
Maximin,20,7,0,10000,1.0182897958534125,0.6065
Maximin,20,8,0,10000,1.0187741019757994,0.597
Maximin,20,9,0,10000,1.0189808728939174,0.5817
Maximin,20,10,0,10000,1.0201193883557753,0.5616
Ranked Pairs,20,2,0,10000,1.0107646988929766,0.7895
Ranked Pairs,20,3,0,10000,1.01502588656443,0.7082
Ranked Pairs,20,4,0,10000,1.016109596102238,0.6695
Ranked Pairs,20,5,0,10000,1.017386094049132,0.6473
Ranked Pairs,20,6,0,10000,1.018347679111124,0.6245
Ranked Pairs,20,7,0,10000,1.0193960948823424,0.5994
Ranked Pairs,20,8,0,10000,1.0195579027021289,0.5958
Ranked Pairs,20,9,0,10000,1.0212060444663473,0.5625
Ranked Pairs,20,10,0,10000,1.0207662425704358,0.5607
Copeland,20,2,0,10000,1.0111549330118497,0.7883
Copeland,20,3,0,10000,1.0152507601597685,0.709
Copeland,20,4,0,10000,1.01615272702117,0.6694
Copeland,20,5,0,10000,1.0159599115951206,0.6546
Copeland,20,6,0,10000,1.0156065358162476,0.6452
Copeland,20,7,0,10000,1.0153473864073264,0.6331
Copeland,20,8,0,10000,1.0151302755854459,0.6341
Copeland,20,9,0,10000,1.0144440002815198,0.6351
Copeland,20,10,0,10000,1.0139606695929528,0.6282
Borda,20,2,0,10000,1.0108279635586372,0.7959
Borda,20,3,0,10000,1.0116634863271199,0.7415
Borda,20,4,0,10000,1.0110541250436684,0.7308
Borda,20,5,0,10000,1.0105214289120479,0.7197
Borda,20,6,0,10000,1.009776818066244,0.7176
Borda,20,7,0,10000,1.0092968928710564,0.7115
Borda,20,8,0,10000,1.0092643378676496,0.7017
Borda,20,9,0,10000,1.0088827128463997,0.7022
Borda,20,10,0,10000,1.008587815028636,0.7113
Random Voter Utility,20,2,0,10000,1.010769968601748,0.7917
Random Voter Utility,20,3,0,10000,1.0133158466532595,0.7261
Random Voter Utility,20,4,0,10000,1.0145255739997054,0.6873
Random Voter Utility,20,5,0,10000,1.0146033345730812,0.6688
Random Voter Utility,20,6,0,10000,1.0137968120217824,0.6722
Random Voter Utility,20,7,0,10000,1.0130641640809506,0.6673
Random Voter Utility,20,8,0,10000,1.0126392544509604,0.6648
Random Voter Utility,20,9,0,10000,1.0120331324662404,0.6652
Random Voter Utility,20,10,0,10000,1.0117793150354326,0.6632
