# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,20,2,0,10000,1.0025542954447701,0.9505
Veto,20,3,0,10000,1.010039589314011,0.8634
Veto,20,4,0,10000,1.0248481810320853,0.7558
Veto,20,5,0,10000,1.0487056359081368,0.6254
Veto,20,6,0,10000,1.0781857206809895,0.5032
Veto,20,7,0,10000,1.1099351613193091,0.3843
Veto,20,8,0,10000,1.1387422068423505,0.309
Veto,20,9,0,10000,1.1627031210396663,0.2477
Veto,20,10,0,10000,1.1857236632137473,0.2163
Plurality,20,2,0,10000,1.0027105011270196,0.9455
Plurality,20,3,0,10000,1.003742279544153,0.9212
Plurality,20,4,0,10000,1.0045763361754045,0.8994
Plurality,20,5,0,10000,1.0053700417577927,0.876
Plurality,20,6,0,10000,1.0061018743429397,0.8471
Plurality,20,7,0,10000,1.00682228192717,0.8279
Plurality,20,8,0,10000,1.0077139627763099,0.8194
Plurality,20,9,0,10000,1.007897530916617,0.7964
Plurality,20,10,0,10000,1.008377671303889,0.7897
Plurality w/ runoff,20,2,0,10000,1.0023552142581604,0.9518
Plurality w/ runoff,20,3,0,10000,1.0036038433961938,0.9188
Plurality w/ runoff,20,4,0,10000,1.004542908356133,0.8951
Plurality w/ runoff,20,5,0,10000,1.0050586195061095,0.873
Plurality w/ runoff,20,6,0,10000,1.0054661954407553,0.8561
Plurality w/ runoff,20,7,0,10000,1.00600245124919,0.8397
Plurality w/ runoff,20,8,0,10000,1.006616285512397,0.8207
Plurality w/ runoff,20,9,0,10000,1.0068643824290147,0.8069
Plurality w/ runoff,20,10,0,10000,1.0074046907993068,0.7978
STV,20,2,0,10000,1.002781776265797,0.9445
STV,20,3,0,10000,1.003510838120873,0.9198
STV,20,4,0,10000,1.0039713835387223,0.9011
STV,20,5,0,10000,1.0040160089502737,0.8895
STV,20,6,0,10000,1.0049288493782809,0.8618
STV,20,7,0,10000,1.005560349311822,0.8451
STV,20,8,0,10000,1.005856123499374,0.8313
STV,20,9,0,10000,1.0060590098492959,0.8235
STV,20,10,0,10000,1.0064389325783423,0.8079
Harmonic,20,2,0,10000,1.0027227275070312,0.9485
Harmonic,20,3,0,10000,1.0027672822448257,0.9293
Harmonic,20,4,0,10000,1.0026550904826697,0.9169
Harmonic,20,5,0,10000,1.0030890232782879,0.8976
Harmonic,20,6,0,10000,1.0031678145355611,0.8931
Harmonic,20,7,0,10000,1.0033648874457761,0.8807
Harmonic,20,8,0,10000,1.0034508904839463,0.8713
Harmonic,20,9,0,10000,1.003434104341918,0.861
Harmonic,20,10,0,10000,1.0037011454491576,0.8549
Half approval,20,2,0,10000,1.0027183248076745,0.9469
Half approval,20,3,0,10000,1.0038128152986596,0.9171
Half approval,20,4,0,10000,1.007846964660419,0.8628
Half approval,20,5,0,10000,1.0071849582248138,0.8481
Half approval,20,6,0,10000,1.0118356645513271,0.7902
Half approval,20,7,0,10000,1.0102855734522334,0.7906
Half approval,20,8,0,10000,1.0141597861630038,0.7403
Half approval,20,9,0,10000,1.0131370788208465,0.735
Half approval,20,10,0,10000,1.0174046816707574,0.6836
Bucklin,20,2,0,10000,1.0027657152052172,0.9457
Bucklin,20,3,0,10000,1.0032718943444292,0.9215
Bucklin,20,4,0,10000,1.003997520236323,0.9017
Bucklin,20,5,0,10000,1.0048441805855854,0.8784
Bucklin,20,6,0,10000,1.0053567457245969,0.8573
Bucklin,20,7,0,10000,1.00591028072977,0.8417
Bucklin,20,8,0,10000,1.0063680816058214,0.8234
Bucklin,20,9,0,10000,1.0067668103003111,0.8148
Bucklin,20,10,0,10000,1.0075134033977473,0.788
Maximin,20,2,0,10000,1.0025921014731287,0.9476
Maximin,20,3,0,10000,1.0032461194237547,0.9227
Maximin,20,4,0,10000,1.0039319031734373,0.8994
Maximin,20,5,0,10000,1.0039712380906456,0.8852
Maximin,20,6,0,10000,1.004261625844396,0.8705
Maximin,20,7,0,10000,1.0047627706060316,0.8548
Maximin,20,8,0,10000,1.0047634580196185,0.8473
Maximin,20,9,0,10000,1.0051115765432959,0.8276
Maximin,20,10,0,10000,1.0056393024636159,0.8203
Ranked Pairs,20,2,0,10000,1.002783720359647,0.9453
Ranked Pairs,20,3,0,10000,1.0032301098398269,0.9224
Ranked Pairs,20,4,0,10000,1.0036538283411152,0.9029
Ranked Pairs,20,5,0,10000,1.0038006584809978,0.8917
Ranked Pairs,20,6,0,10000,1.0045401357841552,0.8688
Ranked Pairs,20,7,0,10000,1.0049341087358061,0.8486
Ranked Pairs,20,8,0,10000,1.0048865063740688,0.8452
Ranked Pairs,20,9,0,10000,1.0058429730012486,0.8314
Ranked Pairs,20,10,0,10000,1.0056181423764594,0.8197
Copeland,20,2,0,10000,1.0028391566202766,0.944
Copeland,20,3,0,10000,1.0032135505929827,0.919
Copeland,20,4,0,10000,1.0039139842942286,0.9013
Copeland,20,5,0,10000,1.0042051392227584,0.8855
Copeland,20,6,0,10000,1.004372924420775,0.8724
Copeland,20,7,0,10000,1.0045940150977362,0.8573
Copeland,20,8,0,10000,1.0048408016291803,0.8466
Copeland,20,9,0,10000,1.0050095717497631,0.8318
Copeland,20,10,0,10000,1.0052012684348124,0.8247
Borda,20,2,0,10000,1.0023136496492655,0.9517
Borda,20,3,0,10000,1.0023616990791253,0.9362
Borda,20,4,0,10000,1.0022694846055864,0.9241
Borda,20,5,0,10000,1.0022723071001163,0.9111
Borda,20,6,0,10000,1.002480018069923,0.8998
Borda,20,7,0,10000,1.0024366619834788,0.8929
Borda,20,8,0,10000,1.0023082541759263,0.8915
Borda,20,9,0,10000,1.00246145986302,0.8843
Borda,20,10,0,10000,1.0024762962112952,0.8775
Random Voter Utility,20,2,0,10000,1.0026061851560706,0.9462
Random Voter Utility,20,3,0,10000,1.0031358363073963,0.928
Random Voter Utility,20,4,0,10000,1.0034204678615042,0.9096
Random Voter Utility,20,5,0,10000,1.003322891513522,0.9006
Random Voter Utility,20,6,0,10000,1.00339567680237,0.8846
Random Voter Utility,20,7,0,10000,1.003331555663478,0.8768
Random Voter Utility,20,8,0,10000,1.0033159589770637,0.8734
Random Voter Utility,20,9,0,10000,1.0032900297459755,0.8698
Random Voter Utility,20,10,0,10000,1.0032903175437153,0.8587
