# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0637752054015268,0.9472
Plurality,20,3,0,10000,1.0109529041361176,0.9246
Plurality,20,4,0,10000,1.0124277389744285,0.8975
Plurality,20,5,0,10000,1.01711025813613,0.8701
Plurality,20,6,0,10000,1.019082391054748,0.8544
Plurality,20,7,0,10000,1.0228910476014812,0.8299
Plurality,20,8,0,10000,1.0261113442342435,0.8147
Plurality,20,9,0,10000,1.0297006749942892,0.7927
Plurality,20,10,0,10000,1.0328692042720047,0.7763
Plurality w/ runoff,20,2,0,10000,1.0298061303592374,0.9471
Plurality w/ runoff,20,3,0,10000,1.010194434937967,0.926
Plurality w/ runoff,20,4,0,10000,1.0116185600564298,0.902
Plurality w/ runoff,20,5,0,10000,1.011691089649995,0.8914
Plurality w/ runoff,20,6,0,10000,1.0123211468504905,0.8754
Plurality w/ runoff,20,7,0,10000,1.014257316442695,0.857
Plurality w/ runoff,20,8,0,10000,1.0148544379560156,0.8548
Plurality w/ runoff,20,9,0,10000,1.0147595081994836,0.8457
Plurality w/ runoff,20,10,0,10000,1.0149072296307111,0.8329
PluralityVeto,20,2,0,10000,1.0190421009605803,0.9451
PluralityVeto,20,3,0,10000,1.0087723646560454,0.9297
PluralityVeto,20,4,0,10000,1.0088237818297046,0.9156
PluralityVeto,20,5,0,10000,1.0092792887490478,0.8984
PluralityVeto,20,6,0,10000,1.0102253414173719,0.8847
PluralityVeto,20,7,0,10000,1.0117494562520697,0.8704
PluralityVeto,20,8,0,10000,1.0125508584489233,0.861
PluralityVeto,20,9,0,10000,1.0125395963855977,0.8542
PluralityVeto,20,10,0,10000,1.0149122225950478,0.8305
STV,20,2,0,10000,1.0244340487572978,0.945
STV,20,3,0,10000,1.0098600279330936,0.9284
STV,20,4,0,10000,1.0100974798971751,0.9059
STV,20,5,0,10000,1.0105918513237149,0.8921
STV,20,6,0,10000,1.0114281824035576,0.8836
STV,20,7,0,10000,1.01196121186969,0.8682
STV,20,8,0,10000,1.0131495391387615,0.8615
STV,20,9,0,10000,1.0132685470073346,0.8503
STV,20,10,0,10000,1.0132180371916,0.8426
Harmonic,20,2,0,10000,1.0495947969887383,0.9422
Harmonic,20,3,0,10000,1.0098938417670282,0.935
Harmonic,20,4,0,10000,1.0072719805738846,0.9175
Harmonic,20,5,0,10000,1.0082811447336277,0.9031
Harmonic,20,6,0,10000,1.0082506329713539,0.8965
Harmonic,20,7,0,10000,1.008681317197336,0.8863
Harmonic,20,8,0,10000,1.0094887971683368,0.8795
Harmonic,20,9,0,10000,1.0104341029524269,0.8698
Harmonic,20,10,0,10000,1.0102445559352762,0.8572
Half approval,20,2,0,10000,1.0299150220232942,0.9408
Half approval,20,3,0,10000,1.0106150034572905,0.9207
Half approval,20,4,0,10000,1.038884656065925,0.8185
Half approval,20,5,0,10000,1.022775806567601,0.8454
