# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0055366942406931,0.9201
Plurality,20,3,0,10000,1.0070971858732705,0.8935
Plurality,20,4,0,10000,1.0090616954717508,0.8607
Plurality,20,5,0,10000,1.011158801580796,0.8343
Plurality,20,6,0,10000,1.0132820895095225,0.806
Plurality,20,7,0,10000,1.0159998517407607,0.7623
Plurality,20,8,0,10000,1.0182817871013925,0.7402
Plurality,20,9,0,10000,1.0212762521149248,0.6936
Plurality,20,10,0,10000,1.0233369497984703,0.6717
Plurality w/ runoff,20,2,0,10000,1.005474644111807,0.9249
Plurality w/ runoff,20,3,0,10000,1.008010107264554,0.8856
Plurality w/ runoff,20,4,0,10000,1.0085891677869272,0.8696
Plurality w/ runoff,20,5,0,10000,1.0090862325263394,0.8469
Plurality w/ runoff,20,6,0,10000,1.009890306162036,0.8274
Plurality w/ runoff,20,7,0,10000,1.0112027631451774,0.7991
Plurality w/ runoff,20,8,0,10000,1.0121683136926474,0.7791
Plurality w/ runoff,20,9,0,10000,1.0134757668955505,0.7553
Plurality w/ runoff,20,10,0,10000,1.0139215762006084,0.7399
PluralityVeto,20,2,0,10000,1.005854280441127,0.9204
PluralityVeto,20,3,0,10000,1.006092737037151,0.903
PluralityVeto,20,4,0,10000,1.006183776802062,0.8854
PluralityVeto,20,5,0,10000,1.0072148675437476,0.8664
PluralityVeto,20,6,0,10000,1.0085275872105106,0.8349
PluralityVeto,20,7,0,10000,1.0084170129481256,0.8186
PluralityVeto,20,8,0,10000,1.0105465139662853,0.7799
PluralityVeto,20,9,0,10000,1.0117010725261544,0.7683
PluralityVeto,20,10,0,10000,1.0121744944868998,0.7479
STV,20,2,0,10000,1.0063917646623832,0.9161
STV,20,3,0,10000,1.0063726362105925,0.8981
STV,20,4,0,10000,1.0074651227099864,0.8742
STV,20,5,0,10000,1.0081213349806435,0.8562
STV,20,6,0,10000,1.0092855441046091,0.8362
