# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,20,2,0,10000,1.0061782650325712,0.9171
Veto,20,3,0,10000,1.019418128718125,0.8262
Veto,20,4,0,10000,1.0382951875356385,0.7261
Veto,20,5,0,10000,1.0560664813588176,0.6377
Veto,20,6,0,10000,1.079083255733323,0.542
Veto,20,7,0,10000,1.101524077610348,0.4652
Veto,20,8,0,10000,1.1225898000981829,0.3912
Veto,20,9,0,10000,1.1451223873949121,0.3344
Veto,20,10,0,10000,1.1638755790499058,0.2875
Plurality,20,2,0,10000,1.005348646939996,0.9218
Plurality,20,3,0,10000,1.0072001144613272,0.8923
Plurality,20,4,0,10000,1.0091478259054112,0.8625
Plurality,20,5,0,10000,1.0108952156879736,0.8378
Plurality,20,6,0,10000,1.0138668780057927,0.7983
Plurality,20,7,0,10000,1.0160855598072833,0.7684
Plurality,20,8,0,10000,1.0177006831043756,0.7375
Plurality,20,9,0,10000,1.021075563860529,0.6993
Plurality,20,10,0,10000,1.0233214827530503,0.6672
Plurality w/ runoff,20,2,0,10000,1.0059313688416442,0.9186
Plurality w/ runoff,20,3,0,10000,1.0073310445045558,0.8891
Plurality w/ runoff,20,4,0,10000,1.0080212741018173,0.8709
Plurality w/ runoff,20,5,0,10000,1.0092462666565163,0.8505
Plurality w/ runoff,20,6,0,10000,1.009756598340827,0.826
Plurality w/ runoff,20,7,0,10000,1.0109714389316957,0.7958
Plurality w/ runoff,20,8,0,10000,1.0119847594648406,0.7763
Plurality w/ runoff,20,9,0,10000,1.0134147619923433,0.7506
Plurality w/ runoff,20,10,0,10000,1.0140258482660593,0.7336
STV,20,2,0,10000,1.0060156599525154,0.9218
STV,20,3,0,10000,1.0075477081283002,0.8917
STV,20,4,0,10000,1.0074472613629755,0.8716
STV,20,5,0,10000,1.0082888442079605,0.8511
STV,20,6,0,10000,1.008961585755832,0.8331
STV,20,7,0,10000,1.010115526555489,0.8128
STV,20,8,0,10000,1.010493628928277,0.7925
STV,20,9,0,10000,1.0109843190270373,0.7776
STV,20,10,0,10000,1.0120855269000582,0.7508
Harmonic,20,2,0,10000,1.0062715759984222,0.9143
Harmonic,20,3,0,10000,1.0057508274814932,0.906
Harmonic,20,4,0,10000,1.0055664610790147,0.8901
Harmonic,20,5,0,10000,1.0055493700956202,0.8767
Harmonic,20,6,0,10000,1.0061662665172133,0.8627
Harmonic,20,7,0,10000,1.0070480360388319,0.8399
Harmonic,20,8,0,10000,1.0080394368004446,0.8164
Harmonic,20,9,0,10000,1.008708701115595,0.799
Harmonic,20,10,0,10000,1.009639687508956,0.7772
Half approval,20,2,0,10000,1.0059994187907975,0.9194
Half approval,20,3,0,10000,1.0073231780925234,0.8962
Half approval,20,4,0,10000,1.0125434358255208,0.8429
Half approval,20,5,0,10000,1.0099067679481946,0.8438
Half approval,20,6,0,10000,1.014952240867396,0.7794
Half approval,20,7,0,10000,1.0120482780679005,0.7914
Half approval,20,8,0,10000,1.0185767790611415,0.7222
Half approval,20,9,0,10000,1.0158692218909928,0.7315
Half approval,20,10,0,10000,1.0203873167061084,0.6798
Bucklin,20,2,0,10000,1.0058532473028898,0.9207
Bucklin,20,3,0,10000,1.0072148126695282,0.8929
Bucklin,20,4,0,10000,1.0073821002357009,0.8822
Bucklin,20,5,0,10000,1.0082406104747172,0.8548
Bucklin,20,6,0,10000,1.008105302991758,0.8367
Bucklin,20,7,0,10000,1.0086373150080334,0.8166
Bucklin,20,8,0,10000,1.009215017104284,0.7968
Bucklin,20,9,0,10000,1.0100264399016372,0.7774
Bucklin,20,10,0,10000,1.0098137805592469,0.7733
Maximin,20,2,0,10000,1.0060264598336677,0.9216
Maximin,20,3,0,10000,1.0067760275190916,0.8935
Maximin,20,4,0,10000,1.0067716433216556,0.8773
Maximin,20,5,0,10000,1.0075783554976447,0.8553
Maximin,20,6,0,10000,1.0076721742630508,0.8401
Maximin,20,7,0,10000,1.0079298765592573,0.8238
Maximin,20,8,0,10000,1.0083244010016679,0.8058
Maximin,20,9,0,10000,1.0092984865493047,0.7855
Maximin,20,10,0,10000,1.0092866475027593,0.7707
Ranked Pairs,20,2,0,10000,1.006313972004498,0.9167
Ranked Pairs,20,3,0,10000,1.0068551132770367,0.8986
Ranked Pairs,20,4,0,10000,1.0066406297870123,0.8825
Ranked Pairs,20,5,0,10000,1.0071149112476692,0.8664
Ranked Pairs,20,6,0,10000,1.0080137333436625,0.8369
Ranked Pairs,20,7,0,10000,1.008916811224191,0.8154
Ranked Pairs,20,8,0,10000,1.0091382265584128,0.7946
Ranked Pairs,20,9,0,10000,1.0099581298371016,0.7862
Ranked Pairs,20,10,0,10000,1.009813633886822,0.7739
Copeland,20,2,0,10000,1.0060351476757923,0.9192
Copeland,20,3,0,10000,1.0065636850907282,0.8996
Copeland,20,4,0,10000,1.0069448645121617,0.8817
Copeland,20,5,0,10000,1.006931602140978,0.8632
Copeland,20,6,0,10000,1.0075410702018615,0.8406
Copeland,20,7,0,10000,1.0077527840933453,0.8325
Copeland,20,8,0,10000,1.008825178336063,0.8005
Copeland,20,9,0,10000,1.008734227925632,0.7934
Copeland,20,10,0,10000,1.0097450219712139,0.7706
Borda,20,2,0,10000,1.0056279487537076,0.9171
Borda,20,3,0,10000,1.0052654470195619,0.9107
Borda,20,4,0,10000,1.0046939857005035,0.8992
Borda,20,5,0,10000,1.0040774731944713,0.8984
Borda,20,6,0,10000,1.0046894207092563,0.8766
Borda,20,7,0,10000,1.0044273414402096,0.8699
Borda,20,8,0,10000,1.0044973238243808,0.8591
Borda,20,9,0,10000,1.0045580374188057,0.8492
Borda,20,10,0,10000,1.004761799679813,0.838
Random Voter Utility,20,2,0,10000,1.006029876274872,0.916
Random Voter Utility,20,3,0,10000,1.0070165921960315,0.9011
Random Voter Utility,20,4,0,10000,1.0072968110104146,0.8755
Random Voter Utility,20,5,0,10000,1.0072591715607961,0.8627
Random Voter Utility,20,6,0,10000,1.007433994826914,0.8509
Random Voter Utility,20,7,0,10000,1.0071285758482493,0.8385
Random Voter Utility,20,8,0,10000,1.0068725856272762,0.8336
Random Voter Utility,20,9,0,10000,1.0068774982125168,0.814
Random Voter Utility,20,10,0,10000,1.0072968139432066,0.8047
