# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.0151238756384837,0.7985
Plurality,20,3,0,10000,1.0268655586690862,0.6798
Plurality,20,4,0,10000,1.038472591394591,0.5966
Plurality,20,5,0,10000,1.0489137942353317,0.5254
Plurality,20,6,0,10000,1.059710933544259,0.459
Plurality,20,7,0,10000,1.0684180166981747,0.4147
Plurality,20,8,0,10000,1.0737556588459631,0.3867
Plurality,20,9,0,10000,1.0830120259714624,0.3481
Plurality,20,10,0,10000,1.0891050335932317,0.3201
Plurality w/ runoff,20,2,0,10000,1.0145498190586988,0.7996
Plurality w/ runoff,20,3,0,10000,1.0241032837617938,0.6998
Plurality w/ runoff,20,4,0,10000,1.0298072533758884,0.6282
Plurality w/ runoff,20,5,0,10000,1.0370127883738143,0.577
Plurality w/ runoff,20,6,0,10000,1.0424103858419749,0.5299
Plurality w/ runoff,20,7,0,10000,1.0473763149513153,0.4998
Plurality w/ runoff,20,8,0,10000,1.0547057555534602,0.453
Plurality w/ runoff,20,9,0,10000,1.0604743267742622,0.4247
Plurality w/ runoff,20,10,0,10000,1.0634056383726045,0.4063
PluralityVeto,20,2,0,10000,1.0149538667506273,0.8037
PluralityVeto,20,3,0,10000,1.0171938036010648,0.7453
PluralityVeto,20,4,0,10000,1.022196743818232,0.6823
PluralityVeto,20,5,0,10000,1.0274429785729238,0.6259
PluralityVeto,20,6,0,10000,1.0323242643748025,0.5822
PluralityVeto,20,7,0,10000,1.0381220232703006,0.5393
PluralityVeto,20,8,0,10000,1.042265609409779,0.5099
PluralityVeto,20,9,0,10000,1.0462971835809487,0.4795
PluralityVeto,20,10,0,10000,1.0515612001003583,0.453
STV,20,2,0,10000,1.015371705465064,0.7984
STV,20,3,0,10000,1.0223015324483835,0.7081
STV,20,4,0,10000,1.0274215727641787,0.6497
STV,20,5,0,10000,1.031742196002452,0.6062
STV,20,6,0,10000,1.0358588443828043,0.5656
STV,20,7,0,10000,1.0385833234865105,0.5392
STV,20,8,0,10000,1.0426064484445894,0.5118
STV,20,9,0,10000,1.0445263218730103,0.491
STV,20,10,0,10000,1.0462877804072273,0.4764
Harmonic,20,2,0,10000,1.015762819386834,0.7949
Harmonic,20,3,0,10000,1.0179635382933747,0.7353
Harmonic,20,4,0,10000,1.0219116987987777,0.6795
Harmonic,20,5,0,10000,1.0244416360311819,0.6484
Harmonic,20,6,0,10000,1.029041525859275,0.6011
Harmonic,20,7,0,10000,1.032192000559792,0.5752
Harmonic,20,8,0,10000,1.035135115106036,0.5489
Harmonic,20,9,0,10000,1.0380276693384043,0.5216
Harmonic,20,10,0,10000,1.0413720293752784,0.4978
Half approval,20,2,0,10000,1.0144641473673839,0.804
Half approval,20,3,0,10000,1.0263718988299906,0.6883
Half approval,20,4,0,10000,1.0273470545444665,0.6502
Half approval,20,5,0,10000,1.0284064258161194,0.6271
Half approval,20,6,0,10000,1.030660769963149,0.5948
Half approval,20,7,0,10000,1.031183884016144,0.5772
Half approval,20,8,0,10000,1.0313779413943407,0.5729
Half approval,20,9,0,10000,1.0313374192512046,0.5582
Half approval,20,10,0,10000,1.0326958037184713,0.5426
Bucklin,20,2,0,10000,1.015532819643242,0.793
Bucklin,20,3,0,10000,1.0231412313853103,0.7069
Bucklin,20,4,0,10000,1.0269518931116577,0.6475
Bucklin,20,5,0,10000,1.0281589408782377,0.6306
Bucklin,20,6,0,10000,1.0267582794335677,0.6121
Bucklin,20,7,0,10000,1.0295414402332745,0.5848
Bucklin,20,8,0,10000,1.0293027647778297,0.5796
Bucklin,20,9,0,10000,1.0292477276336522,0.5687
Bucklin,20,10,0,10000,1.0322948193611363,0.5448
Maximin,20,2,0,10000,1.015430622001444,0.7944
Maximin,20,3,0,10000,1.019942500315058,0.7237
Maximin,20,4,0,10000,1.0215232571372357,0.677
