# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Plurality,20,2,0,10000,1.017707328684786,0.7983
Plurality,20,3,0,10000,1.0326867971955362,0.6693
Plurality,20,4,0,10000,1.0451519272965573,0.5822
Plurality,20,5,0,10000,1.054982099142303,0.5208
Plurality,20,6,0,10000,1.065242547733528,0.459
Plurality,20,7,0,10000,1.0727534108845183,0.4239
Plurality,20,8,0,10000,1.0798280797159105,0.3777
Plurality,20,9,0,10000,1.086127375224185,0.3544
Plurality,20,10,0,10000,1.0945024526283544,0.3245
Plurality w/ runoff,20,2,0,10000,1.0183242506718224,0.7986
Plurality w/ runoff,20,3,0,10000,1.031154182674614,0.679
Plurality w/ runoff,20,4,0,10000,1.0391895694890074,0.6088
Plurality w/ runoff,20,5,0,10000,1.0449900863047796,0.5537
Plurality w/ runoff,20,6,0,10000,1.0480794549469754,0.5209
Plurality w/ runoff,20,7,0,10000,1.0550438675624514,0.4845
Plurality w/ runoff,20,8,0,10000,1.0586577878767163,0.4578
Plurality w/ runoff,20,9,0,10000,1.0637393999187972,0.4266
Plurality w/ runoff,20,10,0,10000,1.0688469287124027,0.4038
PluralityVeto,20,2,0,10000,1.0177366554689968,0.8011
PluralityVeto,20,3,0,10000,1.0236681282957156,0.7187
PluralityVeto,20,4,0,10000,1.0296233534285708,0.6517
PluralityVeto,20,5,0,10000,1.0342865679372757,0.6139
PluralityVeto,20,6,0,10000,1.0387779463124296,0.57
PluralityVeto,20,7,0,10000,1.0434876209293122,0.5192
PluralityVeto,20,8,0,10000,1.0485807768875035,0.4941
PluralityVeto,20,9,0,10000,1.0540185218054348,0.4591
PluralityVeto,20,10,0,10000,1.058399030857117,0.4347
STV,20,2,0,10000,1.0196638161489617,0.7892
STV,20,3,0,10000,1.0292502596944113,0.689
STV,20,4,0,10000,1.0363706474561394,0.6224
STV,20,5,0,10000,1.0372334239210046,0.5931
STV,20,6,0,10000,1.0417267562781174,0.5497
STV,20,7,0,10000,1.0450330964191437,0.5172
STV,20,8,0,10000,1.046391951178975,0.5087
STV,20,9,0,10000,1.0505281036727812,0.4766
STV,20,10,0,10000,1.052064077975413,0.4597
Harmonic,20,2,0,10000,1.0182289920422969,0.7955
Harmonic,20,3,0,10000,1.0232486488880328,0.7225
Harmonic,20,4,0,10000,1.0282490799867978,0.6699
Harmonic,20,5,0,10000,1.0308805801750727,0.6301
Harmonic,20,6,0,10000,1.0334219193623404,0.6015
Harmonic,20,7,0,10000,1.0376263485893433,0.5657
Harmonic,20,8,0,10000,1.0393573530489562,0.5389
Harmonic,20,9,0,10000,1.0426816236420304,0.5134
Harmonic,20,10,0,10000,1.045966172781423,0.4861
Half approval,20,2,0,10000,1.0182531866307818,0.7989
Half approval,20,3,0,10000,1.0330751974980819,0.6664
Half approval,20,4,0,10000,1.0360463743289565,0.6259
Half approval,20,5,0,10000,1.037401111289382,0.5872
Half approval,20,6,0,10000,1.0374327396797276,0.5671
Half approval,20,7,0,10000,1.0381245867684643,0.5622
Half approval,20,8,0,10000,1.039408891006936,0.5286
Half approval,20,9,0,10000,1.037433245510127,0.5305
Half approval,20,10,0,10000,1.0396082602774472,0.516
Bucklin,20,2,0,10000,1.017776931302975,0.7974
Bucklin,20,3,0,10000,1.0315962967312626,0.6803
Bucklin,20,4,0,10000,1.0345529050490172,0.6289
Bucklin,20,5,0,10000,1.0343364806294981,0.6076
Bucklin,20,6,0,10000,1.0339034264763385,0.5859
Bucklin,20,7,0,10000,1.03554476316732,0.5644
Bucklin,20,8,0,10000,1.0358255712950624,0.5581
Bucklin,20,9,0,10000,1.0377331799865994,0.5338
Bucklin,20,10,0,10000,1.0360618464755258,0.5375
Maximin,20,2,0,10000,1.017874808788929,0.7928
Maximin,20,3,0,10000,1.0256317502660863,0.7003
Maximin,20,4,0,10000,1.0291817138894401,0.6511
Maximin,20,5,0,10000,1.0300517443321269,0.6238
Maximin,20,6,0,10000,1.0296465001451238,0.6129
Maximin,20,7,0,10000,1.0288197956370335,0.6067
Maximin,20,8,0,10000,1.0305810755101086,0.5745
Maximin,20,9,0,10000,1.0290841625142606,0.582
Maximin,20,10,0,10000,1.0296648054512876,0.5721
Ranked Pairs,20,2,0,10000,1.0184870644483695,0.7916
Ranked Pairs,20,3,0,10000,1.0269958633691063,0.7027
Ranked Pairs,20,4,0,10000,1.0284536221096958,0.6595
Ranked Pairs,20,5,0,10000,1.0308564768026338,0.6253
Ranked Pairs,20,6,0,10000,1.0303915813727529,0.613
Ranked Pairs,20,7,0,10000,1.029780612789893,0.6042
Ranked Pairs,20,8,0,10000,1.0307820653073785,0.5844
Ranked Pairs,20,9,0,10000,1.0317741773368183,0.5777
Ranked Pairs,20,10,0,10000,1.0328685350271223,0.562
Copeland,20,2,0,10000,1.0192278860237114,0.789
Copeland,20,3,0,10000,1.0269294081806268,0.6957
