# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,10,6,0,10000,1.1180156330720596,0.3782
Veto,20,6,0,10000,1.0757691576164055,0.3965
Veto,30,6,0,10000,1.059860714598646,0.4064
Veto,40,6,0,10000,1.0514286449560373,0.4157
Veto,50,6,0,10000,1.0446729763117193,0.4186
Veto,60,6,0,10000,1.0402976380150692,0.4201
Veto,70,6,0,10000,1.037602504243287,0.4157
Veto,80,6,0,10000,1.0345149903736646,0.4125
Veto,90,6,0,10000,1.0326327123255563,0.4182
Veto,100,6,0,10000,1.0304411442635406,0.4253
Plurality,10,6,0,10000,1.080616705630547,0.4687
Plurality,20,6,0,10000,1.0584117305641103,0.4635
Plurality,30,6,0,10000,1.0490406092594,0.4562
Plurality,40,6,0,10000,1.0431463106392522,0.4548
Plurality,50,6,0,10000,1.0386266314204415,0.4507
Plurality,60,6,0,10000,1.0351507209528623,0.4512
Plurality,70,6,0,10000,1.032182423618118,0.4571
Plurality,80,6,0,10000,1.0305887249801065,0.4466
Plurality,90,6,0,10000,1.0290802635674865,0.4486
Plurality,100,6,0,10000,1.027315864759835,0.4609
Plurality w/ runoff,10,6,0,10000,1.0644824536057786,0.5247
Plurality w/ runoff,20,6,0,10000,1.0421008768988598,0.5263
Plurality w/ runoff,30,6,0,10000,1.0347407136486364,0.5287
Plurality w/ runoff,40,6,0,10000,1.0292654838154758,0.5371
Plurality w/ runoff,50,6,0,10000,1.025597713219496,0.5285
Plurality w/ runoff,60,6,0,10000,1.02336544798244,0.5369
Plurality w/ runoff,70,6,0,10000,1.0220493634082892,0.542
Plurality w/ runoff,80,6,0,10000,1.0208170137584993,0.5419
Plurality w/ runoff,90,6,0,10000,1.0193789634311223,0.5383
Plurality w/ runoff,100,6,0,10000,1.018257923408923,0.54
STV,10,6,0,10000,1.0547821321249835,0.5514
STV,20,6,0,10000,1.0357671686575962,0.5644
STV,30,6,0,10000,1.0274934292334519,0.5749
STV,40,6,0,10000,1.0243504298763368,0.5737
STV,50,6,0,10000,1.02194826997636,0.5675
STV,60,6,0,10000,1.0197007012036752,0.5692
STV,70,6,0,10000,1.0177821435121337,0.5811
STV,80,6,0,10000,1.01636623921654,0.5849
STV,90,6,0,10000,1.0160274824251991,0.5774
STV,100,6,0,10000,1.0149664712411866,0.5806
Harmonic,10,6,0,10000,1.0402632381413972,0.6029
Harmonic,20,6,0,10000,1.0284082438205897,0.6032
Harmonic,30,6,0,10000,1.0241049851065522,0.6065
Harmonic,40,6,0,10000,1.0203933977391977,0.6059
Harmonic,50,6,0,10000,1.0185155491963807,0.6051
Harmonic,60,6,0,10000,1.0169930070887667,0.5993
Harmonic,70,6,0,10000,1.0165438439915435,0.5917
Harmonic,80,6,0,10000,1.0143838092363127,0.6111
Harmonic,90,6,0,10000,1.014350512692944,0.5985
