# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,10,6,0,10000,1.2965615247949662,0.4393
Veto,20,6,0,10000,1.1469611154437394,0.5508
Veto,30,6,0,10000,1.0976892480407143,0.5944
Veto,40,6,0,10000,1.0718139445810602,0.6334
Veto,50,6,0,10000,1.0632087632567215,0.6583
Veto,60,6,0,10000,1.053278047446648,0.6733
Veto,70,6,0,10000,1.0466670523215393,0.696
Veto,80,6,0,10000,1.0416869618957456,0.7022
Veto,90,6,0,10000,1.0369857699429434,0.7147
Veto,100,6,0,10000,1.0335800902615075,0.732
Plurality,10,6,0,10000,1.076809133384717,0.7009
Plurality,20,6,0,10000,1.0385738199484853,0.7453
Plurality,30,6,0,10000,1.026103626901527,0.7852
Plurality,40,6,0,10000,1.0200801715052215,0.8083
Plurality,50,6,0,10000,1.0154600931059714,0.8229
Plurality,60,6,0,10000,1.0140699980288346,0.8315
Plurality,70,6,0,10000,1.0111692358724147,0.8458
Plurality,80,6,0,10000,1.0102423625890684,0.849
Plurality,90,6,0,10000,1.0090268240519773,0.8653
Plurality,100,6,0,10000,1.007913368504354,0.8629
Plurality w/ runoff,10,6,0,10000,1.0577703421856148,0.7237
Plurality w/ runoff,20,6,0,10000,1.0283333189051518,0.7774
Plurality w/ runoff,30,6,0,10000,1.019651108527261,0.8087
Plurality w/ runoff,40,6,0,10000,1.0132155242525407,0.8352
Plurality w/ runoff,50,6,0,10000,1.0104851895898987,0.8488
Plurality w/ runoff,60,6,0,10000,1.0097879447566933,0.8528
Plurality w/ runoff,70,6,0,10000,1.0079580212248738,0.8689
Plurality w/ runoff,80,6,0,10000,1.0063268102802532,0.8757
Plurality w/ runoff,90,6,0,10000,1.00600315652376,0.8817
Plurality w/ runoff,100,6,0,10000,1.0053588724442903,0.8907
PluralityVeto,10,6,0,10000,1.0384789419195923,0.7546
PluralityVeto,20,6,0,10000,1.0197148086472285,0.8132
PluralityVeto,30,6,0,10000,1.0136269988060507,0.8357
PluralityVeto,40,6,0,10000,1.0112475653464503,0.8471
PluralityVeto,50,6,0,10000,1.0083316152635313,0.8659
PluralityVeto,60,6,0,10000,1.00742946964957,0.8717
PluralityVeto,70,6,0,10000,1.0062806969445746,0.881
PluralityVeto,80,6,0,10000,1.005572075811232,0.8876
PluralityVeto,90,6,0,10000,1.0050461426612434,0.8915
PluralityVeto,100,6,0,10000,1.0041555572116798,0.9021
STV,10,6,0,10000,1.051812684449807,0.7339
