# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,10,6,0,10000,1.1408483002151928,0.4417
Veto,20,6,0,10000,1.0814274973072464,0.5348
Veto,30,6,0,10000,1.0576632645914676,0.5771
Veto,40,6,0,10000,1.0453972922299746,0.6169
Veto,50,6,0,10000,1.039842016438116,0.6289
Veto,60,6,0,10000,1.0369011977573361,0.6377
Veto,70,6,0,10000,1.0336187522283993,0.6393
Veto,80,6,0,10000,1.0322045517688687,0.6463
Veto,90,6,0,10000,1.030595494780654,0.6475
Plurality,10,6,0,10000,1.0248827479583884,0.7454
Plurality,20,6,0,10000,1.0131016962857522,0.8052
Plurality,30,6,0,10000,1.009130783408514,0.8321
Plurality,40,6,0,10000,1.0072486530929683,0.848
Plurality,50,6,0,10000,1.0057429137354505,0.8584
Plurality,60,6,0,10000,1.0052363264681534,0.8631
Plurality,70,6,0,10000,1.0045585832663804,0.8757
Plurality,80,6,0,10000,1.0043559633466006,0.8736
Plurality,90,6,0,10000,1.0041852408782652,0.8688
Plurality w/ runoff,10,6,0,10000,1.021937386942267,0.7625
Plurality w/ runoff,20,6,0,10000,1.009647746608667,0.8259
Plurality w/ runoff,30,6,0,10000,1.0064840922272977,0.8506
Plurality w/ runoff,40,6,0,10000,1.0049177860214498,0.8706
Plurality w/ runoff,50,6,0,10000,1.0040366379182593,0.8779
Plurality w/ runoff,60,6,0,10000,1.0033473175635652,0.8879
Plurality w/ runoff,70,6,0,10000,1.0028435186966964,0.8974
Plurality w/ runoff,80,6,0,10000,1.0026572396613742,0.8982
Plurality w/ runoff,90,6,0,10000,1.0024216396893122,0.9034
PluralityVeto,10,6,0,10000,1.0158029596496514,0.7882
PluralityVeto,20,6,0,10000,1.0082506403016864,0.8328
PluralityVeto,30,6,0,10000,1.0053902653376077,0.8637
PluralityVeto,40,6,0,10000,1.0042084388564518,0.8801
PluralityVeto,50,6,0,10000,1.0035311441791501,0.8901
PluralityVeto,60,6,0,10000,1.0031227420839157,0.8937
PluralityVeto,70,6,0,10000,1.002754726815868,0.9012
PluralityVeto,80,6,0,10000,1.0025148793120984,0.9017
PluralityVeto,90,6,0,10000,1.002424537834784,0.899
STV,10,6,0,10000,1.0189353548169846,0.7784
STV,20,6,0,10000,1.0088928946730884,0.8347
STV,30,6,0,10000,1.00596390900688,0.8574
STV,40,6,0,10000,1.0045402628861477,0.8719
STV,50,6,0,10000,1.0037212002715628,0.8815
STV,60,6,0,10000,1.0031182718574498,0.8941
STV,70,6,0,10000,1.0026390090238866,0.9011
STV,80,6,0,10000,1.0024511074251838,0.9051
STV,90,6,0,10000,1.0023353413994387,0.9042
Harmonic,10,6,0,10000,1.0121410599112255,0.8172
Harmonic,20,6,0,10000,1.0063015502313586,0.8598
Harmonic,30,6,0,10000,1.004372381324352,0.8825
Harmonic,40,6,0,10000,1.0033765246903297,0.8901
Harmonic,50,6,0,10000,1.0027148997833464,0.9012
Harmonic,60,6,0,10000,1.0024598711259507,0.9056
Harmonic,70,6,0,10000,1.0022495311491406,0.9068
Harmonic,80,6,0,10000,1.0020396730690893,0.9103
Harmonic,90,6,0,10000,1.0019887522472175,0.9096
Half approval,10,6,0,10000,1.0294398859096558,0.7153
Half approval,20,6,0,10000,1.0150176471715444,0.7844
Half approval,30,6,0,10000,1.0107336398753641,0.8127
Half approval,40,6,0,10000,1.0082788414151336,0.8294
Half approval,50,6,0,10000,1.0063051823204638,0.8527
Half approval,60,6,0,10000,1.0055689423463328,0.8617
Half approval,70,6,0,10000,1.004642772888948,0.8759
Half approval,80,6,0,10000,1.0043557410297976,0.8796
Half approval,90,6,0,10000,1.0039675765074079,0.8855
Bucklin,10,6,0,10000,1.0151973480797836,0.7919
Bucklin,20,6,0,10000,1.0086210229438761,0.8376
Bucklin,30,6,0,10000,1.0059142275194548,0.8602
Bucklin,40,6,0,10000,1.0043392386155172,0.8734
Bucklin,50,6,0,10000,1.003450932477739,0.891
Bucklin,60,6,0,10000,1.0029606577984675,0.8999
Bucklin,70,6,0,10000,1.0024644759584094,0.9089
Bucklin,80,6,0,10000,1.0021769687279183,0.9158
Bucklin,90,6,0,10000,1.0018953673042594,0.9203
Maximin,10,6,0,10000,1.0156915880317585,0.7903
Maximin,20,6,0,10000,1.0078171497446962,0.838
Maximin,30,6,0,10000,1.0051037327096126,0.8648
Maximin,40,6,0,10000,1.0039554186019781,0.8783
Maximin,50,6,0,10000,1.003260155775972,0.8855
Maximin,60,6,0,10000,1.0030608360586029,0.892
Maximin,70,6,0,10000,1.002546352775574,0.9027
Maximin,80,6,0,10000,1.0022135158604781,0.9121
Maximin,90,6,0,10000,1.0020446230640132,0.9154
Ranked Pairs,10,6,0,10000,1.0153472730089046,0.786
Ranked Pairs,20,6,0,10000,1.0077834317657228,0.8432
Ranked Pairs,30,6,0,10000,1.0053949837537468,0.8687
Ranked Pairs,40,6,0,10000,1.004010754293362,0.8799
Ranked Pairs,50,6,0,10000,1.003449163818901,0.8886
Ranked Pairs,60,6,0,10000,1.002855949111721,0.8965
Ranked Pairs,70,6,0,10000,1.0026464742171894,0.8969
Ranked Pairs,80,6,0,10000,1.0024054620618703,0.906
Ranked Pairs,90,6,0,10000,1.0020303534841737,0.909
Copeland,10,6,0,10000,1.0130552903606096,0.8109
Copeland,20,6,0,10000,1.0075375404596432,0.8423
Copeland,30,6,0,10000,1.0051475461607189,0.8663
Copeland,40,6,0,10000,1.003896775701912,0.8825
Copeland,50,6,0,10000,1.003523757268215,0.8918
Copeland,60,6,0,10000,1.003100237898594,0.8951
Copeland,70,6,0,10000,1.0025231501078178,0.9049
Copeland,80,6,0,10000,1.0026329974143442,0.8967
Copeland,90,6,0,10000,1.0022835208471703,0.9066
Borda,10,6,0,10000,1.0085113480679726,0.8434
Borda,20,6,0,10000,1.0044460583896413,0.8756
Borda,30,6,0,10000,1.002933492633555,0.8984
Borda,40,6,0,10000,1.0024934078315408,0.9044
Borda,50,6,0,10000,1.0019898126871285,0.9121
Borda,60,6,0,10000,1.001740148185591,0.9216
Borda,70,6,0,10000,1.0013780823632832,0.9288
Borda,80,6,0,10000,1.0012547147778197,0.935
Borda,90,6,0,10000,1.0010939677101993,0.9326
Random Voter Utility,10,6,0,10000,1.0129329423364106,0.811
Random Voter Utility,20,6,0,10000,1.006890236239178,0.8489
Random Voter Utility,30,6,0,10000,1.0048134377561067,0.8701
Random Voter Utility,40,6,0,10000,1.0040939162507978,0.8823
