# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion,accuracy
Veto,10,6,0,10000,1.117381457103584,0.3865
Veto,20,6,0,10000,1.0749832223771183,0.4
Veto,30,6,0,10000,1.0606026114202518,0.4046
Veto,40,6,0,10000,1.049035165658701,0.4149
Veto,50,6,0,10000,1.044837935539433,0.4166
Veto,60,6,0,10000,1.040583110153939,0.4176
Veto,70,6,0,10000,1.0366538576711806,0.4248
Veto,80,6,0,10000,1.0348361568666034,0.4155
Veto,90,6,0,10000,1.032410580272932,0.4237
Veto,100,6,0,10000,1.0304293166770742,0.4228
Plurality,10,6,0,10000,1.0804145794555664,0.4735
Plurality,20,6,0,10000,1.0592608933840082,0.4662
Plurality,30,6,0,10000,1.050427378317462,0.4515
Plurality,40,6,0,10000,1.0429344086260994,0.4552
Plurality,50,6,0,10000,1.038827578292432,0.4533
Plurality,60,6,0,10000,1.0359565988571464,0.4483
Plurality,70,6,0,10000,1.0320540903925421,0.4516
Plurality,80,6,0,10000,1.0306310295081087,0.4422
Plurality,90,6,0,10000,1.0290806897696736,0.4467
Plurality,100,6,0,10000,1.0266684121865466,0.4581
Plurality w/ runoff,10,6,0,10000,1.063981371782412,0.5211
Plurality w/ runoff,20,6,0,10000,1.0429515862035095,0.5246
Plurality w/ runoff,30,6,0,10000,1.0345569874331122,0.5274
Plurality w/ runoff,40,6,0,10000,1.0295970183027496,0.5355
Plurality w/ runoff,50,6,0,10000,1.026247898259157,0.5268
Plurality w/ runoff,60,6,0,10000,1.0242635350878282,0.5361
Plurality w/ runoff,70,6,0,10000,1.0224250528421754,0.5355
Plurality w/ runoff,80,6,0,10000,1.0206664626864108,0.5435
Plurality w/ runoff,90,6,0,10000,1.0191466960366564,0.533
Plurality w/ runoff,100,6,0,10000,1.0179536261076152,0.5403
PluralityVeto,10,6,0,10000,1.0462083849299548,0.5754
PluralityVeto,20,6,0,10000,1.0321706378869082,0.5886
PluralityVeto,30,6,0,10000,1.026631922031151,0.5799
PluralityVeto,40,6,0,10000,1.0237286960754013,0.5698
PluralityVeto,50,6,0,10000,1.0212411247098876,0.5761
PluralityVeto,60,6,0,10000,1.0197078873530399,0.5801
PluralityVeto,70,6,0,10000,1.018192232246826,0.5753
PluralityVeto,80,6,0,10000,1.0164030994706845,0.583
PluralityVeto,90,6,0,10000,1.0163934399102053,0.5655
PluralityVeto,100,6,0,10000,1.0153760258941829,0.5703
STV,10,6,0,10000,1.0547516191080242,0.5474
STV,20,6,0,10000,1.0360727909547567,0.5646
STV,30,6,0,10000,1.0286180171137778,0.5736
STV,40,6,0,10000,1.024587421948211,0.5743
STV,50,6,0,10000,1.021411853034311,0.5771
STV,60,6,0,10000,1.0194798828739458,0.5768
STV,70,6,0,10000,1.0181007820162296,0.5744
STV,80,6,0,10000,1.0170073480159805,0.5735
STV,90,6,0,10000,1.0162689640898301,0.579
STV,100,6,0,10000,1.0151710730962769,0.5772
Harmonic,10,6,0,10000,1.0386246436229358,0.6173
Harmonic,20,6,0,10000,1.0276327539093657,0.6149
Harmonic,30,6,0,10000,1.0234349818139414,0.6049
Harmonic,40,6,0,10000,1.0204008346611797,0.6015
Harmonic,50,6,0,10000,1.018735446514297,0.596
Harmonic,60,6,0,10000,1.0166408231684179,0.6021
Harmonic,70,6,0,10000,1.015832156791968,0.5983
Harmonic,80,6,0,10000,1.0148638531795278,0.6
Harmonic,90,6,0,10000,1.0139655321348107,0.6081
Harmonic,100,6,0,10000,1.0132041851873443,0.6027
Half approval,10,6,0,10000,1.0428607407951482,0.5868
Half approval,20,6,0,10000,1.0309980495594055,0.5897
Half approval,30,6,0,10000,1.0249100243995741,0.5948
Half approval,40,6,0,10000,1.0208034780001911,0.6041
Half approval,50,6,0,10000,1.0189741316694003,0.6025
Half approval,60,6,0,10000,1.0178621311283247,0.5954
Half approval,70,6,0,10000,1.016239275419606,0.5901
Half approval,80,6,0,10000,1.0151218958979897,0.596
